,CMI
2018-05-07,120.70234680175781
2018-05-08,121.55992126464844
2018-05-09,122.00129699707031
2018-05-10,121.668212890625
2018-05-11,121.77645111083984
2018-05-14,120.62738800048828
2018-05-15,121.93464660644531
2018-05-16,122.55079650878906
2018-05-17,122.76892852783203
2018-05-18,124.89949035644531
2018-05-21,126.66102600097656
2018-05-22,125.0337142944336
2018-05-23,125.0337142944336
2018-05-24,124.46332550048828
2018-05-25,122.9198989868164
2018-05-29,121.20873260498047
2018-05-30,122.03079986572266
2018-05-31,119.4388427734375
2018-06-01,120.43701934814453
2018-06-04,119.36332702636719
2018-06-05,118.75100708007812
2018-06-06,120.41184997558594
2018-06-07,120.6718978881836
2018-06-08,120.5208969116211
2018-06-11,121.25906372070312
2018-06-12,120.44541931152344
2018-06-13,118.74259185791016
2018-06-14,119.01939392089844
2018-06-15,120.05956268310547
2018-06-18,119.45561981201172
2018-06-19,117.24113464355469
2018-06-20,116.24292755126953
2018-06-21,113.44129180908203
2018-06-22,114.1207504272461
2018-06-25,112.5269775390625
2018-06-26,112.35086822509766
2018-06-27,110.9919662475586
2018-06-28,111.76368713378906
2018-06-29,111.56233215332031
2018-07-02,110.93323516845703
2018-07-03,109.9266586303711
2018-07-05,110.27057647705078
2018-07-06,110.22024536132812
2018-07-09,113.36579132080078
2018-07-10,115.0770263671875
2018-07-11,112.47665405273438
2018-07-12,112.81220245361328
2018-07-13,114.80018615722656
2018-07-16,112.97157287597656
2018-07-17,113.97817993164062
2018-07-18,115.52993774414062
2018-07-19,115.60546112060547
2018-07-20,113.91943359375
2018-07-23,113.005126953125
2018-07-24,113.73487854003906
2018-07-25,113.91943359375
2018-07-26,115.42091369628906
2018-07-27,116.56171417236328
2018-07-30,115.0937728881836
2018-07-31,119.79113006591797
2018-08-01,117.19918823242188
2018-08-02,117.2579116821289
2018-08-03,118.7845687866211
2018-08-06,118.98589324951172
2018-08-07,120.43701934814453
2018-08-08,119.30461883544922
2018-08-09,119.12847900390625
2018-08-10,117.67728424072266
2018-08-13,117.18241119384766
2018-08-14,116.58685302734375
2018-08-15,115.78996276855469
2018-08-16,118.07157897949219
2018-08-17,120.2441177368164
2018-08-20,121.95526885986328
2018-08-21,122.83451843261719
2018-08-22,122.42870330810547
2018-08-23,119.57111358642578
2018-08-24,119.19915008544922
2018-08-27,121.7693099975586
2018-08-28,122.39490509033203
2018-08-29,121.66779327392578
2018-08-30,119.6810302734375
2018-08-31,119.8839340209961
2018-09-04,118.35369110107422
2018-09-05,120.42501831054688
2018-09-06,119.13151550292969
2018-09-07,119.2329330444336
2018-09-10,120.39967346191406
2018-09-11,120.94074249267578
2018-09-12,120.1121826171875
2018-09-13,120.27284240722656
2018-09-14,121.06754302978516
2018-09-17,122.15815734863281
2018-09-18,123.07969665527344
2018-09-19,125.40469360351562
2018-09-20,127.52672576904297
2018-09-21,127.6789321899414
2018-09-24,126.0387954711914
2018-09-25,125.31172180175781
2018-09-26,124.30559539794922
2018-09-27,124.44087982177734
2018-09-28,123.49395751953125
2018-10-01,125.11726379394531
2018-10-02,125.92886352539062
2018-10-03,127.31538391113281
2018-10-04,128.9217529296875
2018-10-05,127.89871978759766
2018-10-08,129.21762084960938
2018-10-09,127.51830291748047
2018-10-10,125.00731658935547
2018-10-11,122.98672485351562
2018-10-12,122.7922592163086
2018-10-15,123.48554229736328
2018-10-16,124.6268539428711
2018-10-17,123.59544372558594
2018-10-18,119.37667846679688
2018-10-19,118.32832336425781
2018-10-22,118.302978515625
2018-10-23,113.83056640625
2018-10-24,108.2760009765625
2018-10-25,108.52961730957031
2018-10-26,108.8678207397461
2018-10-29,111.07440948486328
2018-10-30,113.6276626586914
2018-10-31,115.56370544433594
2018-11-01,120.21367645263672
2018-11-02,119.90928649902344
2018-11-05,121.60018157958984
2018-11-06,122.68236541748047
2018-11-07,124.05198669433594
2018-11-08,123.64614868164062
2018-11-09,120.95765686035156
2018-11-12,122.04827880859375
2018-11-13,122.16665649414062
2018-11-14,124.28001403808594
2018-11-15,125.66053009033203
2018-11-16,125.36223602294922
2018-11-19,124.17778015136719
2018-11-20,122.00469207763672
2018-11-21,123.56417846679688
2018-11-23,123.40228271484375
2018-11-26,125.43043518066406
2018-11-27,123.71759033203125
2018-11-28,126.59791564941406
2018-11-29,126.2911376953125
2018-11-30,128.7283172607422
2018-12-03,129.92982482910156
2018-12-04,124.73162841796875
2018-12-06,121.25482940673828
2018-12-07,118.11031341552734
2018-12-10,116.1418228149414
2018-12-11,114.53121948242188
2018-12-12,115.86912536621094
2018-12-13,114.59087371826172
2018-12-14,114.05401611328125
2018-12-17,112.01731872558594
2018-12-18,111.923583984375
2018-12-19,111.54010772705078
2018-12-20,110.87541961669922
2018-12-21,109.26482391357422
2018-12-24,106.93841552734375
2018-12-26,111.69353485107422
2018-12-27,112.98027038574219
2018-12-28,112.19628143310547
2018-12-31,113.88357543945312
2019-01-02,113.66199493408203
2019-01-03,111.41230773925781
2019-01-04,116.03954315185547
2019-01-07,116.61053466796875
2019-01-08,116.91728210449219
2019-01-09,117.1473617553711
2019-01-10,118.73241424560547
2019-01-11,118.9113540649414
2019-01-14,119.49932098388672
2019-01-15,118.36593627929688
2019-01-16,120.47080993652344
