,MPWR
2017-08-17,92.01152038574219
2017-08-18,92.039794921875
2017-08-21,90.39908599853516
2017-08-22,92.01152038574219
2017-08-23,92.05865478515625
2017-08-24,92.78473663330078
2017-08-25,91.93607330322266
2017-08-28,92.44525146484375
2017-08-29,92.6904296875
2017-08-30,94.29340362548828
2017-08-31,95.53810119628906
2017-09-01,96.84876251220703
2017-09-05,97.60313415527344
2017-09-06,96.6601791381836
2017-09-07,96.82990264892578
2017-09-08,96.85820007324219
2017-09-11,99.16838836669922
2017-09-12,99.73412322998047
2017-09-13,97.89543151855469
2017-09-14,96.90536499023438
2017-09-15,97.36738586425781
2017-09-18,98.23487854003906
2017-09-19,97.5654067993164
2017-09-20,95.58522033691406
2017-09-21,96.7356185913086
2017-09-22,97.09392547607422
2017-09-25,95.87754821777344
2017-09-26,96.90536499023438
2017-09-27,100.13959503173828
2017-09-28,100.54583740234375
2017-09-29,100.65919494628906
2017-10-02,101.60391235351562
2017-10-03,102.39745330810547
2017-10-04,101.7645263671875
2017-10-05,102.24633026123047
2017-10-06,102.62419128417969
2017-10-09,102.59586334228516
2017-10-10,105.38277435302734
2017-10-11,106.29914093017578
2017-10-12,106.8848648071289
2017-10-13,107.77289581298828
2017-10-16,107.5367202758789
2017-10-17,106.87541961669922
2017-10-18,107.55560302734375
2017-10-19,107.63119506835938
2017-10-20,107.67841339111328
2017-10-23,108.3586196899414
2017-10-24,108.39642333984375
2017-10-25,107.77289581298828
2017-10-26,108.50032806396484
2017-10-27,114.20637512207031
2017-10-30,113.31835174560547
2017-10-31,114.94324493408203
2017-11-01,113.95132446289062
2017-11-02,113.25222778320312
2017-11-03,115.39673614501953
2017-11-06,117.70182037353516
2017-11-07,116.8515853881836
2017-11-08,116.35089874267578
2017-11-09,113.72457885742188
2017-11-10,115.06608581542969
2017-11-13,114.19693756103516
2017-11-14,113.14832305908203
2017-11-15,112.34529876708984
2017-11-16,114.51813507080078
2017-11-17,115.84075927734375
2017-11-20,117.50342559814453
2017-11-21,119.63848114013672
2017-11-22,117.48452758789062
2017-11-24,118.59928894042969
2017-11-27,117.45620727539062
2017-11-28,118.032470703125
2017-11-29,110.41807556152344
2017-11-30,111.80680847167969
2017-12-01,110.50312805175781
2017-12-04,105.0521011352539
2017-12-05,105.08988952636719
2017-12-06,105.08988952636719
2017-12-07,105.10877990722656
2017-12-08,106.55421447753906
2017-12-11,107.58395385742188
2017-12-12,106.57308959960938
2017-12-13,105.33549499511719
2017-12-14,104.1640853881836
2017-12-15,106.23299407958984
2017-12-18,108.42474365234375
2017-12-19,107.70677947998047
2017-12-20,108.61369323730469
2017-12-21,107.42335510253906
2017-12-22,106.91321563720703
2017-12-26,106.8848648071289
2017-12-27,106.64867401123047
2017-12-28,107.23543548583984
2017-12-29,106.33638000488281
2018-01-02,110.0746078491211
2018-01-03,112.147216796875
2018-01-04,113.188232421875
2018-01-05,113.63306427001953
2018-01-08,115.04314422607422
2018-01-09,114.84440612792969
2018-01-10,113.58572387695312
2018-01-11,115.19459533691406
2018-01-12,116.30186462402344
2018-01-16,113.47215270996094
2018-01-17,114.04943084716797
2018-01-18,113.26396179199219
2018-01-19,113.55733489990234
2018-01-22,113.74659729003906
2018-01-23,114.64567565917969
2018-01-24,113.53842163085938
2018-01-25,111.27652740478516
2018-01-26,115.85704803466797
2018-01-29,116.1788330078125
2018-01-30,113.1692886352539
2018-01-31,112.73396301269531
2018-02-01,113.74659729003906
2018-02-02,108.87271118164062
2018-02-05,103.66755676269531
2018-02-06,107.9262924194336
2018-02-07,104.1028823852539
2018-02-08,98.25421142578125
2018-02-09,104.17858123779297
2018-02-12,104.0177230834961
2018-02-13,104.07450103759766
2018-02-14,106.93258666992188
2018-02-15,109.94210815429688
2018-02-16,110.72762298583984
2018-02-20,113.26396179199219
2018-02-21,110.87905883789062
2018-02-22,110.90743255615234
2018-02-23,111.72132873535156
2018-02-26,113.39643096923828
2018-02-27,112.22291564941406
2018-02-28,110.78440856933594
2018-03-01,109.56356048583984
2018-03-02,111.81596374511719
2018-03-05,112.07150268554688
2018-03-06,112.6487808227539
2018-03-07,112.97056579589844
2018-03-08,113.44376373291016
2018-03-09,118.17571258544922
2018-03-12,118.78141021728516
2018-03-13,117.06841278076172
2018-03-14,116.59526062011719
2018-03-15,116.78453063964844
2018-03-16,118.03376007080078
2018-03-19,116.46273040771484
2018-03-20,118.40283966064453
2018-03-21,118.66783142089844
2018-03-22,113.59519958496094
2018-03-23,108.73074340820312
2018-03-26,113.42483520507812
2018-03-27,109.5162353515625
2018-03-28,107.41927337646484
2018-03-29,109.84832763671875
2018-04-02,105.132568359375
2018-04-03,106.61276245117188
2018-04-04,108.51995849609375
2018-04-05,108.27323913574219
2018-04-06,105.26539611816406
2018-04-09,105.85367584228516
2018-04-10,109.91474151611328
2018-04-11,110.99644470214844
2018-04-12,114.82978057861328
2018-04-13,114.6495132446289
2018-04-16,115.76914978027344
2018-04-17,117.99893951416016
2018-04-18,117.4486312866211
2018-04-19,114.0896987915039
2018-04-20,113.39703369140625
2018-04-23,112.91313171386719
2018-04-24,112.92259216308594
2018-04-25,113.273681640625
2018-04-26,115.04804229736328
2018-04-27,114.12765502929688
2018-04-30,111.11029815673828
2018-05-01,113.0269775390625
2018-05-02,112.2963638305664
2018-05-03,114.1181640625
2018-05-04,117.53401184082031
2018-05-07,117.50555419921875
2018-05-08,117.7617416381836
2018-05-09,119.71638488769531
2018-05-10,122.08849334716797
2018-05-11,120.08641815185547
2018-05-14,119.71638488769531
2018-05-15,119.77332305908203
2018-05-16,121.23453521728516
2018-05-17,122.17390441894531
2018-05-18,122.34467315673828
2018-05-21,123.13223266601562
2018-05-22,122.91398620605469
2018-05-23,124.03364562988281
2018-05-24,123.91026306152344
2018-05-25,124.97298431396484
2018-05-29,124.81172180175781
2018-05-30,126.99406433105469
2018-05-31,125.06787872314453
2018-06-01,126.48167419433594
2018-06-04,127.79105377197266
2018-06-05,128.81582641601562
2018-06-06,130.17276000976562
2018-06-07,126.5480728149414
2018-06-08,127.39258575439453
2018-06-11,130.3150177001953
2018-06-12,132.58277893066406
2018-06-13,130.61862182617188
2018-06-14,132.5638427734375
2018-06-15,134.38558959960938
2018-06-18,133.9016876220703
2018-06-19,131.95654296875
2018-06-20,134.07244873046875
2018-06-21,133.91116333007812
2018-06-22,131.45364379882812
2018-06-25,127.39258575439453
2018-06-26,129.91653442382812
2018-06-27,126.5576171875
2018-06-28,127.97455596923828
