,BX
2018-02-06,25.843910217285156
2018-02-07,26.067672729492188
2018-02-08,25.284526824951172
2018-02-09,25.208019256591797
2018-02-12,25.460479736328125
2018-02-13,25.667043685913086
2018-02-14,25.842998504638672
2018-02-15,26.508577346801758
2018-02-16,26.401477813720703
2018-02-20,26.14136505126953
2018-02-21,26.041915893554688
2018-02-22,26.0266056060791
2018-02-23,26.21021842956543
2018-02-26,26.355581283569336
2018-02-27,26.164318084716797
2018-02-28,26.011314392089844
2018-03-01,25.682348251342773
2018-03-02,25.514034271240234
2018-03-05,25.57524299621582
2018-03-06,25.71294593811035
2018-03-07,25.40692710876465
2018-03-08,25.5599365234375
2018-03-09,26.05721092224121
2018-03-12,26.340272903442383
2018-03-13,26.21021842956543
2018-03-14,25.996007919311523
2018-03-15,25.766498565673828
2018-03-16,25.850662231445312
2018-03-19,25.5369873046875
2018-03-20,25.544635772705078
2018-03-21,25.452836990356445
2018-03-22,24.856103897094727
2018-03-23,24.389423370361328
2018-03-26,24.6724910736084
2018-03-27,24.305273056030273
2018-03-28,24.114013671875
2018-03-29,24.442983627319336
2018-04-02,24.075761795043945
2018-04-03,23.807998657226562
2018-04-04,23.945707321166992
2018-04-05,23.945707321166992
2018-04-06,23.723846435546875
2018-04-09,23.494335174560547
2018-04-10,23.76209259033203
2018-04-11,23.70089340209961
2018-04-12,23.81565284729004
2018-04-13,23.501985549926758
2018-04-16,23.754446029663086
2018-04-17,24.08341407775879
2018-04-18,24.31292152404785
2018-04-19,24.573040008544922
2018-04-20,24.65719223022461
2018-04-23,24.748991012573242
2018-04-24,24.61893653869629
2018-04-25,24.221120834350586
2018-04-26,24.106365203857422
2018-04-27,23.85106086730957
2018-04-30,23.94390106201172
2018-05-01,24.059947967529297
2018-05-02,23.936166763305664
2018-05-03,24.02899932861328
2018-05-04,24.609224319458008
2018-05-07,24.663373947143555
2018-05-08,24.477706909179688
2018-05-09,24.717538833618164
2018-05-10,24.663373947143555
2018-05-11,24.346187591552734
2018-05-14,24.12183952331543
2018-05-15,24.059947967529297
2018-05-16,24.20693588256836
2018-05-17,24.330718994140625
2018-05-18,24.20693588256836
2018-05-21,24.508649826049805
2018-05-22,24.655643463134766
2018-05-23,24.593751907348633
2018-05-24,24.601484298706055
2018-05-25,24.694326400756836
2018-05-29,24.30750846862793
2018-05-30,24.547334671020508
2018-05-31,24.70206069946289
2018-06-01,25.01924705505371
2018-06-04,25.143028259277344
2018-06-05,25.081138610839844
2018-06-06,25.235864639282227
2018-06-07,25.266813278198242
2018-06-08,25.336437225341797
2018-06-11,25.452484130859375
2018-06-12,25.390586853027344
2018-06-13,25.560791015625
2018-06-14,25.761938095092773
2018-06-15,25.73099136352539
2018-06-18,25.560791015625
2018-06-19,25.320966720581055
2018-06-20,25.328706741333008
2018-06-21,25.09661102294922
2018-06-22,25.173974990844727
2018-06-25,24.748476028442383
2018-06-26,24.586013793945312
2018-06-27,24.632436752319336
2018-06-28,24.531862258911133
2018-06-29,24.887733459472656
2018-07-02,25.653629302978516
2018-07-03,26.496883392333984
2018-07-05,27.177684783935547
2018-07-06,27.48712921142578
2018-07-09,27.16221046447754
2018-07-10,27.030689239501953
2018-07-11,26.790868759155273
2018-07-12,27.12352752685547
2018-07-13,27.239572525024414
2018-07-16,27.33241081237793
2018-07-17,27.62638282775879
2018-07-18,28.028676986694336
2018-07-19,27.572227478027344
2018-07-20,27.81205940246582
2018-07-23,27.84300422668457
2018-07-24,27.997737884521484
2018-07-25,27.88941764831543
2018-07-26,27.850738525390625
2018-07-27,27.748525619506836
2018-07-30,27.489044189453125
2018-07-31,27.457590103149414
2018-08-01,27.347509384155273
2018-08-02,27.300334930419922
2018-08-03,27.528356552124023
2018-08-06,27.740657806396484
2018-08-07,27.960824966430664
2018-08-08,28.2832088470459
2018-08-09,28.125944137573242
2018-08-10,27.79570198059082
2018-08-13,27.51263427734375
2018-08-14,28.118083953857422
2018-08-15,27.842876434326172
