,OTIS
2023-01-11,79.67572021484375
2023-01-12,80.64854431152344
2023-01-13,80.98904418945312
2023-01-17,80.72637939453125
2023-01-18,79.56869506835938
2023-01-19,77.48682403564453
2023-01-20,78.61531066894531
2023-01-23,79.1406478881836
2023-01-24,79.88001251220703
2023-01-25,78.76124572753906
2023-01-26,78.87798309326172
2023-01-27,78.9947280883789
2023-01-30,78.76124572753906
2023-01-31,79.99674987792969
2023-02-01,82.26347351074219
2023-02-02,81.58248138427734
2023-02-03,82.42886352539062
2023-02-06,81.39763641357422
2023-02-07,81.35871887207031
2023-02-08,81.26144409179688
2023-02-09,80.56098937988281
2023-02-10,80.95986938476562
2023-02-13,82.08836364746094
2023-02-14,82.03971099853516
2023-02-15,82.273193359375
2023-02-16,81.59962463378906
2023-02-17,82.74176788330078
2023-02-21,81.0822525024414
2023-02-22,81.38487243652344
2023-02-23,81.97057342529297
2023-02-24,81.638671875
2023-02-27,81.9998550415039
2023-02-28,82.6051025390625
2023-03-01,83.20057678222656
2023-03-02,83.63009643554688
2023-03-03,84.86009216308594
2023-03-06,84.58676147460938
2023-03-07,83.11270141601562
2023-03-08,83.3079605102539
2023-03-09,82.14628601074219
2023-03-10,80.19391632080078
2023-03-13,79.9889144897461
2023-03-14,81.44343566894531
2023-03-15,79.22749328613281
2023-03-16,79.56916046142578
2023-03-17,78.1341552734375
2023-03-20,79.83271789550781
2023-03-21,80.35009765625
2023-03-22,78.71985626220703
2023-03-23,78.36843872070312
2023-03-24,78.58320617675781
2023-03-27,79.0615234375
2023-03-28,79.77415466308594
2023-03-29,80.85772705078125
2023-03-30,81.15058898925781
2023-03-31,82.39033508300781
2023-04-03,82.19509887695312
2023-04-04,78.7101058959961
2023-04-05,77.49964141845703
2023-04-06,76.62105560302734
2023-04-10,77.24581146240234
2023-04-11,77.8705825805664
2023-04-12,78.80772399902344
2023-04-13,79.22749328613281
2023-04-14,79.32511138916016
2023-04-17,80.41844177246094
2023-04-18,80.33058166503906
2023-04-19,80.53558349609375
2023-04-20,80.77962493896484
2023-04-21,80.7601089477539
2023-04-24,81.07249450683594
2023-04-25,80.68201446533203
2023-04-26,79.93033599853516
2023-04-27,83.83509826660156
2023-04-28,83.26891326904297
2023-05-01,83.90342712402344
2023-05-02,84.20604705810547
2023-05-03,83.50318908691406
2023-05-04,83.26891326904297
2023-05-05,83.9131851196289
2023-05-08,83.71795654296875
2023-05-09,83.41533660888672
2023-05-10,83.41533660888672
2023-05-11,82.52701568603516
2023-05-12,82.39033508300781
2023-05-15,82.49771881103516
2023-05-16,80.96510314941406
2023-05-17,81.75581359863281
2023-05-18,82.82420349121094
2023-05-19,82.88301086425781
2023-05-22,82.41252136230469
2023-05-23,80.6090087890625
2023-05-24,79.49163055419922
2023-05-25,79.81507873535156
2023-05-26,80.16793823242188
2023-05-30,79.61905670166016
2023-05-31,77.93315887451172
2023-06-01,79.89350128173828
2023-06-02,83.90238189697266
2023-06-05,82.85359954833984
2023-06-06,83.82396697998047
2023-06-07,85.46085357666016
2023-06-08,84.38265991210938
2023-06-09,83.96118927001953
2023-06-12,84.78453063964844
2023-06-13,85.47064208984375
2023-06-14,85.77450561523438
2023-06-15,86.78407287597656
2023-06-16,86.86249542236328
2023-06-20,85.35302734375
2023-06-21,85.27462005615234
2023-06-22,84.3630599975586
2023-06-23,84.65711212158203
2023-06-26,85.39224243164062
2023-06-27,85.99993896484375
2023-06-28,85.77450561523438
2023-06-29,86.85269165039062
2023-06-30,87.24474334716797
2023-07-03,86.85269165039062
2023-07-05,85.80390930175781
2023-07-06,84.67671966552734
2023-07-07,85.13739776611328
2023-07-10,85.549072265625
2023-07-11,85.69609069824219
2023-07-12,86.95069885253906
2023-07-13,87.29375457763672
2023-07-14,86.96050262451172
2023-07-17,86.78407287597656
2023-07-18,86.77427673339844
2023-07-19,86.33319854736328
2023-07-20,85.13739776611328
2023-07-21,85.5196533203125
2023-07-24,85.50006103515625
2023-07-25,85.83331298828125
2023-07-26,88.93065643310547
2023-07-27,87.89167022705078
2023-07-28,88.26412963867188
2023-07-31,89.15608215332031
2023-08-01,88.44056701660156
2023-08-02,87.61722564697266
2023-08-03,87.84265899658203
2023-08-04,86.75467681884766
2023-08-07,88.41114807128906
2023-08-08,87.17615509033203
2023-08-09,86.25479125976562
2023-08-10,86.03914642333984
2023-08-11,85.67648315429688
2023-08-14,85.32362365722656
2023-08-15,84.03960418701172
2023-08-16,83.57892608642578
2023-08-17,82.58499145507812
2023-08-18,82.39801788330078
2023-08-21,82.19135284423828
2023-08-22,81.63042449951172
2023-08-23,82.51610565185547
2023-08-24,81.52216339111328
2023-08-25,82.53578186035156
2023-08-28,83.29353332519531
2023-08-29,84.14970397949219
2023-08-30,84.29730987548828
2023-08-31,84.1890640258789
2023-09-01,84.7991943359375
2023-09-05,83.00814819335938
2023-09-06,83.0475082397461
2023-09-07,81.65010833740234
2023-09-08,81.39424896240234
2023-09-11,81.6697769165039
2023-09-12,81.2761459350586
2023-09-13,79.99683380126953
2023-09-14,80.38062286376953
2023-09-15,79.82953643798828
2023-09-18,80.0952377319336
2023-09-19,80.87267303466797
2023-09-20,80.40029907226562
2023-09-21,79.64256286621094
2023-09-22,79.5343017578125
2023-09-25,79.6622314453125
2023-09-26,78.02864837646484
2023-09-27,78.08769226074219
2023-09-28,79.18987274169922
2023-09-29,79.03242492675781
2023-10-02,78.23529815673828
2023-10-03,78.13689422607422
2023-10-04,78.7863998413086
2023-10-05,77.88102722167969
2023-10-06,78.2746810913086
2023-10-09,78.67813873291016
2023-10-10,79.02257537841797
2023-10-11,79.75080871582031
2023-10-12,79.16035461425781
2023-10-13,78.72734832763672
2023-10-16,79.229248046875
2023-10-17,79.78032684326172
2023-10-18,77.59564208984375
2023-10-19,76.92646026611328
2023-10-20,76.29663848876953
2023-10-23,75.68651580810547
2023-10-24,76.04077911376953
2023-10-25,74.26941680908203
2023-10-26,74.31861877441406
2023-10-27,74.92875671386719
2023-10-30,75.32239532470703
2023-10-31,75.98172760009766
2023-11-01,75.58809661865234
2023-11-02,77.39883422851562
2023-11-03,78.54037475585938
2023-11-06,79.04226684570312
2023-11-07,78.59942626953125
2023-11-08,79.56382751464844
2023-11-09,79.36701202392578
2023-11-10,80.72505950927734
2023-11-13,80.47903442382812
2023-11-14,82.60467529296875
2023-11-15,82.27007293701172
2023-11-16,82.92223358154297
