,LVS
2016-08-25,41.076148986816406
2016-08-26,40.72819519042969
2016-08-29,41.1894416809082
2016-08-30,41.23798370361328
2016-08-31,40.63107681274414
2016-09-01,43.54427719116211
2016-09-02,43.641380310058594
2016-09-06,44.28876876831055
2016-09-07,44.5477294921875
2016-09-08,45.05752944946289
2016-09-09,45.02516174316406
2016-09-12,46.03669738769531
2016-09-13,45.75346755981445
2016-09-14,47.1857795715332
2016-09-15,47.28288650512695
2016-09-16,47.1857795715332
2016-09-19,46.39275360107422
2016-09-20,46.122310638427734
2016-09-21,46.51567459106445
2016-09-22,46.85167694091797
2016-09-23,47.023765563964844
2016-09-26,46.26982879638672
2016-09-27,46.622222900390625
2016-09-28,47.10572052001953
2016-09-29,46.654991149902344
2016-09-30,47.15488815307617
2016-10-03,48.244842529296875
2016-10-04,48.19568634033203
2016-10-05,48.244842529296875
2016-10-06,48.18748092651367
2016-10-07,47.84328842163086
2016-10-10,48.40875244140625
2016-10-11,48.318603515625
2016-10-12,48.15470886230469
2016-10-13,47.60562515258789
2016-10-14,47.310604095458984
2016-10-17,47.17948532104492
2016-10-18,47.08115005493164
2016-10-19,47.66299819946289
2016-10-20,47.44992446899414
2016-10-21,46.843482971191406
2016-10-24,47.49089050292969
2016-10-25,47.53187561035156
2016-10-26,47.548255920410156
2016-10-27,46.74513626098633
2016-10-28,47.326995849609375
2016-10-31,47.433528900146484
2016-11-01,48.04817581176758
2016-11-02,47.19587707519531
2016-11-03,46.499290466308594
2016-11-04,48.41695022583008
2016-11-07,48.26124572753906
2016-11-08,48.744754791259766
2016-11-09,48.93325424194336
2016-11-10,48.01538848876953
2016-11-11,47.53187561035156
2016-11-14,46.74513626098633
2016-11-15,48.31040954589844
2016-11-16,47.65480422973633
2016-11-17,49.00699996948242
2016-11-18,49.6544189453125
2016-11-21,50.572269439697266
2016-11-22,51.3590087890625
2016-11-23,51.15412902832031
2016-11-25,51.49832534790039
2016-11-28,51.26066970825195
2016-11-29,50.932857513427734
2016-11-30,51.3590087890625
2016-12-01,50.95744323730469
2016-12-02,49.98222351074219
2016-12-05,50.08876419067383
2016-12-06,51.19511032104492
2016-12-07,51.36720657348633
2016-12-08,44.802886962890625
2016-12-09,45.35195541381836
2016-12-12,45.99937057495117
2016-12-13,47.4089469909668
2016-12-14,47.294212341308594
2016-12-15,46.04854965209961
2016-12-16,46.72055435180664
2016-12-19,45.40087127685547
2016-12-20,45.03565979003906
2016-12-21,45.25146484375
2016-12-22,45.002464294433594
2016-12-23,45.02735900878906
2016-12-27,44.97755813598633
2016-12-28,44.71196365356445
2016-12-29,44.869667053222656
2016-12-30,44.330169677734375
2017-01-03,44.26376724243164
2017-01-04,45.63326644897461
2017-01-05,45.71626281738281
2017-01-06,46.039947509765625
2017-01-09,46.23916244506836
2017-01-10,46.98615646362305
2017-01-11,46.22255325317383
2017-01-12,46.031654357910156
2017-01-13,45.882259368896484
2017-01-17,46.4715576171875
2017-01-18,46.51304626464844
2017-01-19,46.3470573425293
2017-01-20,46.26405715942383
2017-01-23,46.039947509765625
2017-01-24,46.446651458740234
2017-01-25,47.01935958862305
2017-01-26,43.500160217285156
2017-01-27,44.25546646118164
2017-01-30,43.823856353759766
2017-01-31,43.64126968383789
2017-02-01,42.95235824584961
2017-02-02,42.90256118774414
2017-02-03,43.002166748046875
2017-02-06,43.14326858520508
2017-02-07,43.11007308959961
2017-02-08,43.27607345581055
2017-02-09,43.93177032470703
2017-02-10,43.77406311035156
2017-02-13,44.12266540527344
2017-02-14,44.03966522216797
2017-02-15,43.989864349365234
2017-02-16,43.58315658569336
2017-02-17,43.18476104736328
2017-02-21,43.19306945800781
2017-02-22,43.13495635986328
2017-02-23,42.968963623046875
2017-02-24,43.300960540771484
2017-02-27,43.915157318115234
2017-02-28,43.9483642578125
2017-03-01,45.616661071777344
2017-03-02,44.537662506103516
2017-03-03,44.68705749511719
2017-03-06,45.0771598815918
2017-03-07,45.06885528564453
2017-03-08,44.803260803222656
2017-03-09,44.61235809326172
2017-03-10,44.994163513183594
2017-03-13,45.790958404541016
2017-03-14,46.114654541015625
2017-03-15,46.56285095214844
2017-03-16,46.91144561767578
2017-03-17,47.45095443725586
2017-03-20,47.60865020751953
2017-03-21,47.011756896972656
2017-03-22,46.9613151550293
2017-03-23,46.73432159423828
2017-03-24,46.75954818725586
2017-03-27,47.6086540222168
2017-03-28,47.86086654663086
2017-03-29,48.129886627197266
2017-03-30,47.944923400878906
2017-03-31,47.97855758666992
2017-04-03,48.0710334777832
2017-04-04,47.64228057861328
2017-04-05,47.221927642822266
2017-04-06,47.65068054199219
2017-04-07,47.24715042114258
2017-04-10,46.7091064453125
2017-04-11,47.20511245727539
2017-04-12,47.507774353027344
2017-04-13,46.994937896728516
2017-04-17,47.44892120361328
2017-04-18,47.81040954589844
2017-04-19,47.659095764160156
2017-04-20,48.567054748535156
2017-04-21,48.23917770385742
2017-04-24,48.46615982055664
2017-04-25,49.155540466308594
2017-04-26,49.8196907043457
2017-04-27,49.76924133300781
2017-04-28,49.59269332885742
2017-05-01,49.928977966308594
2017-05-02,49.76083755493164
2017-05-03,49.86172103881836
2017-05-04,49.18075180053711
2017-05-05,49.390926361083984
2017-05-08,48.087860107421875
2017-05-09,48.794036865234375
2017-05-10,49.037837982177734
2017-05-11,48.30643081665039
2017-05-12,49.306861877441406
2017-05-15,49.01262283325195
2017-05-16,48.844478607177734
2017-05-17,47.78520202636719
2017-05-18,47.79360580444336
2017-05-19,47.72634506225586
2017-05-22,48.508201599121094
2017-05-23,48.36527633666992
2017-05-24,48.36527633666992
2017-05-25,48.71837615966797
2017-05-26,48.777225494384766
2017-05-30,49.348899841308594
2017-05-31,49.710391998291016
2017-06-01,52.165225982666016
2017-06-02,52.585575103759766
2017-06-05,52.467872619628906
2017-06-06,53.51875305175781
2017-06-07,53.686893463134766
2017-06-08,54.334224700927734
2017-06-09,53.54397201538086
2017-06-12,53.762550354003906
2017-06-13,54.5359992980957
2017-06-14,54.847049713134766
2017-06-15,54.451927185058594
2017-06-16,54.63687515258789
2017-06-19,55.58686828613281
2017-06-20,54.93230438232422
