,CRM
2017-04-25,84.37542724609375
2017-04-26,84.57453918457031
2017-04-27,85.4705581665039
2017-04-28,85.73937225341797
2017-05-01,86.27698516845703
2017-05-02,86.705078125
2017-05-03,86.16748046875
2017-05-04,86.13760375976562
2017-05-05,86.58561706542969
2017-05-08,86.47610473632812
2017-05-09,86.74490356445312
2017-05-10,86.92411041259766
2017-05-11,87.32234191894531
2017-05-12,88.64646911621094
2017-05-15,89.40311431884766
2017-05-16,89.35332489013672
2017-05-17,87.45176696777344
2017-05-18,87.36216735839844
2017-05-19,87.01371765136719
2017-05-22,88.54691314697266
2017-05-23,88.09889221191406
2017-05-24,89.20398712158203
2017-05-25,90.86661529541016
2017-05-26,90.42855834960938
2017-05-30,90.45842742919922
2017-05-31,89.24381256103516
2017-06-01,89.65200805664062
2017-06-02,90.45842742919922
2017-06-05,90.97611999511719
2017-06-06,90.6973648071289
2017-06-07,90.98607635498047
2017-06-08,90.8467025756836
2017-06-09,86.88428497314453
2017-06-12,85.79911041259766
2017-06-13,86.88428497314453
2017-06-14,86.78473663330078
2017-06-15,85.88871002197266
2017-06-16,85.61991119384766
2017-06-19,87.15309143066406
2017-06-20,86.53583526611328
2017-06-21,87.17300415039062
2017-06-22,88.0789794921875
2017-06-23,88.22833251953125
2017-06-26,87.72057342529297
2017-06-27,87.29247283935547
2017-06-28,87.7006607055664
2017-06-29,86.41637420654297
2017-06-30,86.21725463867188
2017-07-03,85.7194595336914
2017-07-05,87.11327362060547
2017-07-06,86.46614074707031
2017-07-07,87.53141021728516
2017-07-10,88.10884857177734
2017-07-11,87.95951843261719
2017-07-12,90.00045776367188
2017-07-13,89.17411804199219
2017-07-14,89.60222625732422
2017-07-17,88.89535522460938
2017-07-18,88.87545013427734
2017-07-19,89.1641616821289
2017-07-20,90.13983154296875
2017-07-21,89.2936019897461
2017-07-24,89.273681640625
2017-07-25,90.22943878173828
2017-07-26,90.66749572753906
2017-07-27,90.10997009277344
2017-07-28,90.21949005126953
2017-07-31,90.39868927001953
2017-08-01,90.81683349609375
2017-08-02,89.49271392822266
2017-08-03,89.95067596435547
2017-08-04,90.05023193359375
2017-08-07,90.10001373291016
2017-08-08,89.86107635498047
2017-08-09,89.72169494628906
2017-08-10,87.2426986694336
2017-08-11,87.8997802734375
2017-08-14,89.85111999511719
2017-08-15,90.29913330078125
2017-08-16,91.83232116699219
2017-08-17,90.47833251953125
2017-08-18,90.3588638305664
2017-08-21,91.35444641113281
2017-08-22,92.5391845703125
2017-08-23,92.65865325927734
2017-08-24,93.73388671875
2017-08-25,93.6841049194336
2017-08-28,93.24604797363281
2017-08-29,93.41529846191406
2017-08-30,94.44074249267578
2017-08-31,95.06795501708984
2017-09-01,95.58566284179688
2017-09-05,95.75491333007812
2017-09-06,95.3965072631836
2017-09-07,96.30248260498047
2017-09-08,96.0038070678711
2017-09-11,97.27814483642578
2017-09-12,96.42194366455078
2017-09-13,95.18743133544922
2017-09-14,94.87879943847656
2017-09-15,94.21176147460938
2017-09-18,95.31684875488281
2017-09-19,94.92858123779297
2017-09-20,94.78919982910156
2017-09-21,94.44074249267578
2017-09-22,94.52039337158203
2017-09-25,92.0613021850586
2017-09-26,91.931884765625
2017-09-27,92.79803466796875
2017-09-28,92.19072723388672
2017-09-29,93.0071029663086
2017-10-02,93.52481079101562
2017-10-03,94.93852996826172
2017-10-04,95.09782409667969
2017-10-05,95.30690002441406
2017-10-06,95.894287109375
2017-10-09,95.84451293945312
2017-10-10,94.96839904785156
2017-10-11,95.58566284179688
2017-10-12,96.31243133544922
2017-10-13,96.51155090332031
2017-10-16,96.72061920166016
2017-10-17,96.29252624511719
2017-10-18,96.0137710571289
2017-10-19,96.76044464111328
2017-10-20,98.462890625
2017-10-23,98.00492858886719
2017-10-24,98.22395324707031
2017-10-25,99.14983367919922
2017-10-26,99.60780334472656
2017-10-27,100.25492858886719
2017-10-30,100.25492858886719
2017-10-31,101.88768005371094
2017-11-01,101.49940490722656
2017-11-02,102.14653778076172
2017-11-03,102.25604248046875
2017-11-06,101.96733093261719
2017-11-07,102.26600646972656
2017-11-08,104.5657958984375
2017-11-09,103.1421127319336
2017-11-10,104.77486419677734
2017-11-13,105.3124771118164
2017-11-14,105.76049041748047
2017-11-15,104.96402740478516
2017-11-16,106.55695343017578
2017-11-17,107.10452270507812
2017-11-20,106.89546203613281
2017-11-21,108.31913757324219
2017-11-22,106.35784149169922
2017-11-24,106.67642974853516
2017-11-27,106.10894775390625
2017-11-28,105.98947143554688
2017-11-29,103.07241821289062
2017-11-30,103.85893249511719
2017-12-01,103.37110137939453
2017-12-04,99.40868377685547
2017-12-05,100.24497985839844
2017-12-06,102.4651107788086
2017-12-07,103.61003875732422
2017-12-08,102.98283386230469
2017-12-11,104.07795715332031
2017-12-12,103.21180725097656
2017-12-13,103.4806137084961
2017-12-14,103.77928924560547
2017-12-15,105.0138168334961
2017-12-18,104.6155776977539
2017-12-19,103.79920196533203
2017-12-20,102.93304443359375
2017-12-21,103.16203308105469
2017-12-22,102.17639923095703
2017-12-26,102.08679962158203
2017-12-27,102.1963119506836
2017-12-28,102.33570098876953
2017-12-29,101.7781753540039
2018-01-02,103.94853973388672
2018-01-03,104.82464599609375
2018-01-04,106.20850372314453
2018-01-05,107.62223052978516
2018-01-08,108.37886810302734
2018-01-09,108.66758728027344
2018-01-10,108.31913757324219
2018-01-11,108.61780548095703
2018-01-12,109.75276947021484
2018-01-16,108.40873718261719
2018-01-17,109.55365753173828
2018-01-18,111.2760009765625
2018-01-19,111.43529510498047
2018-01-22,112.39105987548828
2018-01-23,112.73950958251953
2018-01-24,112.35123443603516
2018-01-25,111.46516418457031
2018-01-26,113.19747161865234
2018-01-29,112.79925537109375
2018-01-30,111.73397827148438
2018-01-31,113.40655517578125
2018-02-01,112.24171447753906
2018-02-02,110.29037475585938
2018-02-05,107.1742172241211
2018-02-06,109.08573150634766
2018-02-07,109.56360626220703
2018-02-08,103.57022094726562
2018-02-09,106.50717163085938
2018-02-12,108.07024383544922
2018-02-13,107.21404266357422
2018-02-14,108.53814697265625
2018-02-15,112.62004089355469
2018-02-16,112.36119079589844
2018-02-20,113.8446044921875
2018-02-21,113.97403717041016
2018-02-22,112.50057220458984
2018-02-23,114.45191192626953
2018-02-26,116.13443756103516
2018-02-27,115.95523834228516
2018-02-28,115.73619842529297
2018-03-01,118.90215301513672
2018-03-02,121.38114929199219
2018-03-05,121.95858001708984
2018-03-06,123.9298324584961
2018-03-07,124.77607727050781
2018-03-08,125.80152130126953
2018-03-09,126.84688568115234
2018-03-12,126.21966552734375
2018-03-13,126.16988372802734
2018-03-14,127.42431640625
2018-03-15,126.65772247314453
2018-03-16,125.41324615478516
2018-03-19,124.42761993408203
2018-03-20,124.56700134277344
2018-03-21,121.16211700439453
2018-03-22,117.51829528808594
2018-03-23,113.92424774169922
2018-03-26,118.44418334960938
2018-03-27,113.3069839477539
2018-03-28,112.38109588623047
2018-03-29,115.7859878540039
2018-04-02,114.79041290283203
2018-04-03,115.97514343261719
2018-04-04,118.95193481445312
2018-04-05,118.51387786865234
2018-04-06,115.58686828613281
2018-04-09,116.67205047607422
2018-04-10,118.96188354492188
2018-04-11,118.63334655761719
2018-04-12,120.86344909667969
2018-04-13,118.4840087890625
2018-04-16,118.88224792480469
2018-04-17,122.80482482910156
2018-04-18,123.909912109375
2018-04-19,123.51168823242188
2018-04-20,122.27716827392578
2018-04-23,121.35128021240234
2018-04-24,117.35899353027344
2018-04-25,116.80147552490234
2018-04-26,120.29596710205078
2018-04-27,119.68865966796875
2018-04-30,120.45525360107422
2018-05-01,122.56588745117188
2018-05-02,122.27716827392578
2018-05-03,123.86014556884766
2018-05-04,124.56700134277344
2018-05-07,126.40882873535156
2018-05-08,128.1809539794922
2018-05-09,129.15663146972656
2018-05-10,130.04269409179688
2018-05-11,130.0526580810547
2018-05-14,127.12564849853516
2018-05-15,127.56370544433594
2018-05-16,128.2008819580078
2018-05-17,125.4928970336914
2018-05-18,126.39887237548828
2018-05-21,125.81148529052734
2018-05-22,124.8855972290039
2018-05-23,127.52388000488281
2018-05-24,128.17100524902344
2018-05-25,127.39444732666016
2018-05-29,126.31922912597656
2018-05-30,128.728515625
2018-05-31,128.75839233398438
2018-06-01,129.94313049316406
2018-06-04,132.06370544433594
2018-06-05,133.5272216796875
2018-06-06,134.95091247558594
2018-06-07,132.3225860595703
2018-06-08,132.93983459472656
2018-06-11,133.38783264160156
2018-06-12,135.65774536132812
2018-06-13,135.89671325683594
2018-06-14,137.7982635498047
2018-06-15,137.7982635498047
2018-06-18,139.18212890625
2018-06-19,138.90338134765625
2018-06-20,138.325927734375
2018-06-21,137.27061462402344
2018-06-22,134.4132843017578
2018-06-25,132.60134887695312
2018-06-26,134.88121032714844
2018-06-27,132.63121032714844
2018-06-28,134.52279663085938
2018-06-29,135.79713439941406
2018-07-02,139.809326171875
2018-07-03,137.2307891845703
2018-07-05,139.15225219726562
2018-07-06,140.77503967285156
2018-07-09,141.13345336914062
2018-07-10,141.82040405273438
2018-07-11,144.60804748535156
2018-07-12,147.50518798828125
2018-07-13,146.95761108398438
2018-07-16,146.3104705810547
2018-07-17,146.37020874023438
2018-07-18,147.1865692138672
2018-07-19,146.5095977783203
2018-07-20,146.2208709716797
2018-07-23,146.90782165527344
2018-07-24,145.354736328125
2018-07-25,148.2120361328125
2018-07-26,146.91778564453125
2018-07-27,143.27395629882812
2018-07-30,137.41993713378906
2018-07-31,136.5438232421875
2018-08-01,137.0714874267578
2018-08-02,140.51620483398438
2018-08-03,140.41664123535156
2018-08-06,142.0792694091797
2018-08-07,143.80162048339844
2018-08-08,144.5283966064453
