,DAL
2023-03-31,34.379486083984375
2023-04-03,33.857696533203125
2023-04-04,33.39497375488281
2023-04-05,32.94208526611328
2023-04-06,33.16852951049805
2023-04-10,33.44419479370117
2023-04-11,34.04475784301758
2023-04-12,33.21775817871094
2023-04-13,32.85348129272461
2023-04-14,33.24728775024414
2023-04-17,34.054595947265625
2023-04-18,34.81268310546875
2023-04-19,35.37385559082031
2023-04-20,34.10382843017578
2023-04-21,33.79862594604492
2023-04-24,33.59187698364258
2023-04-25,32.59750747680664
2023-04-26,32.243080139160156
2023-04-27,32.81410217285156
2023-04-28,33.778934478759766
2023-05-01,34.182586669921875
2023-05-02,33.995521545410156
2023-05-03,33.60171890258789
2023-05-04,32.56797409057617
2023-05-05,33.41466522216797
2023-05-08,33.67063903808594
2023-05-09,33.67063903808594
2023-05-10,33.276824951171875
2023-05-11,32.705810546875
2023-05-12,32.71565246582031
2023-05-15,33.198062896728516
2023-05-16,33.29651641845703
2023-05-17,35.37385559082031
2023-05-18,35.33448028564453
2023-05-19,35.039119720458984
2023-05-22,34.911136627197266
2023-05-23,35.354164123535156
2023-05-24,34.389339447021484
2023-05-25,35.19664001464844
2023-05-26,35.33448028564453
2023-05-30,35.71843338012695
2023-05-31,35.767669677734375
2023-06-01,35.81689453125
2023-06-02,36.4371452331543
2023-06-05,36.52574157714844
2023-06-06,37.05739212036133
2023-06-07,37.63825607299805
2023-06-08,38.504634857177734
2023-06-09,38.672000885009766
2023-06-12,39.577762603759766
2023-06-13,40.91671371459961
2023-06-14,41.53696060180664
2023-06-15,42.216278076171875
2023-06-16,42.127681732177734
2023-06-20,41.82247543334961
2023-06-21,42.127681732177734
2023-06-22,42.27534866333008
2023-06-23,42.19659423828125
2023-06-26,42.472259521484375
2023-06-27,45.3765983581543
2023-06-28,45.987003326416016
2023-06-29,45.59319305419922
2023-06-30,46.80415344238281
2023-07-03,47.2176513671875
2023-07-05,47.768985748291016
2023-07-06,46.59740447998047
2023-07-07,47.13888931274414
2023-07-10,47.70991897583008
2023-07-11,47.90681838989258
2023-07-12,47.20781326293945
2023-07-13,46.97152328491211
2023-07-14,45.866546630859375
2023-07-17,46.17238235473633
2023-07-18,47.72132873535156
2023-07-19,47.8989143371582
2023-07-20,48.03704071044922
2023-07-21,47.8989143371582
2023-07-24,46.843265533447266
2023-07-25,45.81721115112305
2023-07-26,45.80734634399414
2023-07-27,45.13646697998047
2023-07-28,45.106868743896484
2023-07-31,45.639625549316406
2023-08-01,44.79116439819336
2023-08-02,44.19920349121094
2023-08-03,43.59738540649414
2023-08-04,43.99201965332031
2023-08-07,44.63330841064453
2023-08-08,45.175933837890625
2023-08-09,44.426124572753906
2023-08-10,44.25840377807617
2023-08-11,43.57765197753906
2023-08-14,43.6368522644043
2023-08-15,42.44308090209961
2023-08-16,42.09777069091797
2023-08-17,41.219703674316406
2023-08-18,40.933597564697266
2023-08-21,41.18024444580078
2023-08-22,41.05198669433594
2023-08-23,41.63407516479492
2023-08-24,41.338096618652344
2023-08-25,41.140777587890625
2023-08-28,41.84125518798828
2023-08-29,43.18302536010742
2023-08-30,42.65026092529297
2023-08-31,42.30495834350586
2023-09-01,42.285221099853516
2023-09-05,41.199974060058594
2023-09-06,41.1506462097168
2023-09-07,40.578426361083984
2023-09-08,40.272579193115234
2023-09-11,40.29231643676758
2023-09-12,40.14432144165039
2023-09-13,39.01961135864258
2023-09-14,38.80256271362305
2023-09-15,39.36491775512695
2023-09-18,38.36846160888672
2023-09-19,38.920955657958984
2023-09-20,38.35859298706055
2023-09-21,37.786376953125
2023-09-22,37.16482162475586
2023-09-25,37.05630111694336
2023-09-26,36.276893615722656
2023-09-27,36.16836929321289
2023-09-28,36.4544792175293
2023-09-29,36.50380325317383
2023-10-02,35.96118927001953
2023-10-03,34.76741027832031
2023-10-04,35.576416015625
2023-10-05,35.95132064819336
2023-10-06,36.50380325317383
2023-10-09,34.8068733215332
2023-10-10,35.34950256347656
2023-10-11,35.59683609008789
2023-10-12,34.775672912597656
2023-10-13,33.736854553222656
2023-10-16,34.05344772338867
2023-10-17,34.3106803894043
2023-10-18,32.78708267211914
2023-10-19,32.36166000366211
2023-10-20,31.886770248413086
2023-10-23,31.698795318603516
2023-10-24,31.67900848388672
2023-10-25,31.075504302978516
2023-10-26,31.263479232788086
2023-10-27,30.323596954345703
2023-10-30,30.89742088317871
2023-10-31,30.917205810546875
2023-11-01,30.77869987487793
2023-11-02,31.67900848388672
2023-11-03,32.994842529296875
2023-11-06,32.569419860839844
2023-11-07,33.08388137817383
2023-11-08,33.80611038208008
2023-11-09,33.12345504760742
2023-11-10,33.69728469848633
2023-11-13,33.80611038208008
2023-11-14,34.864715576171875
2023-11-15,35.379173278808594
2023-11-16,35.131839752197266
2023-11-17,35.67598342895508
2023-11-20,36.111297607421875
2023-11-21,35.49789810180664
2023-11-22,35.56715393066406
2023-11-24,35.71556091308594
2023-11-27,35.45832824707031
2023-11-28,35.65620040893555
2023-11-29,36.24980545043945
2023-11-30,36.53671646118164
2023-12-01,37.64479064941406
2023-12-04,37.75362014770508
2023-12-05,37.20948028564453
2023-12-06,38.52531433105469
2023-12-07,39.910404205322266
2023-12-08,39.92029571533203
2023-12-11,40.078590393066406
2023-12-12,40.80082321166992
2023-12-13,40.75135040283203
2023-12-14,41.988037109375
2023-12-15,41.88910675048828
2023-12-18,40.741455078125
2023-12-19,40.71177673339844
2023-12-20,39.910404205322266
2023-12-21,40.682098388671875
2023-12-22,40.691993713378906
2023-12-26,40.325927734375
2023-12-27,40.15774154663086
2023-12-28,40.197322845458984
2023-12-29,39.801578521728516
2024-01-02,40.01923370361328
2024-01-03,38.32744598388672
2024-01-04,38.78254699707031
2024-01-05,40.108272552490234
2024-01-08,41.186668395996094
2024-01-09,41.869319915771484
2024-01-10,41.661556243896484
2024-01-11,41.809959411621094
2024-01-12,38.06032180786133
2024-01-16,37.07097244262695
2024-01-17,36.74448013305664
2024-01-18,37.684364318847656
2024-01-19,36.88298797607422
2024-01-22,36.586185455322266
2024-01-23,37.6052131652832
2024-01-24,37.783302307128906
2024-01-25,39.75210952758789
2024-01-26,39.20796585083008
2024-01-29,39.66306686401367
2024-01-30,39.09913635253906
2024-01-31,38.723182678222656
2024-02-01,39.33658218383789
2024-02-02,39.55424118041992
2024-02-05,38.82212448120117
2024-02-06,39.75210952758789
2024-02-07,39.78179168701172
2024-02-08,39.92029571533203
2024-02-09,40.078590393066406
2024-02-12,40.147850036621094
2024-02-13,39.58391571044922
2024-02-14,40.40508270263672
2024-02-15,40.563377380371094
2024-02-16,39.692745208740234
2024-02-20,40.16763687133789
2024-02-21,40.325927734375
2024-02-22,41.67144775390625
2024-02-23,41.373939514160156
2024-02-26,41.443355560302734
2024-02-27,41.631778717041016
2024-02-28,41.661529541015625
2024-02-29,41.919376373291016
2024-03-01,41.81028366088867
2024-03-04,41.225181579589844
2024-03-05,41.453269958496094
2024-03-06,41.671443939208984
2024-03-07,42.425140380859375
2024-03-08,41.889625549316406
2024-03-11,42.32597351074219
2024-03-12,42.405311584472656
2024-03-13,43.545772552490234
2024-03-14,42.70281982421875
2024-03-15,42.762325286865234
2024-03-18,43.07966613769531
2024-03-19,43.3771858215332
2024-03-20,45.00358200073242
2024-03-21,45.618438720703125
2024-03-22,45.21183776855469
2024-03-25,45.043243408203125
