,LYB
2018-05-15,76.55231475830078
2018-05-16,78.69525909423828
2018-05-17,79.29584503173828
2018-05-18,79.31632995605469
2018-05-21,80.21035766601562
2018-05-22,79.28219604492188
2018-05-23,78.93414306640625
2018-05-24,79.86229705810547
2018-05-25,77.63744354248047
2018-05-29,76.06094360351562
2018-05-30,77.71935272216797
2018-05-31,76.5182113647461
2018-06-01,77.20066833496094
2018-06-04,77.38493347167969
2018-06-05,78.78400421142578
2018-06-06,80.55841064453125
2018-06-07,80.8996353149414
2018-06-08,81.27819061279297
2018-06-11,80.89274597167969
2018-06-12,80.98910522460938
2018-06-13,79.51622009277344
2018-06-14,78.56640625
2018-06-15,79.37169647216797
2018-06-18,78.95181274414062
2018-06-19,76.57040405273438
2018-06-20,75.71006774902344
2018-06-21,74.34727478027344
2018-06-22,76.4120864868164
2018-06-25,74.07196807861328
2018-06-26,74.5400161743164
2018-06-27,75.04933166503906
2018-06-28,75.26268005371094
2018-06-29,75.60682678222656
2018-07-02,74.02378845214844
2018-07-03,73.48005676269531
2018-07-05,74.21652221679688
2018-07-06,74.725830078125
2018-07-09,76.07482147216797
2018-07-10,75.84082794189453
2018-07-11,73.42501068115234
2018-07-12,73.4525146484375
2018-07-13,73.90678405761719
2018-07-16,73.1083755493164
2018-07-17,74.40921020507812
2018-07-18,74.75334167480469
2018-07-19,74.71894073486328
2018-07-20,74.28533172607422
2018-07-23,74.04444885253906
2018-07-24,74.58818817138672
2018-07-25,75.31085205078125
2018-07-26,76.36390686035156
2018-07-27,75.35905456542969
2018-07-30,75.09748840332031
2018-07-31,76.25381469726562
2018-08-01,75.7857666015625
2018-08-02,74.65702056884766
2018-08-03,77.1898422241211
2018-08-06,77.7817611694336
2018-08-07,78.0501937866211
2018-08-08,77.82304382324219
2018-08-09,78.03642272949219
2018-08-10,77.47893524169922
2018-08-13,76.79755401611328
2018-08-14,77.90567016601562
2018-08-15,76.233154296875
2018-08-16,77.05221557617188
2018-08-17,77.84370422363281
2018-08-20,78.45626831054688
2018-08-21,79.11013793945312
2018-08-22,78.99313354492188
2018-08-23,78.48380279541016
2018-08-24,79.23402404785156
2018-08-27,79.80529022216797
2018-08-28,79.13079071044922
2018-08-29,79.13768005371094
2018-08-30,78.22225952148438
2018-08-31,77.62347412109375
2018-09-04,77.08873748779297
2018-09-05,77.54708099365234
2018-09-06,77.94290161132812
2018-09-07,75.43600463867188
2018-09-10,74.22074890136719
2018-09-11,73.98464965820312
2018-09-12,73.67217254638672
2018-09-13,72.887451171875
2018-09-14,73.13048553466797
2018-09-17,71.8458023071289
2018-09-18,70.9013671875
2018-09-19,71.32498931884766
2018-09-20,72.5610580444336
2018-09-21,73.06108093261719
2018-09-24,72.4638442993164
2018-09-25,72.77633666992188
2018-09-26,72.42218017578125
