,MCO
2017-09-06,125.67656707763672
2017-09-07,125.6578598022461
2017-09-08,126.71575164794922
2017-09-11,127.06214141845703
2017-09-12,127.47412109375
2017-09-13,126.7344741821289
2017-09-14,126.35066223144531
2017-09-15,127.63330078125
2017-09-18,128.03579711914062
2017-09-19,128.01712036132812
2017-09-20,128.04518127441406
2017-09-21,127.93282318115234
2017-09-22,129.224853515625
2017-09-25,129.92698669433594
2017-09-26,129.5244140625
2017-09-27,129.86143493652344
2017-09-28,129.76779174804688
2017-09-29,130.32955932617188
2017-10-02,131.2657928466797
2017-10-03,132.00538635253906
2017-10-04,132.67002868652344
2017-10-05,133.03517150878906
2017-10-06,133.40032958984375
2017-10-09,132.894775390625
2017-10-10,133.0726776123047
2017-10-11,133.4564666748047
2017-10-12,134.74839782714844
2017-10-13,135.0386505126953
2017-10-16,135.51614379882812
2017-10-17,134.93568420410156
2017-10-18,135.9374542236328
2017-10-19,134.99185180664062
2017-10-20,136.36805725097656
2017-10-23,136.74256896972656
2017-10-24,137.62257385253906
2017-10-25,136.29318237304688
2017-10-26,137.97836303710938
2017-10-27,137.06088256835938
2017-10-30,133.85903930664062
2017-10-31,133.32540893554688
2017-11-01,134.3365478515625
2017-11-02,134.37399291992188
2017-11-03,136.9578857421875
2017-11-06,135.2914581298828
2017-11-07,134.59861755371094
2017-11-08,135.6846466064453
2017-11-09,133.96202087402344
2017-11-10,133.1194610595703
2017-11-13,133.0819549560547
2017-11-14,134.0088653564453
2017-11-15,132.9041748046875
2017-11-16,134.89825439453125
2017-11-17,137.42599487304688
2017-11-20,139.2093963623047
2017-11-21,140.28887939453125
2017-11-22,140.23248291015625
2017-11-24,141.0115966796875
2017-11-27,140.6736602783203
2017-11-28,141.6217498779297
2017-11-29,140.64553833007812
2017-11-30,142.5040283203125
2017-12-01,142.0159454345703
2017-12-04,142.43832397460938
2017-12-05,142.74803161621094
2017-12-06,142.9264373779297
2017-12-07,142.4195098876953
2017-12-08,143.0390625
2017-12-11,143.0390625
2017-12-12,143.20803833007812
