,VLO
2016-07-14,35.566768646240234
2016-07-15,35.242156982421875
2016-07-18,35.58793640136719
2016-07-19,35.884334564208984
2016-07-20,35.83494186401367
2016-07-21,35.333892822265625
2016-07-22,35.19981384277344
2016-07-25,35.48914337158203
2016-07-26,37.16868591308594
2016-07-27,36.844078063964844
2016-07-28,36.60413360595703
2016-07-29,36.89346694946289
2016-08-01,36.43477249145508
2016-08-02,36.942867279052734
2016-08-03,38.60830307006836
2016-08-04,37.63444519042969
2016-08-05,37.7544059753418
2016-08-08,38.24134063720703
2016-08-09,37.456390380859375
2016-08-10,37.763221740722656
2016-08-11,38.783660888671875
2016-08-12,38.7693977355957
2016-08-15,38.90497970581055
2016-08-16,38.89070510864258
2016-08-17,39.36882019042969
2016-08-18,39.290313720703125
2016-08-19,39.11904525756836
2016-08-22,38.84075927734375
2016-08-23,39.3973503112793
2016-08-24,39.74702835083008
2016-08-25,39.261775970458984
2016-08-26,39.447303771972656
2016-08-29,39.69707107543945
2016-08-30,39.8183708190918
2016-08-31,39.49726104736328
2016-09-01,38.74085235595703
2016-09-02,39.126182556152344
2016-09-06,39.44017028808594
2016-09-07,40.02531433105469
2016-09-08,40.06813049316406
2016-09-09,39.19041442871094
2016-09-12,39.875457763671875
2016-09-13,39.49726104736328
2016-09-14,38.94065475463867
2016-09-15,40.09667205810547
2016-09-16,40.48201370239258
2016-09-19,40.77458572387695
2016-09-20,39.56861114501953
2016-09-21,39.73274612426758
2016-09-22,39.675655364990234
2016-09-23,39.7255973815918
2016-09-26,38.74085235595703
2016-09-27,39.261775970458984
2016-09-28,39.32598876953125
2016-09-29,36.8997917175293
2016-09-30,37.820316314697266
2016-10-03,37.74895477294922
2016-10-04,38.28416061401367
2016-10-05,39.10478973388672
2016-10-06,39.17613983154297
2016-10-07,38.72657775878906
2016-10-10,39.06196212768555
2016-10-11,38.669498443603516
2016-10-12,38.38404846191406
2016-10-13,38.426856994628906
2016-10-14,38.38404846191406
2016-10-17,38.64094543457031
2016-10-18,39.57575607299805
2016-10-19,38.91923904418945
2016-10-20,39.0833740234375
2016-10-21,39.78982162475586
2016-10-24,40.07527160644531
2016-10-25,42.051910400390625
2016-10-26,42.47293472290039
2016-10-27,41.966285705566406
2016-10-28,41.81643295288086
2016-10-31,42.27313232421875
2016-11-01,42.4515266418457
2016-11-02,41.695106506347656
2016-11-03,41.28836441040039
2016-11-04,41.29549789428711
2016-11-07,41.759342193603516
2016-11-08,41.48817825317383
2016-11-09,44.2640495300293
2016-11-10,44.92768096923828
2016-11-11,44.56375503540039
2016-11-14,44.65652847290039
2016-11-15,45.063262939453125
2016-11-16,45.405792236328125
2016-11-17,46.14792251586914
2016-11-18,45.658145904541016
2016-11-21,46.4864616394043
2016-11-22,46.99784469604492
2016-11-23,46.616092681884766
2016-11-25,46.71693420410156
2016-11-28,45.946250915527344
2016-11-29,45.93183898925781
2016-11-30,44.340030670166016
2016-12-01,43.598167419433594
2016-12-02,44.268009185791016
2016-12-05,46.472042083740234
2016-12-06,46.616092681884766
2016-12-07,48.64727020263672
2016-12-08,49.245094299316406
2016-12-09,48.97859573364258
2016-12-12,48.12866973876953
2016-12-13,48.402374267578125
2016-12-14,47.8909912109375
2016-12-15,48.71931076049805
2016-12-16,48.97859573364258
2016-12-19,48.58244705200195
2016-12-20,48.66887664794922
2016-12-21,48.92817687988281
2016-12-22,49.4972038269043
2016-12-23,49.67005920410156
2016-12-27,50.02299880981445
2016-12-28,49.461177825927734
2016-12-29,49.4323616027832
2016-12-30,49.20909118652344
2017-01-03,50.72166442871094
2017-01-04,48.89936828613281
2017-01-05,48.74810791015625
