,KLAC
2019-11-13,164.73904418945312
2019-11-14,164.97259521484375
2019-11-15,166.95318603515625
2019-11-18,166.14593505859375
2019-11-19,165.19793701171875
2019-11-20,163.02012634277344
2019-11-21,151.68093872070312
2019-11-22,148.7710418701172
2019-11-25,153.33299255371094
2019-11-26,152.18780517578125
2019-11-27,155.49197387695312
2019-11-29,153.811767578125
2019-12-02,151.1834259033203
2019-12-03,146.7904052734375
2019-12-04,150.43251037597656
2019-12-05,151.59642028808594
2019-12-06,152.9011993408203
2019-12-09,151.0144500732422
2019-12-10,152.41310119628906
2019-12-11,156.87181091308594
2019-12-12,160.9456787109375
2019-12-13,160.73915100097656
2019-12-16,161.50889587402344
2019-12-17,165.1697540283203
2019-12-18,164.5126495361328
2019-12-19,164.70037841796875
2019-12-20,166.58712768554688
2019-12-23,166.2491912841797
2019-12-24,167.18789672851562
2019-12-26,167.7886199951172
2019-12-27,167.57273864746094
2019-12-30,167.43194580078125
2019-12-31,167.2441864013672
2020-01-02,171.3743896484375
2020-01-03,168.09837341308594
2020-01-06,164.31552124023438
2020-01-07,165.6202392578125
2020-01-08,165.83619689941406
2020-01-09,164.72854614257812
2020-01-10,162.40061950683594
2020-01-13,164.3624725341797
2020-01-14,166.5964813232422
2020-01-15,167.00953674316406
2020-01-16,169.81617736816406
2020-01-17,167.76986694335938
2020-01-21,167.84494018554688
2020-01-22,169.08401489257812
2020-01-23,171.35562133789062
2020-01-24,168.39877319335938
2020-01-27,159.86618041992188
2020-01-28,165.14157104492188
2020-01-29,161.1897430419922
2020-01-30,162.316162109375
2020-01-31,155.57643127441406
2020-02-03,159.50950622558594
2020-02-04,167.8355712890625
2020-02-05,160.7766876220703
2020-02-06,161.20852661132812
2020-02-07,154.97567749023438
2020-02-10,158.56141662597656
2020-02-11,162.4287567138672
2020-02-12,165.1791229248047
2020-02-13,167.76046752929688
2020-02-14,165.47007751464844
2020-02-18,158.85240173339844
2020-02-19,162.3724365234375
2020-02-20,157.81622314453125
2020-02-21,151.98655700683594
2020-02-24,145.0155029296875
2020-02-25,139.0537872314453
2020-02-26,138.92169189453125
2020-02-27,139.60089111328125
2020-02-28,144.9966583251953
2020-03-02,149.7415313720703
2020-03-03,145.09095764160156
2020-03-04,151.59986877441406
2020-03-05,147.80767822265625
2020-03-06,146.85491943359375
2020-03-09,136.7049102783203
2020-03-10,145.80792236328125
2020-03-11,136.7049102783203
2020-03-12,118.25371551513672
2020-03-13,137.12940979003906
2020-03-16,122.15902709960938
2020-03-17,141.1479034423828
2020-03-18,124.53617095947266
2020-03-19,120.14035034179688
2020-03-20,107.5565414428711
2020-03-23,109.7638931274414
2020-03-24,128.63014221191406
2020-03-25,129.67723083496094
2020-03-26,141.27052307128906
2020-03-27,134.17684936523438
2020-03-30,141.04412841796875
2020-03-31,135.59181213378906
2020-04-01,124.14939880371094
2020-04-02,124.93238067626953
2020-04-03,120.68746185302734
2020-04-06,140.0819854736328
2020-04-07,138.92169189453125
2020-04-08,143.73260498046875
2020-04-09,141.61016845703125
2020-04-13,143.4684600830078
2020-04-14,152.5619659423828
2020-04-15,144.534423828125
2020-04-16,147.7699737548828
2020-04-17,152.07147216796875
2020-04-20,147.43983459472656
2020-04-21,140.16685485839844
2020-04-22,149.6848602294922
2020-04-23,150.41122436523438
2020-04-24,155.57118225097656
2020-04-27,156.6465606689453
2020-04-28,156.84466552734375
2020-04-29,165.91937255859375
2020-04-30,154.7882537841797
2020-05-01,141.7516326904297
2020-05-04,143.3835906982422
2020-05-05,146.80780029296875
2020-05-06,154.52410888671875
2020-05-07,154.5524139404297
2020-05-08,161.7781982421875
2020-05-11,159.2123565673828
2020-05-12,156.18434143066406
2020-05-13,154.76939392089844
2020-05-14,166.73056030273438
