,GRMN
2015-10-23,26.992801666259766
2015-10-26,26.870800018310547
2015-10-27,26.52766990661621
2015-10-28,26.786924362182617
2015-10-29,26.992801666259766
2015-10-30,27.046175003051758
2015-11-02,27.396926879882812
2015-11-03,27.396926879882812
2015-11-04,27.923063278198242
2015-11-05,28.365312576293945
2015-11-06,28.548315048217773
2015-11-09,28.449190139770508
2015-11-10,29.0439453125
2015-11-11,28.69319725036621
2015-11-12,27.663814544677734
2015-11-13,26.985172271728516
2015-11-16,27.40455436706543
2015-11-17,27.206300735473633
2015-11-18,28.220441818237305
2015-11-19,28.21282386779785
2015-11-20,28.525449752807617
2015-11-23,28.449190139770508
2015-11-24,29.18120765686035
2015-11-25,28.929567337036133
2015-11-27,28.57881736755371
2015-11-30,28.860944747924805
2015-12-01,28.876195907592773
2015-12-02,28.57881736755371
2015-12-03,28.342437744140625
2015-12-04,28.70081901550293
2015-12-07,28.8304443359375
2015-12-08,28.70081901550293
2015-12-09,28.49494171142578
2015-12-10,28.304317474365234
2015-12-11,27.407487869262695
2015-12-14,26.904953002929688
2015-12-15,27.453866958618164
2015-12-16,28.17289161682129
2015-12-17,27.461610794067383
2015-12-18,27.260587692260742
2015-12-21,27.48479652404785
2015-12-22,28.033714294433594
2015-12-23,28.5130558013916
2015-12-24,28.590373992919922
2015-12-28,28.582637786865234
2015-12-29,28.80685043334961
2015-12-30,28.845504760742188
2015-12-31,28.737266540527344
2016-01-04,28.45121192932129
2016-01-05,28.559450149536133
2016-01-06,27.778583526611328
2016-01-07,26.982261657714844
2016-01-08,25.938541412353516
2016-01-11,25.667945861816406
2016-01-12,25.629283905029297
2016-01-13,25.095823287963867
2016-01-14,25.644746780395508
2016-01-15,25.142210006713867
2016-01-19,24.964387893676758
2016-01-20,25.01077651977539
2016-01-21,25.613821029663086
2016-01-22,26.16274070739746
2016-01-25,25.667945861816406
2016-01-26,26.16274070739746
2016-01-27,26.093168258666992
2016-01-28,26.193666458129883
2016-01-29,27.19874382019043
2016-02-01,27.129159927368164
2016-02-02,26.386951446533203
2016-02-03,26.456527709960938
2016-02-04,27.167814254760742
2016-02-05,26.819908142089844
2016-02-08,26.557039260864258
2016-02-09,26.247787475585938
2016-02-10,26.649812698364258
2016-02-11,26.16274070739746
2016-02-12,26.56477165222168
2016-02-16,27.23740005493164
2016-02-17,31.744739532470703
2016-02-18,31.520538330078125
2016-02-19,30.90203857421875
2016-02-22,31.682903289794922
2016-02-23,31.497344970703125
2016-02-24,31.38910484313965
2016-02-25,31.164892196655273
2016-02-26,31.234481811523438
2016-02-29,31.31951904296875
2016-03-01,32.038536071777344
2016-03-02,31.636503219604492
2016-03-03,31.65196418762207
2016-03-04,31.497344970703125
2016-03-07,31.28860855102539
2016-03-08,30.438161849975586
2016-03-09,30.3608455657959
2016-03-10,30.793800354003906
2016-03-11,30.70875358581543
2016-03-14,30.7557430267334
2016-03-15,30.5599422454834
2016-03-16,30.818397521972656
2016-03-17,31.006364822387695
2016-03-18,31.037689208984375
2016-03-21,31.256986618041992
2016-03-22,31.303983688354492
2016-03-23,30.8027400970459
2016-03-24,30.520788192749023
2016-03-28,30.622604370117188
2016-03-29,30.928043365478516
2016-03-30,31.21782684326172
2016-03-31,31.296138763427734
2016-04-01,31.084684371948242
2016-04-04,31.335304260253906
2016-04-05,31.36664390563965
2016-04-06,31.34313201904297
2016-04-07,30.990703582763672
2016-04-08,31.037689208984375
2016-04-11,31.28047752380371
2016-04-12,31.656404495239258
2016-04-13,33.14445877075195
2016-04-14,32.96433639526367
2016-04-15,33.073970794677734
2016-04-18,33.10530471801758
2016-04-19,33.36376190185547
2016-04-20,33.59088134765625
2016-04-21,33.08180236816406
2016-04-22,33.44990539550781
2016-04-25,32.95649719238281
2016-04-26,33.120967864990234
2016-04-27,34.366233825683594
2016-04-28,33.88065719604492
2016-04-29,33.38724136352539
2016-05-02,33.68485641479492
2016-05-03,33.11313247680664
2016-05-04,32.32994842529297
2016-05-05,32.157649993896484
2016-05-06,31.985347747802734
2016-05-09,31.648588180541992
2016-05-10,31.97751808166504
2016-05-11,31.546764373779297
2016-05-12,31.460617065429688
2016-05-13,31.335304260253906
2016-05-16,31.656404495239258
2016-05-17,31.37445831298828
2016-05-18,31.28047752380371
2016-05-19,31.186492919921875
2016-05-20,31.554603576660156
2016-05-23,31.679906845092773
2016-05-24,32.21247863769531
2016-05-25,32.33778381347656
2016-05-26,32.46308135986328
2016-05-27,32.66672134399414
2016-05-31,33.30110168457031
2016-06-01,33.13663864135742
2016-06-02,33.520389556884766
2016-06-03,33.19145965576172
2016-06-06,33.51256561279297
2016-06-07,33.849327087402344
2016-06-08,33.849327087402344
2016-06-09,33.8650016784668
2016-06-10,33.29326629638672
2016-06-13,33.23061752319336
2016-06-14,33.308929443359375
2016-06-15,33.066139221191406
2016-06-16,33.19298553466797
2016-06-17,33.35946273803711
2016-06-20,33.708290100097656
2016-06-21,33.70035171508789
2016-06-22,33.533878326416016
2016-06-23,34.31078338623047
2016-06-24,32.320953369140625
2016-06-27,31.456832885742188
2016-06-28,32.1941032409668
2016-06-29,32.84416961669922
2016-06-30,33.62901306152344
2016-07-01,33.66865158081055
2016-07-05,33.22468948364258
2016-07-06,33.3119010925293
2016-07-07,33.7637825012207
2016-07-08,34.38213348388672
2016-07-11,34.67545700073242
2016-07-12,35.444427490234375
2016-07-13,35.12732696533203
2016-07-14,35.46821212768555
2016-07-15,35.6822624206543
2016-07-18,36.015220642089844
2016-07-19,36.19756317138672
2016-07-20,36.22927474975586
2016-07-21,36.23720932006836
2016-07-22,36.50672912597656
2016-07-25,36.4036750793457
2016-07-26,36.77629089355469
2016-07-27,41.057186126708984
2016-07-28,42.44453048706055
2016-07-29,43.0708122253418
2016-08-01,44.196533203125
2016-08-02,43.4909782409668
2016-08-03,43.96663284301758
2016-08-04,43.23728942871094
2016-08-05,43.53853988647461
2016-08-08,43.4909782409668
2016-08-09,43.0945930480957
2016-08-10,43.6653938293457
2016-08-11,43.83186340332031
2016-08-12,43.68123245239258
2016-08-15,44.061763763427734
2016-08-16,43.74466323852539
2016-08-17,43.40377426147461
2016-08-18,43.45927429199219
2016-08-19,43.110450744628906
2016-08-22,42.14328384399414
2016-08-23,42.54759216308594
