,PH
2016-09-26,106.2031478881836
2016-09-27,107.37588500976562
2016-09-28,109.20500183105469
2016-09-29,108.51360321044922
2016-09-30,109.86139678955078
2016-10-03,109.1349868774414
2016-10-04,108.21605682373047
2016-10-05,111.50672149658203
2016-10-06,111.07789611816406
2016-10-07,109.0999984741211
2016-10-10,109.476318359375
2016-10-11,107.70844268798828
2016-10-12,108.46109008789062
2016-10-13,108.0147705078125
2016-10-14,108.99496459960938
2016-10-17,108.86368560791016
2016-10-18,107.48965454101562
2016-10-19,108.28604125976562
2016-10-20,107.47216033935547
2016-10-21,107.82219696044922
2016-10-24,105.71302032470703
2016-10-25,106.2031478881836
2016-10-26,106.63197326660156
2016-10-27,106.5182113647461
2016-10-28,106.73700714111328
2016-10-31,107.42839813232422
2016-11-01,106.0543441772461
2016-11-02,104.91663360595703
2016-11-03,104.4002685546875
2016-11-04,105.50298309326172
2016-11-07,109.9664077758789
2016-11-08,111.18904113769531
2016-11-09,116.07075500488281
2016-11-10,120.47750854492188
2016-11-11,122.03443145751953
2016-11-14,122.25430297851562
2016-11-15,123.16029357910156
2016-11-16,121.21639251708984
2016-11-17,120.59187316894531
2016-11-18,119.69468688964844
2016-11-21,120.70622253417969
2016-11-22,121.22516632080078
2016-11-23,121.63859558105469
2016-11-25,122.29824829101562
2016-11-28,120.29277801513672
2016-11-29,120.4599380493164
2016-11-30,122.20148468017578
2016-12-01,126.19486236572266
2016-12-02,124.81391143798828
2016-12-05,125.30644226074219
2016-12-06,125.38565063476562
2016-12-07,127.5230712890625
2016-12-08,124.80511474609375
2016-12-09,125.35044860839844
2016-12-12,124.51484680175781
2016-12-13,124.03105926513672
2016-12-14,123.31861114501953
2016-12-15,125.78142547607422
2016-12-16,125.56156158447266
2016-12-19,125.62316131591797
2016-12-20,126.58185577392578
2016-12-21,125.24494171142578
2016-12-22,125.60552978515625
2016-12-23,125.55281066894531
2016-12-27,126.01896667480469
2016-12-28,123.9079360961914
2016-12-29,123.37136840820312
2016-12-30,123.14268493652344
2017-01-03,125.38565063476562
2017-01-04,125.46480560302734
2017-01-05,124.34773254394531
2017-01-06,124.45326232910156
2017-01-09,123.8287582397461
