,IEX
2017-04-26,94.97012329101562
2017-04-27,96.0455093383789
2017-04-28,95.47137451171875
2017-05-01,95.20708465576172
2017-05-02,95.37112426757812
2017-05-03,95.1068344116211
2017-05-04,94.75142669677734
2017-05-05,96.03640747070312
2017-05-08,95.67186737060547
2017-05-09,94.97012329101562
2017-05-10,95.28909301757812
2017-05-11,95.3531265258789
2017-05-12,94.66720581054688
2017-05-15,95.28907775878906
2017-05-16,96.92617797851562
2017-05-17,96.1122055053711
2017-05-18,96.55120086669922
2017-05-19,97.58465576171875
2017-05-22,97.72186279296875
2017-05-23,99.3680648803711
2017-05-24,99.13028717041016
2017-05-25,98.64557647705078
2017-05-26,98.51753234863281
2017-05-30,98.69129180908203
2017-05-31,99.20346069335938
2017-06-01,99.58760070800781
2017-06-02,100.6942138671875
2017-06-05,100.4381332397461
2017-06-06,100.20034790039062
2017-06-07,100.23692321777344
2017-06-08,100.87713623046875
2017-06-09,101.50817108154297
2017-06-12,101.54476928710938
2017-06-13,102.25811767578125
2017-06-14,102.4135971069336
2017-06-15,103.36474609375
2017-06-16,103.52935028076172
2017-06-19,105.0110092163086
2017-06-20,103.0172119140625
2017-06-21,101.60880279541016
2017-06-22,102.01119995117188
2017-06-23,103.07207489013672
2017-06-26,102.97150421142578
2017-06-27,101.9563217163086
2017-06-28,102.95320892333984
2017-06-29,102.03861999511719
2017-06-30,103.35563659667969
2017-07-03,103.81289672851562
2017-07-05,103.78546905517578
2017-07-06,103.04466247558594
2017-07-07,104.37993621826172
2017-07-10,104.2061538696289
2017-07-11,104.02326202392578
2017-07-12,104.8398666381836
2017-07-13,103.85809326171875
2017-07-14,104.5462417602539
2017-07-17,104.7756576538086
2017-07-18,104.02326965332031
2017-07-19,104.98668670654297
2017-07-20,104.8674087524414
2017-07-21,104.57379913330078
2017-07-24,104.4912109375
2017-07-25,103.81221008300781
2017-07-26,107.39068603515625
2017-07-27,106.01432037353516
2017-07-28,106.99615478515625
2017-07-31,106.93190002441406
2017-08-01,106.06023406982422
2017-08-02,105.94093322753906
2017-08-03,106.17032623291016
2017-08-04,106.63826751708984
2017-08-07,107.4273681640625
2017-08-08,107.29893493652344
2017-08-09,106.21622467041016
2017-08-10,103.72046661376953
2017-08-11,103.79386138916016
2017-08-14,105.28949737548828
2017-08-15,105.68403625488281
2017-08-16,106.70249938964844
2017-08-17,104.22509765625
2017-08-18,103.6470718383789
2017-08-21,104.0599594116211
2017-08-22,105.17935943603516
2017-08-23,104.48201751708984
2017-08-24,104.30769348144531
2017-08-25,105.06008911132812
2017-08-28,105.53720092773438
2017-08-29,105.70236206054688
2017-08-30,106.3630142211914
2017-08-31,107.88616180419922
2017-09-01,108.06966400146484
2017-09-05,107.57418823242188
2017-09-06,107.57418823242188
2017-09-07,108.36328887939453
2017-09-08,110.61129760742188
2017-09-11,110.74893951416016
2017-09-12,111.65731048583984
2017-09-13,110.29933166503906
2017-09-14,110.85903930664062
2017-09-15,111.56554412841797
2017-09-18,113.3180923461914
2017-09-19,113.18045043945312
2017-09-20,112.94187927246094
2017-09-21,112.99693298339844
2017-09-22,112.96940612792969
2017-09-25,113.3915023803711
2017-09-26,112.96024322509766
2017-09-27,112.8501205444336
2017-09-28,112.22621154785156
2017-09-29,111.45542907714844
2017-10-02,112.6849594116211
2017-10-03,113.03363800048828
2017-10-04,114.07964324951172
2017-10-05,113.5474624633789
2017-10-06,113.66674041748047
2017-10-09,112.97859191894531
2017-10-10,112.91435241699219
2017-10-11,113.07035827636719
2017-10-12,114.2631607055664
2017-10-13,114.5944595336914
2017-10-16,115.0914306640625
2017-10-17,114.29997253417969
2017-10-18,114.60366821289062
2017-10-19,114.70489501953125
2017-10-20,115.74481964111328
2017-10-23,114.79693603515625
2017-10-24,116.76634216308594
2017-10-25,116.91358947753906
2017-10-26,118.91063690185547
2017-10-27,118.17440032958984
2017-10-30,117.76028442382812
2017-10-31,117.99034881591797
2017-11-01,117.8246841430664
2017-11-02,118.23880767822266
2017-11-03,117.6222152709961
2017-11-06,117.67745208740234
2017-11-07,117.31853485107422
2017-11-08,117.8246841430664
2017-11-09,117.14368438720703
2017-11-10,117.81549835205078
2017-11-13,117.76028442382812
2017-11-14,117.46577453613281
2017-11-15,116.37066650390625
2017-11-16,117.89832305908203
2017-11-17,117.89832305908203
2017-11-20,118.76339721679688
2017-11-21,119.74805450439453
2017-11-22,119.92295837402344
2017-11-24,120.27263641357422
2017-11-27,120.40150451660156
2017-11-28,122.0303955078125
2017-11-29,121.93839263916016
2017-11-30,124.76365661621094
2017-12-01,123.3095703125
2017-12-04,122.94149780273438
2017-12-05,122.26048278808594
2017-12-06,121.46906280517578
2017-12-07,121.75431823730469
2017-12-08,122.06723022460938
2017-12-11,121.7635269165039
2017-12-12,120.86163330078125
2017-12-13,120.0241928100586
2017-12-14,118.93826293945312
2017-12-15,120.74201965332031
2017-12-18,121.42302703857422
2017-12-19,121.59788513183594
2017-12-20,121.93839263916016
2017-12-21,122.37092590332031
2017-12-22,121.54264831542969
2017-12-26,121.49661254882812
2017-12-27,121.68067932128906
2017-12-28,121.93839263916016
2017-12-29,121.45065307617188
2018-01-02,121.18373107910156
2018-01-03,122.27890014648438
2018-01-04,124.23910522460938
2018-01-05,123.99983215332031
2018-01-08,124.21149444580078
2018-01-09,124.93852233886719
2018-01-10,124.18391418457031
2018-01-11,126.18643188476562
2018-01-12,126.25101470947266
2018-01-16,126.26942443847656
2018-01-17,125.9833755493164
2018-01-18,126.14945220947266
2018-01-19,127.67215728759766
2018-01-22,127.08157348632812
2018-01-23,127.06309509277344
2018-01-24,127.53369903564453
2018-01-25,129.95152282714844
2018-01-26,131.437255859375
2018-01-29,129.80381774902344
2018-01-30,133.3013153076172
2018-01-31,132.4061737060547
2018-02-01,133.3936309814453
2018-02-02,131.160400390625
2018-02-05,124.92211151123047
2018-02-06,125.06053924560547
2018-02-07,126.12177276611328
2018-02-08,122.4766845703125
2018-02-09,120.7971420288086
2018-02-12,122.39363861083984
2018-02-13,122.73506927490234
2018-02-14,124.6176528930664
2018-02-15,126.3894271850586
2018-02-16,126.74931335449219
2018-02-20,126.26942443847656
2018-02-21,126.52783203125
2018-02-22,127.45989990234375
2018-02-23,129.41627502441406
2018-02-26,130.8559112548828
2018-02-27,128.77029418945312
2018-02-28,126.24176788330078
2018-03-01,125.44815826416016
2018-03-02,126.84163665771484
2018-03-05,128.17970275878906
2018-03-06,130.14532470703125
2018-03-07,131.0866241455078
