,FCX
2018-04-09,16.05118751525879
2018-04-10,16.760276794433594
2018-04-11,16.557680130004883
2018-04-12,16.4930362701416
2018-04-13,16.502273559570312
2018-04-16,16.77007484436035
2018-04-17,16.899362564086914
2018-04-18,17.712007522583008
2018-04-19,18.072158813476562
2018-04-20,17.878232955932617
2018-04-23,17.37032699584961
2018-04-24,14.849276542663574
2018-04-25,14.193617820739746
2018-04-26,14.433717727661133
2018-04-27,14.147442817687988
2018-04-30,14.04586124420166
2018-05-01,13.80576229095459
2018-05-02,13.953516006469727
2018-05-03,14.04586124420166
2018-05-04,14.239786148071289
2018-05-07,14.092035293579102
2018-05-08,14.12897777557373
2018-05-09,14.479890823364258
2018-05-10,14.978557586669922
2018-05-11,15.024731636047363
2018-05-14,14.960089683532715
2018-05-15,14.738457679748535
2018-05-16,15.366412162780762
2018-05-17,15.495698928833008
2018-05-18,15.578807830810547
2018-05-21,15.41258716583252
2018-05-22,15.85584831237793
2018-05-23,16.022071838378906
2018-05-24,16.049772262573242
2018-05-25,15.772733688354492
2018-05-29,15.375650405883789
2018-05-30,15.809677124023438
2018-05-31,15.606513023376465
2018-06-01,15.809677124023438
2018-06-04,15.892786979675293
2018-06-05,16.29911231994629
2018-06-06,16.807016372680664
2018-06-07,16.55767822265625
2018-06-08,16.6500244140625
2018-06-11,16.797779083251953
2018-06-12,16.4930362701416
2018-06-13,16.446863174438477
2018-06-14,16.234468460083008
2018-06-15,15.59727668762207
2018-06-18,15.514167785644531
2018-06-19,15.015497207641602
2018-06-20,15.052433967590332
2018-06-21,15.1078462600708
2018-06-22,15.181723594665527
2018-06-25,14.535298347473145
2018-06-26,15.006263732910156
2018-06-27,15.606513023376465
2018-06-28,15.504932403564453
2018-06-29,15.938961029052734
2018-07-02,15.846611976623535
2018-07-03,15.76349925994873
2018-07-05,15.671154975891113
2018-07-06,16.169824600219727
2018-07-09,16.723901748657227
2018-07-10,16.723901748657227
2018-07-11,16.077478408813477
2018-07-12,16.012649536132812
2018-07-13,15.558852195739746
2018-07-16,15.531070709228516
2018-07-17,15.531070709228516
2018-07-18,15.81816291809082
2018-07-19,14.632729530334473
2018-07-20,14.586423873901367
2018-07-23,14.660512924194336
2018-07-24,14.882781982421875
2018-07-25,14.688295364379883
2018-07-26,14.790172576904297
2018-07-27,14.808692932128906
2018-07-30,14.892045021057129
2018-07-31,15.281017303466797
2018-08-01,14.428982734680176
2018-08-02,14.290063858032227
2018-08-03,14.5493803024292
2018-08-06,14.26227855682373
2018-08-07,14.225234985351562
2018-08-08,14.253021240234375
2018-08-09,14.178927421569824
2018-08-10,13.993704795837402
2018-08-13,13.817740440368652
2018-08-14,13.706608772277832
2018-08-15,12.650827407836914
2018-08-16,12.752701759338379
2018-08-17,12.93792724609375
2018-08-20,13.076841354370117
2018-08-21,13.262069702148438
2018-08-22,13.45655345916748
2018-08-23,13.132412910461426
2018-08-24,13.400988578796387
2018-08-27,13.641777038574219
2018-08-28,13.576952934265137
2018-08-29,13.586210250854492
2018-08-30,13.104626655578613
2018-08-31,13.012016296386719
2018-09-04,12.484124183654785
2018-09-05,12.660089492797852
2018-09-06,12.567477226257324
2018-09-07,12.206292152404785
2018-09-10,12.224810600280762
2018-09-11,12.076630592346191
2018-09-12,12.623043060302734
2018-09-13,12.576737403869629
2018-09-14,12.67861270904541
2018-09-17,12.70639419555664
2018-09-18,12.974969863891602
2018-09-19,13.243545532226562
2018-09-20,13.326897621154785
2018-09-21,13.530643463134766
2018-09-24,13.187978744506836
2018-09-25,13.419509887695312
2018-09-26,12.96570873260498
2018-09-27,12.845312118530273
2018-09-28,12.891618728637695
2018-10-01,12.687872886657715
2018-10-02,12.863835334777832
2018-10-03,12.919404029846191
2018-10-04,12.623043060302734
2018-10-05,12.289640426635742
2018-10-08,12.308161735534668
2018-10-09,12.206292152404785
2018-10-10,11.826579093933105
2018-10-11,12.252593994140625
2018-10-12,11.843558311462402
2018-10-15,11.92722225189209
2018-10-16,11.787778854370117
2018-10-17,11.527480125427246
2018-10-18,11.285774230957031
2018-10-19,11.174219131469727
2018-10-22,11.155625343322754
2018-10-23,10.79306697845459
2018-10-24,9.947100639343262
2018-10-25,10.458399772644043
2018-10-26,10.690807342529297
2018-10-29,10.309656143188477
2018-10-30,10.60714054107666
2018-10-31,10.830254554748535
2018-11-01,11.415922164916992
2018-11-02,11.378739356994629
2018-11-05,11.360146522521973
2018-11-06,11.341552734375
2018-11-07,11.462404251098633
2018-11-08,11.09055233001709
2018-11-09,10.551363945007324
2018-11-12,10.374728202819824
2018-11-13,10.458399772644043
2018-11-14,10.72799301147461
2018-11-15,11.118439674377441
2018-11-16,11.118439674377441
2018-11-19,10.700103759765625
2018-11-20,10.114434242248535
2018-11-21,10.60714054107666
2018-11-23,10.012176513671875
2018-11-26,10.309656143188477
2018-11-27,10.449100494384766
2018-11-28,11.127738952636719
2018-11-29,10.988290786743164
2018-11-30,11.099845886230469
2018-12-03,11.239291191101074
2018-12-04,10.690807342529297
2018-12-06,10.365438461303711
2018-12-07,10.151618957519531
2018-12-10,9.937803268432617
2018-12-11,10.002877235412598
2018-12-12,10.291065216064453
2018-12-13,10.151618957519531
