,EA
2015-10-26,72.37240600585938
2015-10-27,73.53497314453125
2015-10-28,75.00039672851562
2015-10-29,74.3067626953125
2015-10-30,70.40872955322266
2015-11-02,70.34036254882812
2015-11-03,70.24264526367188
2015-11-04,72.57756805419922
2015-11-05,72.35284423828125
2015-11-06,70.71160125732422
2015-11-09,69.3047866821289
2015-11-10,69.19731140136719
2015-11-11,69.656494140625
2015-11-12,70.00819396972656
2015-11-13,68.27897644042969
2015-11-16,66.42279052734375
2015-11-17,66.53024291992188
2015-11-18,66.84285736083984
2015-11-19,69.44154357910156
2015-11-20,70.75066375732422
2015-11-23,67.38995361328125
2015-11-24,65.51421356201172
2015-11-25,67.90772247314453
2015-11-27,67.29226684570312
2015-11-30,66.2273941040039
2015-12-01,67.04803466796875
2015-12-02,67.74166107177734
2015-12-03,65.67052459716797
2015-12-04,68.7576904296875
2015-12-07,69.1582260131836
2015-12-08,69.35363006591797
2015-12-09,65.54353332519531
2015-12-10,64.84011840820312
2015-12-11,65.6216812133789
2015-12-14,68.05428314208984
2015-12-15,70.66273498535156
2015-12-16,70.3794174194336
2015-12-17,69.48063659667969
2015-12-18,67.38995361328125
2015-12-21,67.12618255615234
2015-12-22,67.4779052734375
2015-12-23,67.05779266357422
2015-12-24,67.36062622070312
2015-12-28,67.59512329101562
2015-12-29,68.23989868164062
2015-12-30,68.04452514648438
2015-12-31,67.13594055175781
2016-01-04,64.57636260986328
2016-01-05,63.44308853149414
2016-01-06,62.21213150024414
2016-01-07,61.02024459838867
2016-01-08,61.674808502197266
2016-01-11,62.72991180419922
2016-01-12,64.10740661621094
2016-01-13,61.91904067993164
2016-01-14,62.993690490722656
2016-01-15,64.53726959228516
2016-01-19,65.81707000732422
2016-01-20,65.30906677246094
2016-01-21,65.48489379882812
2016-01-22,67.76119232177734
2016-01-25,68.30828857421875
2016-01-26,69.19731140136719
2016-01-27,67.88819885253906
2016-01-28,68.1812973022461
2016-01-29,63.06209182739258
2016-02-01,62.72013473510742
2016-02-02,59.261741638183594
2016-02-03,58.2359504699707
2016-02-04,57.376220703125
2016-02-05,54.22068405151367
2016-02-08,55.02178192138672
2016-02-09,56.90729904174805
2016-02-10,57.62046813964844
2016-02-11,56.848670959472656
2016-02-12,57.88424301147461
2016-02-16,57.99171447753906
2016-02-17,58.46064758300781
2016-02-18,57.0049934387207
2016-02-19,58.196868896484375
2016-02-22,61.81158447265625
2016-02-23,60.10191345214844
2016-02-24,61.743202209472656
2016-02-25,63.189090728759766
2016-02-26,62.964378356933594
2016-02-29,62.75921630859375
2016-03-01,63.970638275146484
2016-03-02,64.5665512084961
2016-03-03,63.30630111694336
2016-03-04,62.94484329223633
2016-03-07,62.12420654296875
2016-03-08,61.50872039794922
2016-03-09,62.446590423583984
2016-03-10,62.036285400390625
2016-03-11,62.98392105102539
2016-03-14,63.296531677246094
2016-03-15,64.20509338378906
2016-03-16,64.47865295410156
2016-03-17,63.17930221557617
2016-03-18,62.837379455566406
