,KKR
2023-05-17,48.66569137573242
2023-05-18,49.2371826171875
2023-05-19,49.459617614746094
2023-05-22,50.60639572143555
2023-05-23,49.548587799072266
2023-05-24,48.876346588134766
2023-05-25,50.12198257446289
2023-05-26,51.09080505371094
2023-05-30,51.0809211730957
2023-05-31,50.90297317504883
2023-06-01,51.83225631713867
2023-06-02,53.018577575683594
2023-06-05,53.43378448486328
2023-06-06,53.90830993652344
2023-06-07,54.07637405395508
2023-06-08,54.08625793457031
2023-06-09,54.5509033203125
2023-06-12,55.035316467285156
2023-06-13,56.24140930175781
2023-06-14,56.37981033325195
2023-06-15,57.94179916381836
2023-06-16,56.54787063598633
2023-06-20,55.984375
2023-06-21,55.144065856933594
2023-06-22,54.560791015625
2023-06-23,52.97903060913086
2023-06-26,52.4847297668457
2023-06-27,54.29386901855469
2023-06-28,55.104522705078125
2023-06-29,55.312129974365234
2023-06-30,55.36155319213867
2023-07-03,55.85585021972656
2023-07-05,54.63987731933594
2023-07-06,53.295387268066406
2023-07-07,54.24443817138672
2023-07-10,54.541019439697266
2023-07-11,55.668025970458984
2023-07-12,57.922027587890625
2023-07-13,60.51216125488281
2023-07-14,59.86956787109375
2023-07-17,59.98820114135742
2023-07-18,61.045997619628906
2023-07-19,60.39352798461914
2023-07-20,60.2946662902832
2023-07-21,59.80036544799805
2023-07-24,60.07717514038086
2023-07-25,60.235347747802734
2023-07-26,59.98820114135742
2023-07-27,58.45587158203125
2023-07-28,59.26652145385742
2023-07-31,58.703025817871094
2023-08-01,59.04903030395508
2023-08-02,58.238380432128906
2023-08-03,58.56462097167969
2023-08-04,59.50379180908203
2023-08-07,61.10531997680664
2023-08-08,60.49238967895508
2023-08-09,60.8680534362793
2023-08-10,61.5996208190918
2023-08-11,61.20417785644531
2023-08-14,61.07565689086914
2023-08-15,59.76082229614258
2023-08-16,58.62577819824219
2023-08-17,58.63569259643555
2023-08-18,59.67655944824219
2023-08-21,59.339515686035156
2023-08-22,58.52665328979492
2023-08-23,59.696388244628906
2023-08-24,59.03221130371094
2023-08-25,58.98265075683594
2023-08-28,60.112735748291016
2023-08-29,61.183349609375
2023-08-30,61.3320426940918
2023-08-31,62.26386642456055
2023-09-01,61.6591682434082
2023-09-05,61.44108581542969
2023-09-06,61.183349609375
