,CE
2016-05-02,59.46416091918945
2016-05-03,59.238807678222656
2016-05-04,58.829864501953125
2016-05-05,58.846553802490234
2016-05-06,59.113624572753906
2016-05-09,58.22894287109375
2016-05-10,59.247154235839844
2016-05-11,58.79645538330078
2016-05-12,59.030174255371094
2016-05-13,58.379180908203125
2016-05-16,59.22209930419922
2016-05-17,59.28052520751953
2016-05-18,58.5294075012207
2016-05-19,58.00361251831055
2016-05-20,58.60453414916992
2016-05-23,58.445953369140625
2016-05-24,58.87156677246094
2016-05-25,59.83136749267578
2016-05-26,59.163692474365234
2016-05-27,59.247154235839844
2016-05-31,58.82152557373047
2016-06-01,58.63790512084961
2016-06-02,58.930015563964844
2016-06-03,58.9800910949707
2016-06-06,59.62271499633789
2016-06-07,59.95654296875
2016-06-08,60.30706787109375
2016-06-09,59.18873596191406
2016-06-10,58.99677276611328
2016-06-13,58.30405807495117
2016-06-14,57.91183090209961
2016-06-15,58.08708572387695
2016-06-16,58.220611572265625
2016-06-17,58.462646484375
2016-06-20,58.279052734375
2016-06-21,57.820003509521484
2016-06-22,57.54460525512695
2016-06-23,58.08708572387695
2016-06-24,54.64025115966797
2016-06-27,51.33528137207031
2016-06-28,52.27836227416992
2016-06-29,53.75558853149414
2016-06-30,54.62355041503906
2016-07-01,55.124305725097656
2016-07-05,54.014305114746094
2016-07-06,54.014305114746094
2016-07-07,54.53173065185547
2016-07-08,56.03400802612305
2016-07-11,55.917171478271484
2016-07-12,57.22745132446289
2016-07-13,57.63639831542969
2016-07-14,58.203914642333984
2016-07-15,58.89664077758789
2016-07-18,58.99677276611328
2016-07-19,58.59617233276367
2016-07-20,59.30557632446289
2016-07-21,58.279052734375
2016-07-22,58.62120819091797
2016-07-25,58.429256439208984
2016-07-26,54.85723876953125
2016-07-27,54.58181381225586
2016-07-28,55.53852462768555
2016-07-29,53.222320556640625
2016-08-01,52.76914596557617
2016-08-02,52.425071716308594
2016-08-03,53.4908561706543
2016-08-04,53.751014709472656
2016-08-05,54.372032165527344
2016-08-08,54.49790573120117
2016-08-09,55.1189079284668
2016-08-10,54.90071105957031
2016-08-11,55.5888671875
2016-08-12,55.16088104248047
2016-08-15,56.00846481323242
2016-08-16,55.3958625793457
2016-08-17,55.10213851928711
2016-08-18,55.731544494628906
2016-08-19,55.639225006103516
2016-08-22,55.1189079284668
2016-08-23,55.64762496948242
2016-08-24,55.37067794799805
2016-08-25,55.37067794799805
2016-08-26,54.7244873046875
2016-08-29,55.21122360229492
2016-08-30,54.25453186035156
2016-08-31,54.06991958618164
2016-09-01,53.49925994873047
2016-09-02,54.204185485839844
2016-09-06,54.011173248291016
2016-09-07,54.027950286865234
2016-09-08,53.415348052978516
2016-09-09,51.66139602661133
2016-09-12,52.34115219116211
2016-09-13,51.1662712097168
2016-09-14,51.55230712890625
2016-09-15,52.04743957519531
2016-09-16,51.443199157714844
2016-09-19,52.09779357910156
2016-09-20,51.82923889160156
2016-09-21,52.66844177246094
2016-09-22,52.9957389831543
2016-09-23,52.6264762878418
2016-09-26,52.79432678222656
2016-09-27,53.50764465332031
2016-09-28,55.4546012878418
2016-09-29,55.068565368652344
2016-09-30,55.8574104309082
2016-10-03,55.04338836669922
2016-10-04,54.732872009277344
2016-10-05,55.269962310791016
2016-10-06,55.87419891357422
2016-10-07,55.429412841796875
2016-10-10,55.74833297729492
2016-10-11,54.95946502685547
2016-10-12,54.405582427978516
2016-10-13,53.40694046020508
2016-10-14,53.180355072021484
2016-10-17,53.35658645629883
2016-10-18,58.21558380126953
2016-10-19,59.19743728637695
2016-10-20,59.49957275390625
2016-10-21,59.289764404296875
2016-10-24,60.21287155151367
2016-10-25,60.22966384887695
2016-10-26,59.72614669799805
2016-10-27,60.48527526855469
2016-10-28,60.99977111816406
2016-10-31,61.50587844848633
2016-11-01,61.084110260009766
2016-11-02,60.57805633544922
2016-11-03,60.59491729736328
2016-11-04,60.78892517089844
2016-11-07,61.784217834472656
2016-11-08,61.50587844848633
2016-11-09,63.7663459777832
2016-11-10,64.3483657836914
2016-11-11,64.93034362792969
2016-11-14,66.20399475097656
2016-11-15,66.3642578125
2016-11-16,66.38956451416016
2016-11-17,66.35582733154297
2016-11-18,65.88346862792969
2016-11-21,66.06061553955078
2016-11-22,65.90878295898438
2016-11-23,66.37269592285156
2016-11-25,65.19182586669922
2016-11-28,64.6098403930664
2016-11-29,65.08216857910156
2016-11-30,66.9040756225586
2016-12-01,66.46548461914062
2016-12-02,66.71852111816406
2016-12-05,67.78971099853516
2016-12-06,68.0259017944336
2016-12-07,68.85250854492188
2016-12-08,70.1851806640625
2016-12-09,69.82247924804688
2016-12-12,70.09237670898438
2016-12-13,70.2611083984375
2016-12-14,68.94528198242188
2016-12-15,69.9237060546875
2016-12-16,68.86936950683594
2016-12-19,69.06336212158203
2016-12-20,69.20674133300781
2016-12-21,68.57414245605469
2016-12-22,67.71379852294922
2016-12-23,68.05120849609375
2016-12-27,67.95840454101562
2016-12-28,66.76911926269531
2016-12-29,66.87033081054688
2016-12-30,66.41484832763672
2017-01-03,67.06434631347656
2017-01-04,68.1692886352539
2017-01-05,68.11023712158203
2017-01-06,68.34642028808594
2017-01-09,67.94998168945312
2017-01-10,68.59944152832031
2017-01-11,69.99961853027344
2017-01-12,70.25267028808594
2017-01-13,69.60319519042969
2017-01-17,68.72598266601562
2017-01-18,69.63692474365234
2017-01-19,69.34170532226562
2017-01-20,69.77186584472656
2017-01-23,70.74187469482422
2017-01-24,72.2516860961914
2017-01-25,73.01079559326172
2017-01-26,73.2132568359375
2017-01-27,71.77934265136719
2017-01-30,70.95272827148438
2017-01-31,71.18891906738281
2017-02-01,72.53001403808594
2017-02-02,73.97237396240234
2017-02-03,73.03609466552734
2017-02-06,74.26759338378906
2017-02-07,74.06513214111328
2017-02-08,73.9386215209961
2017-02-09,74.10731506347656
2017-02-10,74.4447021484375
2017-02-13,74.57965087890625
2017-02-14,74.5459213256836
2017-02-15,75.10261535644531
2017-02-16,75.39903259277344
2017-02-17,75.91565704345703
2017-02-21,76.24591064453125
2017-02-22,76.4745864868164
2017-02-23,75.9410400390625
2017-02-24,75.19574737548828
2017-02-27,75.06028747558594
2017-02-28,75.5176010131836
2017-03-01,76.45761108398438
2017-03-02,75.08568572998047
2017-03-03,76.2120361328125
2017-03-06,76.36448669433594
2017-03-07,76.41531372070312
2017-03-08,75.3566665649414
2017-03-09,75.42443084716797
2017-03-10,76.76251983642578
2017-03-13,77.56704711914062
2017-03-14,76.86415100097656
2017-03-15,78.30387878417969
2017-03-16,77.49085235595703
2017-03-17,77.8635025024414
2017-03-20,77.72797393798828
2017-03-21,75.76319122314453
2017-03-22,76.3390884399414
2017-03-23,76.4745864868164
2017-03-24,75.77164459228516
2017-03-27,76.17818450927734
2017-03-28,76.15274810791016
2017-03-29,75.07720947265625
2017-03-30,76.12737274169922
2017-03-31,76.0934829711914
2017-04-03,76.00031280517578
2017-04-04,77.6941146850586
2017-04-05,77.45697021484375
2017-04-06,77.51625061035156
2017-04-07,78.10063171386719
2017-04-10,78.17686462402344
2017-04-11,78.15990447998047
2017-04-12,76.73712158203125
2017-04-13,75.50910186767578
2017-04-17,76.64395141601562
2017-04-18,75.45829772949219
2017-04-19,74.34041595458984
2017-04-20,75.79704284667969
2017-04-21,74.8655014038086
2017-04-24,75.6276626586914
2017-04-25,75.46676635742188
2017-04-26,75.02640533447266
2017-04-27,74.83909606933594
2017-04-28,74.09845733642578
2017-05-01,74.63477325439453
2017-05-02,74.08143615722656
2017-05-03,72.8980941772461
2017-05-04,72.62566375732422
2017-05-05,73.55361938476562
2017-05-08,73.36634063720703
2017-05-09,73.76644897460938
2017-05-10,73.67279052734375
2017-05-11,73.2131118774414
2017-05-12,72.63420104980469
2017-05-15,73.74091339111328
2017-05-16,74.57520294189453
2017-05-17,71.40828704833984
2017-05-18,71.33167266845703
2017-05-19,71.87650299072266
2017-05-22,72.55758666992188
2017-05-23,74.23467254638672
2017-05-24,74.56666564941406
2017-05-25,74.32830810546875
2017-05-26,74.15804290771484
2017-05-30,73.68132781982422
2017-05-31,73.68132781982422
2017-06-01,74.71990966796875
2017-06-02,74.94976043701172
2017-06-05,73.92818450927734
2017-06-06,74.91574096679688
2017-06-07,75.13704681396484
2017-06-08,75.06895446777344
2017-06-09,76.72051239013672
2017-06-12,76.18416595458984
2017-06-13,77.24830627441406
2017-06-14,76.65240478515625
2017-06-15,76.6949691772461
2017-06-16,77.06104278564453
2017-06-19,81.41123962402344
2017-06-20,80.31305694580078
2017-06-21,80.44074249267578
2017-06-22,79.85334014892578
2017-06-23,79.64903259277344
2017-06-26,79.81929779052734
2017-06-27,79.00202941894531
2017-06-28,79.52983093261719
2017-06-29,79.67456817626953
2017-06-30,80.82386016845703
2017-07-03,81.89652252197266
2017-07-05,80.80680847167969
2017-07-06,80.93450927734375
2017-07-07,81.84542083740234
2017-07-10,81.85394287109375
2017-07-11,82.0582504272461
2017-07-12,83.25010681152344
2017-07-13,83.25861358642578
2017-07-14,84.00775146484375
2017-07-17,84.16099548339844
2017-07-18,84.1865234375
2017-07-19,84.95272064208984
2017-07-20,83.68427276611328
2017-07-21,83.1394271850586
2017-07-24,83.216064453125
2017-07-25,81.9390640258789
2017-07-26,81.04087829589844
2017-07-27,79.86042785644531
2017-07-28,80.9040298461914
2017-07-31,82.26412200927734
2017-08-01,82.22135162353516
2017-08-02,82.81156921386719
2017-08-03,82.8287124633789
2017-08-04,83.52155303955078
2017-08-07,84.49671936035156
2017-08-08,84.24866485595703
2017-08-09,83.56433868408203
2017-08-10,82.23844909667969
2017-08-11,82.72603607177734
2017-08-14,83.48734283447266
2017-08-15,83.81239318847656
2017-08-16,83.96636962890625
2017-08-17,82.62337493896484
2017-08-18,81.92195129394531
2017-08-21,82.70037841796875
2017-08-22,83.31627655029297
2017-08-23,83.84658813476562
2017-08-24,84.35985565185547
2017-08-25,83.82951354980469
2017-08-28,83.44456481933594
2017-08-29,83.14520263671875
2017-08-30,81.0494384765625
2017-08-31,82.9912109375
2017-09-01,83.8722915649414
2017-09-05,82.73458862304688
2017-09-06,83.01688385009766
2017-09-07,82.94844055175781
2017-09-08,82.79447174072266
2017-09-11,84.05191802978516
2017-09-12,84.75332641601562
2017-09-13,84.9158706665039
2017-09-14,85.51465606689453
