,HII
2017-10-30,200.807861328125
2017-10-31,201.39602661132812
2017-11-01,202.1139678955078
2017-11-02,202.90118408203125
2017-11-03,203.33358764648438
2017-11-06,204.31968688964844
2017-11-07,201.8458251953125
2017-11-08,217.9433135986328
2017-11-09,209.8037872314453
2017-11-10,208.1689453125
2017-11-13,206.8887176513672
2017-11-14,205.46148681640625
2017-11-15,203.75746154785156
2017-11-16,203.9823455810547
2017-11-17,201.4306182861328
2017-11-20,202.71083068847656
2017-11-21,204.6916961669922
2017-11-22,203.0865020751953
2017-11-24,203.4162139892578
2017-11-27,203.93682861328125
2017-11-28,209.19464111328125
2017-11-29,207.95396423339844
2017-11-30,209.68052673339844
2017-12-01,204.7523956298828
2017-12-04,203.2947540283203
2017-12-05,201.9759521484375
2017-12-06,202.72210693359375
2017-12-07,204.63958740234375
2017-12-08,205.63735961914062
2017-12-11,203.11256408691406
2017-12-12,202.626708984375
2017-12-13,203.9715118408203
2017-12-14,202.9217071533203
2017-12-15,207.21649169921875
2017-12-18,207.01690673828125
2017-12-19,206.49630737304688
2017-12-20,206.513671875
2017-12-21,204.22312927246094
2017-12-22,206.0104522705078
2017-12-26,205.4552001953125
2017-12-27,206.14059448242188
2017-12-28,207.75439453125
2017-12-29,204.5007781982422
2018-01-02,197.82867431640625
2018-01-03,199.02606201171875
2018-01-04,201.86317443847656
2018-01-05,202.80892944335938
2018-01-08,204.7957763671875
2018-01-09,207.5374755859375
2018-01-10,205.91502380371094
2018-01-11,207.5981903076172
2018-01-12,214.6780548095703
2018-01-16,204.0235137939453
2018-01-17,205.8369140625
2018-01-18,205.52456665039062
2018-01-19,210.07090759277344
2018-01-22,207.2598419189453
2018-01-23,203.9281463623047
2018-01-24,206.6177978515625
2018-01-25,209.31610107421875
2018-01-26,214.96441650390625
2018-01-29,214.91232299804688
2018-01-30,212.38754272460938
2018-01-31,206.0972137451172
2018-02-01,209.50698852539062
2018-02-02,211.5025634765625
2018-02-05,198.34930419921875
2018-02-06,197.53366088867188
2018-02-07,203.7373046875
2018-02-08,195.53814697265625
2018-02-09,199.82421875
2018-02-12,203.8327178955078
2018-02-13,206.02781677246094
2018-02-14,209.44625854492188
2018-02-15,221.5844268798828
2018-02-16,230.5297393798828
2018-02-20,230.88543701171875
2018-02-21,235.0240020751953
2018-02-22,228.64735412597656
2018-02-23,230.55252075195312
2018-02-26,231.55303955078125
2018-02-27,228.5865020751953
2018-02-28,227.93399047851562
2018-03-01,226.4551544189453
2018-03-02,226.92491149902344
2018-03-05,226.2550048828125
2018-03-06,224.9849395751953
2018-03-07,225.7939453125
2018-03-08,227.01190185546875
2018-03-09,229.69129943847656
2018-03-12,224.58477783203125
2018-03-13,225.02845764160156
2018-03-14,222.2793731689453
2018-03-15,220.85269165039062
2018-03-16,221.04405212402344
2018-03-19,220.96572875976562
2018-03-20,223.15798950195312
2018-03-21,222.41856384277344
2018-03-22,216.74655151367188
2018-03-23,220.94834899902344
2018-03-26,228.13406372070312
2018-03-27,221.64430236816406
2018-03-28,220.25241088867188
2018-03-29,224.23675537109375
2018-04-02,220.45252990722656
2018-04-03,225.42860412597656
2018-04-04,226.10707092285156
2018-04-05,227.04669189453125
2018-04-06,222.97528076171875
2018-04-09,223.69740295410156
2018-04-10,221.66171264648438
2018-04-11,221.4181365966797
2018-04-12,223.75827026367188
2018-04-13,223.28855895996094
2018-04-16,225.0545196533203
2018-04-17,227.04669189453125
2018-04-18,229.49114990234375
2018-04-19,231.04844665527344
2018-04-20,229.28245544433594
2018-04-23,230.50906372070312
