,J
2020-08-12,73.01419067382812
2020-08-13,72.58654022216797
2020-08-14,72.61883544921875
2020-08-17,72.59463500976562
2020-08-18,72.5058822631836
2020-08-19,72.44132232666016
2020-08-20,71.83616638183594
2020-08-21,71.6667251586914
2020-08-24,72.1104965209961
2020-08-25,71.39236450195312
2020-08-26,71.36009979248047
2020-08-27,71.8764877319336
2020-08-28,72.18310546875
2020-08-31,72.83670043945312
2020-09-01,73.7807388305664
2020-09-02,75.12820434570312
2020-09-03,73.42569732666016
2020-09-04,74.2002944946289
2020-09-08,73.11907958984375
2020-09-09,74.8780746459961
2020-09-10,73.52252197265625
2020-09-11,74.8780746459961
2020-09-14,75.87052917480469
2020-09-15,76.5483169555664
2020-09-16,76.36270904541016
2020-09-17,76.15293884277344
2020-09-18,75.93508911132812
2020-09-21,72.04593658447266
2020-09-22,73.69196319580078
2020-09-23,72.02979278564453
2020-09-24,72.63494873046875
2020-09-25,72.95771789550781
2020-09-28,74.61180114746094
2020-09-29,75.02332305908203
2020-09-30,74.85387420654297
2020-10-01,73.94023895263672
2020-10-02,76.196044921875
2020-10-05,77.91820526123047
2020-10-06,77.02882385253906
2020-10-07,78.69441223144531
2020-10-08,80.03655242919922
2020-10-09,80.30338287353516
2020-10-12,81.48384857177734
2020-10-13,80.27103424072266
2020-10-14,79.97187042236328
2020-10-15,80.34381103515625
2020-10-16,80.31145477294922
2020-10-19,79.01781463623047
2020-10-20,79.20378875732422
2020-10-21,78.96121978759766
2020-10-22,79.66462707519531
2020-10-23,80.2144546508789
2020-10-26,78.05565643310547
2020-10-27,77.3279800415039
2020-10-28,75.35516357421875
2020-10-29,76.59222412109375
2020-10-30,76.8105239868164
2020-11-02,80.14164733886719
2020-11-03,82.4217300415039
2020-11-04,77.3360595703125
2020-11-05,79.04207611083984
2020-11-06,78.92079162597656
2020-11-09,80.95829010009766
2020-11-10,82.15492248535156
2020-11-11,79.92337799072266
2020-11-12,80.2548599243164
2020-11-13,83.49706268310547
2020-11-16,86.68269348144531
2020-11-17,85.13839721679688
2020-11-18,85.08988189697266
2020-11-19,85.01710510253906
2020-11-20,83.92559814453125
2020-11-23,84.49964904785156
2020-11-24,86.9414291381836
2020-11-25,85.98735046386719
2020-11-27,85.59117889404297
2020-11-30,87.19205474853516
2020-12-01,87.91165161132812
2020-12-02,86.42395782470703
2020-12-03,87.1516342163086
2020-12-04,88.09762573242188
2020-12-07,88.81721496582031
2020-12-08,88.61508178710938
2020-12-09,88.69593048095703
2020-12-10,87.89549255371094
2020-12-11,87.84698486328125
2020-12-14,85.10607147216797
2020-12-15,85.6316146850586
2020-12-16,85.89033508300781
2020-12-17,86.51290893554688
2020-12-18,86.17333984375
2020-12-21,86.23800659179688
2020-12-22,85.79330444335938
2020-12-23,86.39163970947266
2020-12-24,86.73930358886719
2020-12-28,86.36736297607422
2020-12-29,86.6988754272461
2020-12-30,86.90909576416016
2020-12-31,88.09762573242188
2021-01-04,85.79330444335938
2021-01-05,86.64227294921875
2021-01-06,92.78710174560547
2021-01-07,92.83560943603516
2021-01-08,91.78453063964844
2021-01-11,91.3721694946289
2021-01-12,91.83303833007812
2021-01-13,91.17813110351562
2021-01-14,90.5474853515625
2021-01-15,89.09211730957031
2021-01-19,90.30490112304688
2021-01-20,90.5474853515625
2021-01-21,89.84404754638672
2021-01-22,89.75511932373047
2021-01-25,89.17295837402344
2021-01-26,87.9763412475586
2021-01-27,84.49158477783203
2021-01-28,84.59668731689453
2021-01-29,81.6293716430664
2021-02-01,82.19534301757812
2021-02-02,85.3405532836914
2021-02-03,85.7771224975586
2021-02-04,87.11930847167969
2021-02-05,86.8767318725586
2021-02-08,88.23509216308594
2021-02-09,90.58790588378906
2021-02-10,89.5125503540039
2021-02-11,92.98116302490234
2021-02-12,92.90030670166016
2021-02-16,91.55005645751953
2021-02-17,91.21046447753906
2021-02-18,90.96791076660156
2021-02-19,90.88705444335938
2021-02-22,93.58753967285156
2021-02-23,93.97564697265625
2021-02-24,96.82168579101562
2021-02-25,95.33136749267578
2021-02-26,93.20930480957031
2021-03-01,93.29029083251953
2021-03-02,92.780029296875
2021-03-03,93.20120239257812
2021-03-04,91.42738342285156
2021-03-05,93.565673828125
2021-03-08,95.77684020996094
2021-03-09,98.53067016601562
2021-03-10,101.04153442382812
2021-03-11,101.2926254272461
2021-03-12,102.42656707763672
2021-03-15,101.95677185058594
2021-03-16,100.86334991455078
2021-03-17,101.50318908691406
2021-03-18,100.93624877929688
2021-03-19,99.92378234863281
2021-03-22,99.77798461914062
2021-03-23,98.65219116210938
2021-03-24,99.86711120605469
2021-03-25,102.17547607421875
2021-03-26,104.17603302001953
2021-03-29,103.16360473632812
2021-03-30,103.77916717529297
2021-03-31,104.70252227783203
2021-04-01,105.25328826904297
2021-04-05,107.46444702148438
2021-04-06,106.88128662109375
2021-04-07,106.46820068359375
2021-04-08,107.537353515625
2021-04-09,109.4326400756836
2021-04-12,108.88186645507812
2021-04-13,106.57351684570312
2021-04-14,106.3629150390625
2021-04-15,108.460693359375
2021-04-16,108.35541534423828
2021-04-19,108.30680084228516
2021-04-20,107.87751770019531
2021-04-21,109.71611022949219
2021-04-22,109.4812240600586
2021-04-23,111.07683563232422
2021-04-26,110.50987243652344
2021-04-27,110.72856140136719
2021-04-28,110.15350341796875
2021-04-29,109.64323425292969
2021-04-30,108.21772003173828
2021-05-03,109.94291687011719
2021-05-04,111.98397827148438
2021-05-05,111.91109466552734
2021-05-06,112.13787078857422
2021-05-07,113.35279083251953
2021-05-10,115.30477905273438
2021-05-11,113.5066909790039
2021-05-12,109.66751861572266
2021-05-13,112.63194274902344
2021-05-14,112.13787078857422
2021-05-17,112.66434478759766
2021-05-18,109.80522918701172
2021-05-19,110.51797485351562
2021-05-20,110.66376495361328
2021-05-21,112.22698211669922
2021-05-24,113.10982513427734
2021-05-25,112.80203247070312
2021-05-26,113.79020690917969
2021-05-27,114.05094909667969
2021-05-28,115.28427124023438
2021-06-01,115.48712158203125
2021-06-02,114.73251342773438
2021-06-03,114.9921646118164
2021-06-04,116.35531616210938
2021-06-07,114.9596939086914
2021-06-08,115.72242736816406
2021-06-09,114.82988739013672
2021-06-10,114.61893463134766
2021-06-11,113.71824645996094
2021-06-14,112.42811584472656
2021-06-15,112.4930419921875
2021-06-16,111.7871322631836
2021-06-17,108.57396697998047
2021-06-18,105.22285461425781
2021-06-21,107.77066040039062
2021-06-22,107.71388244628906
2021-06-23,107.03229522705078
2021-06-24,109.7342529296875
2021-06-25,111.03251647949219
2021-06-28,108.64698791503906
2021-06-29,106.9511489868164
2021-06-30,108.25751495361328
2021-07-01,108.97967529296875
2021-07-02,107.69763946533203
2021-07-06,106.89436340332031
2021-07-07,108.37921905517578
2021-07-08,107.34873962402344
2021-07-09,109.25553131103516
2021-07-12,109.97769165039062
2021-07-13,107.82746887207031
2021-07-14,107.8355941772461
2021-07-15,107.63272857666016
2021-07-16,107.13777160644531
2021-07-19,104.32221221923828
2021-07-20,107.29196166992188
2021-07-21,108.47659301757812
2021-07-22,107.33251953125
2021-07-23,108.64698791503906
2021-07-26,108.16826629638672
2021-07-27,108.4522476196289
2021-07-28,109.62879180908203
2021-07-29,110.94530487060547
2021-07-30,109.91322326660156
2021-08-02,108.81611633300781
2021-08-03,105.20787811279297
2021-08-04,104.59024047851562
2021-08-05,104.62276458740234
2021-08-06,104.74465942382812
2021-08-09,105.93926239013672
2021-08-10,107.04450988769531
2021-08-11,110.64462280273438
2021-08-12,113.41580963134766
2021-08-13,112.20494079589844
2021-08-16,112.26182556152344
2021-08-17,110.3195571899414
2021-08-18,108.82424926757812
2021-08-19,107.21515655517578
2021-08-20,107.88156127929688
2021-08-23,108.03597259521484
2021-08-24,109.32810974121094
2021-08-25,110.0270004272461
2021-08-26,108.63734436035156
2021-08-27,110.5308609008789
2021-08-30,110.0107421875
2021-08-31,109.67754364013672
2021-09-01,109.48250579833984
2021-09-02,110.75840759277344
2021-09-03,111.4166488647461
2021-09-07,108.3285140991211
2021-09-08,110.37642669677734
2021-09-09,110.15702056884766
2021-09-10,108.34478759765625
2021-09-13,109.34434509277344
2021-09-14,108.09283447265625
2021-09-15,110.52271270751953
2021-09-16,108.64546966552734
2021-09-17,106.09368896484375
2021-09-20,103.92386627197266
2021-09-21,102.99742889404297
2021-09-22,106.08556365966797
2021-09-23,109.55564880371094
2021-09-24,110.52271270751953
2021-09-27,112.36747741699219
2021-09-28,110.5796127319336
2021-09-29,110.86405181884766
2021-09-30,107.70276641845703
2021-10-01,109.4337387084961
2021-10-04,106.751953125
2021-10-05,107.49961853027344
2021-10-06,107.46710968017578
2021-10-07,109.58816528320312
2021-10-08,109.99449920654297
2021-10-11,108.8892593383789
2021-10-12,108.084716796875
2021-10-13,108.30415344238281
2021-10-14,109.45995330810547
2021-10-15,109.03667449951172
2021-10-18,109.12622833251953
2021-10-19,108.92274475097656
2021-10-20,111.03087615966797
2021-10-21,111.4052963256836
2021-10-22,111.45413208007812
2021-10-25,113.2529525756836
2021-10-26,112.54481506347656
2021-10-27,110.69715118408203
2021-10-28,113.36692810058594
2021-10-29,114.29480743408203
2021-11-01,114.53084564208984
2021-11-02,114.46574401855469
2021-11-03,114.88899993896484
2021-11-04,115.37735748291016
2021-11-05,116.09363555908203
2021-11-08,118.01457214355469
2021-11-09,117.62385559082031
2021-11-10,118.44596099853516
2021-11-11,117.69711303710938
2021-11-12,118.36456298828125
2021-11-15,118.3808364868164
2021-11-16,119.8215103149414
2021-11-17,118.35643005371094
2021-11-18,119.82966613769531
2021-11-19,119.17851257324219
2021-11-22,119.30060577392578
2021-11-23,117.20875549316406
2021-11-24,120.8308334350586
2021-11-26,118.61689758300781
2021-11-29,118.90990447998047
2021-11-30,116.03665924072266
2021-12-01,112.95995330810547
2021-12-02,115.60526275634766
2021-12-03,115.49131774902344
2021-12-06,115.05179595947266
2021-12-07,116.80990600585938
2021-12-08,117.60758209228516
2021-12-09,115.7110824584961
2021-12-10,116.75293731689453
2021-12-13,114.67737579345703
2021-12-14,114.15643310546875
2021-12-15,114.01807403564453
2021-12-16,112.46341705322266
2021-12-17,110.31459045410156
2021-12-20,108.11693572998047
2021-12-21,109.26460266113281
2021-12-22,109.54949188232422
2021-12-23,111.79597473144531
2021-12-27,113.12273406982422
2021-12-28,114.1157455444336
2021-12-29,112.52854919433594
2021-12-30,113.00064849853516
2021-12-31,113.32621002197266
2022-01-03,113.61109161376953
2022-01-04,116.0285415649414
2022-01-05,113.19597625732422
2022-01-06,113.04132080078125
2022-01-07,111.66575622558594
2022-01-10,108.7029800415039
2022-01-11,109.19135284423828
2022-01-12,107.69367980957031
2022-01-13,109.21576690673828
2022-01-14,108.19017028808594
2022-01-18,105.49601745605469
2022-01-19,104.98323822021484
2022-01-20,102.98904418945312
2022-01-21,104.15299224853516
2022-01-24,107.54716491699219
2022-01-25,103.51812744140625
2022-01-26,102.29721069335938
2022-01-27,102.96463775634766
2022-01-28,104.26696014404297
2022-01-31,105.95997619628906
2022-02-01,105.90299987792969
2022-02-02,107.13204956054688
2022-02-03,104.95880889892578
2022-02-04,103.91694641113281
2022-02-07,104.23439025878906
2022-02-08,101.12510681152344
2022-02-09,103.97391510009766
2022-02-10,101.21463012695312
2022-02-11,98.87860870361328
2022-02-14,98.21929931640625
2022-02-15,100.7669677734375
2022-02-16,99.02511596679688
2022-02-17,97.42977905273438
2022-02-18,97.38908386230469
2022-02-22,97.29139709472656
2022-02-23,95.64722442626953
2022-02-24,97.42196655273438
2022-02-25,100.51409149169922
2022-02-28,100.3509292602539
2022-03-01,100.35908508300781
2022-03-02,103.21459197998047
2022-03-03,104.2915267944336
2022-03-04,104.39759063720703
2022-03-07,100.23668670654297
2022-03-08,99.19239807128906
2022-03-09,102.49663543701172
2022-03-10,101.67261505126953
2022-03-11,102.00711059570312
2022-03-14,103.48381042480469
2022-03-15,107.04914093017578
2022-03-16,110.69603729248047
2022-03-17,112.61331939697266
2022-03-18,115.21589660644531
2022-03-21,114.13079833984375
2022-03-22,112.82544708251953
2022-03-23,110.7042007446289
2022-03-24,113.09467315673828
2022-03-25,112.49093627929688
2022-03-28,113.03755187988281
2022-03-29,113.20073699951172
2022-03-30,113.84526824951172
2022-03-31,112.4338150024414
2022-04-01,113.87789154052734
2022-04-04,114.15528869628906
2022-04-05,114.09817504882812
2022-04-06,115.04458618164062
2022-04-07,117.17398071289062
2022-04-08,117.10870361328125
2022-04-11,116.41522216796875
2022-04-12,114.45716094970703
2022-04-13,117.0271224975586
2022-04-14,118.02246856689453
2022-04-18,117.5900650024414
2022-04-19,120.2171401977539
2022-04-20,120.26609802246094
2022-04-21,120.87798309326172
2022-04-22,116.01544189453125
2022-04-25,114.50611877441406
2022-04-26,112.45015716552734
2022-04-27,115.41988372802734
2022-04-28,115.9420166015625
2022-04-29,113.03755187988281
2022-05-02,112.45829772949219
2022-05-03,113.07836151123047
2022-05-04,116.20311737060547
2022-05-05,112.23802185058594
2022-05-06,112.4338150024414
2022-05-09,106.2740707397461
2022-05-10,106.19248962402344
2022-05-11,106.65752410888672
2022-05-12,106.23326873779297
2022-05-13,108.57479095458984
2022-05-16,109.12142944335938
2022-05-17,111.17739868164062
2022-05-18,107.85682678222656
2022-05-19,109.13774108886719
2022-05-20,110.90816497802734
2022-05-23,111.89535522460938
2022-05-24,111.91165924072266
2022-05-25,112.03404998779297
2022-05-26,112.72509002685547
2022-05-27,114.49907684326172
2022-05-31,114.5235824584961
2022-06-01,113.51806640625
2022-06-02,114.67074584960938
2022-06-03,112.9212875366211
2022-06-06,111.0573959350586
2022-06-07,112.57793426513672
2022-06-08,109.02999877929688
2022-06-09,107.9018325805664
2022-06-10,105.47386169433594
2022-06-13,102.75157928466797
2022-06-14,101.63160705566406
2022-06-15,101.92588806152344
2022-06-16,97.39696502685547
2022-06-17,97.02909088134766
2022-06-21,99.63690948486328
2022-06-22,99.50611877441406
2022-06-23,99.96391296386719
2022-06-24,102.53086853027344
2022-06-27,103.31566619873047
2022-06-28,101.86868286132812
2022-06-29,101.66431427001953
2022-06-30,103.92879486083984
2022-07-01,103.33200073242188
2022-07-05,101.4599380493164
2022-07-06,102.43275451660156
2022-07-07,103.71623992919922
2022-07-08,103.07858276367188
2022-07-11,102.99684143066406
2022-07-12,102.2447280883789
2022-07-13,101.9831314086914
2022-07-14,101.39453887939453
2022-07-15,102.55538940429688
2022-07-18,102.23655700683594
2022-07-19,105.20409393310547
2022-07-20,104.8198471069336
2022-07-21,105.47386169433594
2022-07-22,105.88261413574219
2022-07-25,106.41398620605469
2022-07-26,106.92901611328125
2022-07-27,108.39234161376953
2022-07-28,111.1684799194336
2022-07-29,112.43779754638672
2022-08-01,106.06660461425781
2022-08-02,104.64986419677734
2022-08-03,104.576171875
2022-08-04,105.46878814697266
2022-08-05,104.41238403320312
2022-08-08,103.10212707519531
2022-08-09,101.38236999511719
2022-08-10,104.24859619140625
2022-08-11,105.32139587402344
2022-08-12,108.91644287109375
2022-08-15,109.3259048461914
2022-08-16,109.90734100341797
2022-08-17,110.2840347290039
2022-08-18,110.64437866210938
2022-08-19,111.30770874023438
2022-08-22,107.96650695800781
2022-08-23,107.29498291015625
2022-08-24,107.7044448852539
2022-08-25,109.47331237792969
2022-08-26,104.46151733398438
2022-08-29,105.04295349121094
2022-08-30,101.90648651123047
2022-08-31,102.02114868164062
2022-09-01,101.01387786865234
2022-09-02,97.28776550292969
2022-09-06,98.19677734375
2022-09-07,100.94014739990234
2022-09-08,100.95653533935547
2022-09-09,102.39783477783203
2022-09-12,101.91468048095703
2022-09-13,98.21316528320312
2022-09-14,98.01661682128906
2022-09-15,97.80369567871094
2022-09-16,96.03482055664062
2022-09-19,98.70449829101562
2022-09-20,97.6071548461914
2022-09-21,95.26504516601562
2022-09-22,95.12582397460938
2022-09-23,93.28326416015625
2022-09-26,91.55534362792969
2022-09-27,89.49983978271484
2022-09-28,90.46617126464844
2022-09-29,89.28445434570312
2022-09-30,89.03005981445312
2022-10-03,92.04998016357422
2022-10-04,95.34891510009766
2022-10-05,93.94564819335938
2022-10-06,93.37118530273438
2022-10-07,92.23052215576172
2022-10-10,92.65724182128906
2022-10-11,91.8776626586914
2022-10-12,89.92455291748047
2022-10-13,91.64787292480469
2022-10-14,90.35128784179688
2022-10-17,92.94446563720703
2022-10-18,95.0206527709961
2022-10-19,93.67481231689453
2022-10-20,92.74750518798828
2022-10-21,94.38877868652344
2022-10-24,90.96675109863281
2022-10-25,92.3946304321289
2022-10-26,93.16603088378906
2022-10-27,93.69123840332031
2022-10-28,96.03823852539062
2022-10-31,94.55289459228516
2022-11-01,93.94564819335938
2022-11-02,92.82958221435547
2022-11-03,94.35594177246094
2022-11-04,96.85066223144531
2022-11-07,97.5810317993164
2022-11-08,97.95850372314453
2022-11-09,96.00540924072266
2022-11-10,103.16130065917969
2022-11-11,103.16950225830078
2022-11-14,101.82367706298828
2022-11-15,102.4145278930664
2022-11-16,102.48017883300781
2022-11-17,101.97138214111328
2022-11-18,103.4321060180664
2022-11-21,100.37935638427734
2022-11-22,101.34771728515625
2022-11-23,100.69120025634766
2022-11-25,101.44618225097656
2022-11-28,99.92801666259766
2022-11-29,100.74864959716797
2022-11-30,103.8424072265625
2022-12-01,102.20115661621094
2022-12-02,102.65251159667969
2022-12-05,100.0182876586914
2022-12-06,100.02648162841797
2022-12-07,100.7076187133789
2022-12-08,100.15779876708984
2022-12-09,99.5915756225586
2022-12-12,99.42742919921875
2022-12-13,100.74043273925781
2022-12-14,100.58451080322266
2022-12-15,98.1390380859375
2022-12-16,97.71232604980469
2022-12-19,97.2609634399414
2022-12-20,97.0147705078125
2022-12-21,99.5423355102539
2022-12-22,98.37702941894531
2022-12-23,99.1812515258789
2022-12-27,99.40281677246094
2022-12-28,97.81900787353516
2022-12-29,99.40281677246094
2022-12-30,98.53295135498047
2023-01-03,99.53411865234375
2023-01-04,103.4074935913086
2023-01-05,101.43798065185547
2023-01-06,105.45905303955078
2023-01-09,103.21873474121094
2023-01-10,104.6302261352539
2023-01-11,105.04054260253906
2023-01-12,104.892822265625
2023-01-13,103.4074935913086
2023-01-17,102.12730407714844
2023-01-18,100.10855865478516
2023-01-19,97.36766052246094
2023-01-20,98.52473449707031
2023-01-23,99.05815124511719
2023-01-24,99.58335876464844
2023-01-25,100.03470611572266
2023-01-26,100.7076187133789
