,SWK
2017-10-27,137.6541748046875
2017-10-30,135.0801239013672
2017-10-31,135.01327514648438
2017-11-01,134.5870361328125
2017-11-02,135.23056030273438
2017-11-03,136.33372497558594
2017-11-06,136.69308471679688
2017-11-07,138.06369018554688
2017-11-08,138.49832153320312
2017-11-09,136.0997314453125
2017-11-10,136.2000274658203
2017-11-13,137.03573608398438
2017-11-14,137.1527862548828
2017-11-15,136.59280395507812
2017-11-16,136.2167510986328
2017-11-17,136.4507293701172
2017-11-20,137.4870147705078
2017-11-21,138.72390747070312
2017-11-22,138.72390747070312
2017-11-24,138.72390747070312
2017-11-27,138.64036560058594
2017-11-28,141.32310485839844
2017-11-29,140.0778045654297
2017-11-30,142.30088806152344
2017-12-01,141.5458984375
2017-12-04,142.45188903808594
2017-12-05,141.21871948242188
2017-12-06,141.3278045654297
2017-12-07,141.23550415039062
2017-12-08,140.6482696533203
2017-12-11,140.01071166992188
2017-12-12,139.21377563476562
2017-12-13,139.29769897460938
2017-12-14,138.36648559570312
2017-12-15,139.01246643066406
2017-12-18,140.60630798339844
2017-12-19,141.47877502441406
2017-12-20,141.78074645996094
2017-12-21,141.82269287109375
2017-12-22,140.48052978515625
2017-12-26,140.77410888671875
2017-12-27,141.50393676757812
2017-12-28,142.63644409179688
2017-12-29,142.3512420654297
2018-01-02,141.3613739013672
2018-01-03,141.88145446777344
2018-01-04,142.43511962890625
2018-01-05,143.09783935546875
2018-01-08,144.84274291992188
2018-01-09,145.63967895507812
2018-01-10,143.4837188720703
2018-01-11,144.7337188720703
2018-01-12,145.48025512695312
2018-01-16,143.45852661132812
2018-01-17,145.7655029296875
2018-01-18,146.59600830078125
2018-01-19,147.5691680908203
2018-01-22,146.99864196777344
2018-01-23,145.87457275390625
2018-01-24,143.10623168945312
2018-01-25,141.9066162109375
2018-01-26,142.37635803222656
2018-01-29,141.35292053222656
2018-01-30,139.55772399902344
2018-01-31,139.4486846923828
2018-02-01,139.90167236328125
2018-02-02,137.44371032714844
2018-02-05,132.6704559326172
2018-02-06,135.58131408691406
2018-02-07,134.00424194335938
2018-02-08,128.2327117919922
2018-02-09,129.38197326660156
2018-02-12,132.57814025878906
2018-02-13,131.7644500732422
2018-02-14,133.6099853515625
2018-02-15,134.33143615722656
2018-02-16,134.02943420410156
2018-02-20,133.55966186523438
2018-02-21,134.5076446533203
2018-02-22,134.0126953125
2018-02-23,135.01095581054688
2018-02-26,136.73902893066406
2018-02-27,135.60653686523438
2018-02-28,133.54286193847656
2018-03-01,128.30824279785156
2018-03-02,127.98101806640625
2018-03-05,127.69580078125
2018-03-06,128.76119995117188
2018-03-07,131.39535522460938
2018-03-08,132.17022705078125
2018-03-09,134.74758911132812
2018-03-12,132.9282684326172
2018-03-13,131.9259796142578
2018-03-14,132.0775604248047
2018-03-15,132.91981506347656
2018-03-16,133.95584106445312
2018-03-19,132.5323944091797
2018-03-20,133.5262908935547
2018-03-21,134.96656799316406
2018-03-22,130.09820556640625
2018-03-23,127.44503021240234
2018-03-26,131.79962158203125
2018-03-27,128.36314392089844
2018-03-28,127.04916381835938
2018-03-29,129.0369415283203
2018-04-02,126.569091796875
2018-04-03,127.84935760498047
2018-04-04,129.60128784179688
2018-04-05,129.95501708984375
2018-04-06,126.06370544433594
2018-04-09,125.94579315185547
2018-04-10,127.86617279052734
2018-04-11,126.93122863769531
2018-04-12,127.4113540649414
2018-04-13,127.9083023071289
2018-04-16,128.98641967773438
2018-04-17,130.4182586669922
2018-04-18,132.55767822265625
2018-04-19,130.19085693359375
2018-04-20,121.46490478515625
2018-04-23,119.99090576171875
2018-04-24,119.27496337890625
2018-04-25,120.6225814819336
2018-04-26,121.3216781616211
2018-04-27,121.75126647949219
2018-04-30,119.25808715820312
2018-05-01,118.45793151855469
2018-05-02,117.66621398925781
2018-05-03,117.37139129638672
2018-05-04,118.21367645263672
2018-05-07,117.18612670898438
2018-05-08,118.63484954833984
2018-05-09,119.53605651855469
2018-05-10,120.5636215209961
2018-05-11,121.03531646728516
2018-05-14,120.83317565917969
2018-05-15,119.75503540039062
2018-05-16,119.10649108886719
2018-05-17,120.58047485351562
2018-05-18,121.97867584228516
2018-05-21,124.716064453125
2018-05-22,124.26966094970703
2018-05-23,123.57057189941406
2018-05-24,123.28414916992188
2018-05-25,123.5116195678711
2018-05-29,119.90662384033203
2018-05-30,121.3048324584961
2018-05-31,117.27876281738281
2018-06-01,119.24967193603516
2018-06-04,119.6792221069336
2018-06-05,119.949951171875
2018-06-06,120.72832489013672
2018-06-07,122.50493621826172
2018-06-08,122.9872055053711
2018-06-11,122.18346405029297
2018-06-12,122.24274444580078
2018-06-13,120.88905334472656
2018-06-14,120.38146209716797
2018-06-15,120.09379577636719
2018-06-18,119.48465728759766
2018-06-19,116.5489273071289
2018-06-20,115.71981811523438
2018-06-21,113.02946472167969
2018-06-22,114.21388244628906
2018-06-25,113.30864715576172
2018-06-26,114.13775634765625
2018-06-27,113.69781494140625
2018-06-28,113.61319732666016
2018-06-29,112.361083984375
2018-07-02,112.06497192382812
2018-07-03,111.54045104980469
2018-07-05,113.29174041748047
2018-07-06,112.64026641845703
2018-07-09,114.8399429321289
2018-07-10,115.93132019042969
2018-07-11,112.9956283569336
2018-07-12,113.89239501953125
2018-07-13,114.6961441040039
2018-07-16,113.79931640625
2018-07-17,114.81458282470703
2018-07-18,116.98039245605469
2018-07-19,118.14793395996094
2018-07-20,122.02273559570312
2018-07-23,117.33573913574219
2018-07-24,118.56249237060547
2018-07-25,118.78240966796875
2018-07-26,122.29345703125
2018-07-27,123.43560028076172
2018-07-30,122.7080078125
2018-07-31,126.4559326171875
2018-08-01,122.4288558959961
2018-08-02,121.68428802490234
2018-08-03,122.25962829589844
2018-08-06,122.67418670654297
2018-08-07,122.7503433227539
2018-08-08,121.18514251708984
2018-08-09,120.00919342041016
2018-08-10,117.80106353759766
2018-08-13,115.99901580810547
2018-08-14,116.74349212646484
2018-08-15,117.0480728149414
