,TAP
2019-03-18,52.78807067871094
2019-03-19,52.623512268066406
2019-03-20,51.76608657836914
2019-03-21,52.66682052612305
2019-03-22,51.48894500732422
2019-03-25,50.8826789855957
2019-03-26,51.514930725097656
2019-03-27,51.350372314453125
2019-03-28,51.33304977416992
2019-03-29,51.66216278076172
2019-04-01,52.285736083984375
2019-04-02,52.0952033996582
2019-04-03,51.82672119140625
2019-04-04,52.623512268066406
2019-04-05,52.510929107666016
2019-04-08,52.649505615234375
2019-04-09,51.5755500793457
2019-04-10,51.445640563964844
2019-04-11,52.02592086791992
2019-04-12,51.947975158691406
2019-04-15,52.35503005981445
2019-04-16,51.558231353759766
2019-04-17,51.46296310424805
2019-04-18,53.177818298339844
2019-04-22,52.96995162963867
2019-04-23,53.073883056640625
2019-04-24,54.13916778564453
2019-04-25,54.39033889770508
2019-04-26,55.28240203857422
2019-04-29,55.325714111328125
2019-04-30,55.594200134277344
2019-05-01,51.40233612060547
2019-05-02,51.895999908447266
2019-05-03,53.15184020996094
2019-05-06,52.81405258178711
2019-05-07,52.034576416015625
2019-05-08,51.255104064941406
2019-05-09,50.53624725341797
2019-05-10,50.78741455078125
2019-05-13,50.120521545410156
2019-05-14,50.59687423706055
2019-05-15,50.492950439453125
2019-05-16,50.700809478759766
2019-05-17,50.80473709106445
2019-05-20,50.28508758544922
2019-05-21,50.90000534057617
2019-05-22,51.31572723388672
2019-05-23,51.46296310424805
2019-05-24,50.85669708251953
2019-05-28,49.574886322021484
2019-05-29,48.03325271606445
2019-05-30,47.418331146240234
2019-05-31,47.976806640625
2019-06-03,48.779624938964844
2019-06-04,50.59468460083008
2019-06-05,50.10601043701172
2019-06-06,50.35906982421875
2019-06-07,49.71333694458008
2019-06-10,47.76738739013672
2019-06-11,47.67138671875
2019-06-12,47.863365173339844
2019-06-13,48.090248107910156
2019-06-14,47.12164306640625
2019-06-17,46.82494354248047
2019-06-18,47.217628479003906
2019-06-19,47.697574615478516
2019-06-20,47.976806640625
2019-06-21,48.36076354980469
2019-06-24,48.39566421508789
2019-06-25,48.34330749511719
2019-06-26,47.959354400634766
2019-06-27,48.282230377197266
2019-06-28,48.86688232421875
2019-07-01,49.13739776611328
2019-07-02,48.98032760620117
2019-07-03,49.61734390258789
2019-07-05,49.608619689941406
2019-07-08,49.25956344604492
2019-07-09,48.465476989746094
2019-07-10,48.753440856933594
2019-07-11,47.79356384277344
2019-07-12,47.4532356262207
2019-07-15,46.85984420776367
2019-07-16,47.549224853515625
2019-07-17,47.37469482421875
2019-07-18,47.46195602416992
2019-07-19,47.63648223876953
2019-07-22,47.32235336303711
2019-07-23,49.12867736816406
2019-07-24,49.4340934753418
2019-07-25,49.45154571533203
2019-07-26,49.38172912597656
2019-07-29,49.311920166015625
2019-07-30,49.66969299316406
2019-07-31,47.112918853759766
2019-08-01,45.803977966308594
2019-08-02,45.58583068847656
2019-08-05,44.14599609375
2019-08-06,44.66956329345703
2019-08-07,45.49856185913086
2019-08-08,46.00468063354492
2019-08-09,45.94359588623047
2019-08-12,45.38511657714844
2019-08-13,45.09715270996094
2019-08-14,43.92783737182617
2019-08-15,44.3816032409668
2019-08-16,45.27167510986328
2019-08-19,45.81270217895508
2019-08-20,45.516014099121094
2019-08-21,45.184410095214844
2019-08-22,45.10588836669922
2019-08-23,43.69223403930664
2019-08-26,44.1285400390625
2019-08-27,43.77949142456055
2019-08-28,44.63465881347656
2019-08-29,45.049415588378906
2019-08-30,45.32297897338867
2019-09-03,46.23190689086914
2019-09-04,46.88492965698242
2019-09-05,46.929046630859375
2019-09-06,47.14084243774414
2019-09-09,49.302852630615234
2019-09-10,49.94704818725586
2019-09-11,49.75291442871094
2019-09-12,49.63819122314453
2019-09-13,50.45005416870117
2019-09-16,50.7853889465332
2019-09-17,49.13518142700195
2019-09-18,48.5704231262207
2019-09-19,48.5704231262207
2019-09-20,49.64700698852539
2019-09-23,49.60289001464844
2019-09-24,49.28520965576172
2019-09-25,49.54111862182617
2019-09-26,50.379459381103516
2019-09-27,50.71479034423828
2019-09-30,50.74126052856445
2019-10-01,51.279571533203125
2019-10-02,50.052947998046875
2019-10-03,49.964698791503906
2019-10-04,49.97352600097656
2019-10-07,49.56759262084961
2019-10-08,48.83515167236328
2019-10-09,48.98517608642578
2019-10-10,49.17049026489258
2019-10-11,49.470523834228516
2019-10-14,49.62937545776367
2019-10-15,50.01765441894531
2019-10-16,49.69996643066406
2019-10-17,50.30003356933594
2019-10-18,50.28238296508789
2019-10-21,50.44123077392578
2019-10-22,52.329689025878906
2019-10-23,52.479705810546875
2019-10-24,51.97671127319336
2019-10-25,50.158836364746094
2019-10-28,48.155670166015625
2019-10-29,48.26156234741211
2019-10-30,46.77021026611328
2019-10-31,46.52311325073242
2019-11-01,46.50547790527344
2019-11-04,47.30850601196289
2019-11-05,47.98799514770508
2019-11-06,48.07624816894531
2019-11-07,47.22026062011719
2019-11-08,47.46734619140625
2019-11-11,47.04377365112305
2019-11-12,46.47900390625
2019-11-13,45.843624114990234
2019-11-14,45.27003479003906
2019-11-15,46.34662628173828
2019-11-18,45.852447509765625
2019-11-19,46.24956130981445
2019-11-20,46.23190689086914
2019-11-21,46.37310028076172
2019-11-22,46.13483810424805
2019-11-25,46.258384704589844
2019-11-26,45.05824661254883
2019-11-27,44.767024993896484
2019-11-29,45.05263137817383
2019-12-02,45.22220230102539
2019-12-03,44.71348571777344
2019-12-04,45.63274002075195
2019-12-05,44.93659973144531
2019-12-06,45.57026672363281
2019-12-09,45.98973083496094
2019-12-10,45.70414352416992
2019-12-11,45.66844940185547
2019-12-12,45.838016510009766
2019-12-13,45.347145080566406
2019-12-16,46.391361236572266
2019-12-17,46.81081771850586
2019-12-18,47.25706100463867
2019-12-19,47.52480697631836
2019-12-20,48.06922912597656
2019-12-23,47.346309661865234
2019-12-24,47.551578521728516
2019-12-26,47.84610366821289
2019-12-27,48.042449951171875
2019-12-30,47.99782180786133
2019-12-31,48.104923248291016
2020-01-02,47.78363037109375
2020-01-03,47.64083480834961
2020-01-06,48.75643539428711
2020-01-07,48.63148880004883
2020-01-08,49.10449981689453
2020-01-09,49.050960540771484
2020-01-10,49.149131774902344
2020-01-13,49.43472671508789
2020-01-14,49.934513092041016
2020-01-15,49.90774154663086
2020-01-16,50.487857818603516
2020-01-17,50.487857818603516
2020-01-21,50.42538070678711
2020-01-22,50.407535552978516
2020-01-23,50.63957977294922
2020-01-24,50.08623504638672
2020-01-27,49.92558670043945
2020-01-28,50.05946350097656
2020-01-29,50.24688720703125
2020-01-30,50.211177825927734
2020-01-31,49.60429763793945
2020-02-03,50.255821228027344
2020-02-04,50.79130554199219
2020-02-05,51.78196334838867
2020-02-06,51.31786346435547
2020-02-07,51.56775665283203
2020-02-10,51.621315002441406
2020-02-11,51.80873107910156
2020-02-12,49.53290557861328
2020-02-13,49.40795135498047
2020-02-14,49.30978012084961
2020-02-18,48.59579086303711
2020-02-19,48.97956085205078
2020-02-20,49.45256805419922
2020-02-21,49.34547424316406
2020-02-24,48.372676849365234
2020-02-25,45.89155578613281
2020-02-26,46.177154541015625
2020-02-27,44.63315200805664
2020-02-28,44.276161193847656
2020-03-02,45.94511032104492
2020-03-03,45.00800323486328
2020-03-04,46.83759307861328
2020-03-05,44.731327056884766
2020-03-06,43.36817932128906
2020-03-09,38.827335357666016
2020-03-10,39.62175750732422
2020-03-11,36.95863723754883
2020-03-12,34.66565704345703
