,AMT
2016-11-08,96.15658569335938
2016-11-09,90.5910415649414
2016-11-10,87.67974090576172
2016-11-11,87.67974090576172
2016-11-14,85.0752944946289
2016-11-15,85.83837890625
2016-11-16,87.44746398925781
2016-11-17,87.53871154785156
2016-11-18,87.16546630859375
2016-11-21,87.84561920166016
2016-11-22,89.56253814697266
2016-11-23,88.56723022460938
2016-11-25,88.99852752685547
2016-11-28,88.01148986816406
2016-11-29,87.96174621582031
2016-11-30,84.82644653320312
2016-12-01,83.75648498535156
2016-12-02,85.0752944946289
2016-12-05,84.63569641113281
2016-12-06,83.64866638183594
2016-12-07,84.7684097290039
2016-12-08,84.92599487304688
2016-12-09,85.3573226928711
2016-12-12,86.17015838623047
2016-12-13,88.028076171875
2016-12-14,88.33499145507812
2016-12-15,87.97001647949219
2016-12-16,87.7543716430664
2016-12-19,88.7082290649414
2016-12-20,88.73309326171875
2016-12-21,88.41791534423828
2016-12-22,88.41791534423828
2016-12-23,88.42627716064453
2016-12-27,88.6430892944336
2016-12-28,88.26780700683594
2016-12-29,88.72649383544922
2016-12-30,88.13435363769531
2017-01-03,88.5263442993164
2017-01-04,88.68479919433594
2017-01-05,88.37622833251953
2017-01-06,87.79244232177734
2017-01-09,87.58394622802734
2017-01-10,86.31629180908203
2017-01-11,86.59150695800781
2017-01-12,86.90008544921875
2017-01-13,86.27459716796875
2017-01-17,87.70904541015625
2017-01-18,88.12602996826172
2017-01-19,87.10023498535156
2017-01-20,86.90008544921875
2017-01-23,87.38380432128906
2017-01-24,87.20866394042969
2017-01-25,86.66658020019531
2017-01-26,86.9834976196289
2017-01-27,86.58316802978516
2017-01-30,85.90767669677734
2017-01-31,86.31629180908203
2017-02-01,86.1328353881836
2017-02-02,86.82502746582031
2017-02-03,87.77574920654297
2017-02-06,86.43305206298828
2017-02-07,86.2912826538086
2017-02-08,86.9834976196289
2017-02-09,88.2177734375
2017-02-10,87.97591400146484
2017-02-13,89.69390106201172
2017-02-14,89.05174255371094
2017-02-15,89.32695007324219
2017-02-16,89.82733917236328
2017-02-17,90.16094207763672
2017-02-21,92.72122955322266
2017-02-22,92.58779907226562
2017-02-23,93.57188415527344
2017-02-24,94.14732360839844
2017-02-27,94.5226058959961
2017-02-28,95.73188018798828
2017-03-01,94.93958282470703
2017-03-02,95.7485580444336
2017-03-03,96.4657974243164
2017-03-06,95.6651611328125
2017-03-07,95.65681457519531
2017-03-08,94.4392318725586
2017-03-09,94.23906707763672
2017-03-10,94.72277069091797
2017-03-13,95.28987121582031
2017-03-14,95.08971405029297
2017-03-15,96.1405029296875
2017-03-16,95.98204803466797
2017-03-17,96.74932098388672
2017-03-20,96.72431182861328
2017-03-21,97.35810852050781
2017-03-22,98.66746520996094
2017-03-23,99.20121002197266
2017-03-24,99.50975799560547
2017-03-27,100.0852279663086
2017-03-28,100.4021224975586
2017-03-29,100.9442138671875
2017-03-30,100.8357925415039
2017-03-31,101.36119842529297
2017-04-03,101.03593444824219
2017-04-04,100.69401550292969
2017-04-05,100.61061096191406
2017-04-06,101.70313262939453
2017-04-07,101.84492492675781
2017-04-10,102.66637420654297
2017-04-11,102.90106964111328
2017-04-12,102.57415771484375
2017-04-13,102.76693725585938
2017-04-17,104.15003204345703
2017-04-18,104.66136169433594
2017-04-19,104.50209045410156
2017-04-20,104.19194793701172
2017-04-21,104.30091094970703
2017-04-24,103.81473541259766
2017-04-25,103.89018249511719
2017-04-26,102.9429702758789
2017-04-27,105.42414093017578
2017-04-28,105.56664276123047
2017-05-01,106.88264465332031
2017-05-02,107.21795654296875
2017-05-03,106.27914428710938
2017-05-04,106.78205871582031
2017-05-05,107.87177276611328
2017-05-08,108.02264404296875
2017-05-09,107.36882781982422
2017-05-10,106.53899383544922
2017-05-11,105.85162353515625
2017-05-12,105.717529296875
2017-05-15,107.2347183227539
2017-05-16,107.6035385131836
2017-05-17,109.59012603759766
2017-05-18,107.27661895751953
2017-05-19,107.5616455078125
2017-05-22,107.9052963256836
2017-05-23,107.9052963256836
2017-05-24,108.38310241699219
2017-05-25,109.8499984741211
2017-05-26,109.90028381347656
2017-05-30,110.74687194824219
2017-05-31,109.96733856201172
2017-06-01,110.50382995605469
2017-06-02,111.05704498291016
2017-06-05,110.31940460205078
2017-06-06,110.39483642578125
2017-06-07,110.49541473388672
2017-06-08,109.78292846679688
2017-06-09,109.20455169677734
2017-06-12,108.28251647949219
2017-06-13,109.12911224365234
2017-06-14,109.38898468017578
2017-06-15,110.23975372314453
2017-06-16,111.14949035644531
2017-06-19,111.46958923339844
2017-06-20,110.51773071289062
2017-06-21,110.02073669433594
2017-06-22,110.23975372314453
2017-06-23,111.09054565429688
2017-06-26,111.5791244506836
2017-06-27,114.35044860839844
2017-06-28,113.32279968261719
2017-06-29,111.88232421875
2017-06-30,111.46116638183594
2017-07-03,110.69461822509766
2017-07-05,111.40221405029297
2017-07-06,110.80413818359375
2017-07-07,112.15190887451172
2017-07-10,110.52613067626953
2017-07-11,110.29027557373047
2017-07-12,112.77525329589844
2017-07-13,112.99427795410156
2017-07-14,114.59478759765625
2017-07-17,114.0556411743164
2017-07-18,114.71267700195312
2017-07-19,114.0724868774414
2017-07-20,114.76321411132812
2017-07-21,115.31919860839844
2017-07-24,115.4623794555664
2017-07-25,115.0833511352539
2017-07-26,116.13627624511719
2017-07-27,113.6008071899414
2017-07-28,116.53219604492188
2017-07-31,114.83905029296875
2017-08-01,114.53581237792969
2017-08-02,116.22055053710938
2017-08-03,115.52976989746094
2017-08-04,115.88356018066406
2017-08-07,116.30474090576172
2017-08-08,115.09175872802734
2017-08-09,116.11944580078125
2017-08-10,115.2602310180664
2017-08-11,115.13385772705078
2017-08-14,117.90523529052734
2017-08-15,117.66937255859375
2017-08-16,118.84868621826172
2017-08-17,117.63565826416016
2017-08-18,117.93048858642578
2017-08-21,119.00870513916016
2017-08-22,119.6910171508789
2017-08-23,120.32279205322266
2017-08-24,121.13146209716797
2017-08-25,121.50212860107422
2017-08-28,122.79937744140625
2017-08-29,122.89202117919922
2017-08-30,124.26507568359375
2017-08-31,124.7115249633789
2017-09-01,122.79092407226562
2017-09-05,123.77649688720703
2017-09-06,123.04365539550781
2017-09-07,123.81861877441406
2017-09-08,122.13387298583984
2017-09-11,123.13627624511719
