,ATO
2017-04-12,66.87161254882812
2017-04-13,66.5891342163086
2017-04-17,67.29532623291016
2017-04-18,67.14576721191406
2017-04-19,66.51436614990234
2017-04-20,66.39804077148438
2017-04-21,66.32328033447266
2017-04-24,66.4728012084961
2017-04-25,66.8466796875
2017-04-26,67.5196533203125
2017-04-27,67.62764739990234
2017-04-28,67.31194305419922
2017-05-01,67.05438995361328
2017-05-02,67.06271362304688
2017-05-03,66.55590057373047
2017-05-04,67.61103057861328
2017-05-05,68.26736450195312
2017-05-08,68.05137634277344
2017-05-09,66.92146301269531
2017-05-10,67.20394897460938
2017-05-11,67.12085723876953
2017-05-12,67.57781219482422
2017-05-15,67.59443664550781
2017-05-16,66.73869323730469
2017-05-17,66.92146301269531
2017-05-18,67.13867950439453
2017-05-19,67.74022674560547
2017-05-22,68.11618041992188
2017-05-23,68.58403778076172
2017-05-24,68.64253997802734
2017-05-25,69.42788696289062
2017-05-26,69.2190170288086
2017-05-30,69.50306701660156
2017-05-31,69.60331726074219
2017-06-01,70.53070831298828
2017-06-02,70.91500854492188
2017-06-05,70.07957458496094
2017-06-06,70.26335144042969
2017-06-07,70.00435638427734
2017-06-08,69.79549407958984
2017-06-09,69.87903594970703
2017-06-12,70.09626007080078
2017-06-13,70.45552062988281
2017-06-14,71.09046936035156
2017-06-15,71.09883117675781
2017-06-16,71.4664535522461
2017-06-19,71.0654067993164
2017-06-20,70.64765930175781
2017-06-21,70.07957458496094
2017-06-22,69.72027587890625
2017-06-23,69.77043914794922
2017-06-26,70.43878936767578
2017-06-27,69.75372314453125
2017-06-28,69.63674926757812
2017-06-29,69.13545989990234
2017-06-30,69.30255126953125
2017-07-03,69.30255126953125
2017-07-05,69.07698059082031
2017-07-06,69.10205841064453
2017-07-07,69.91246032714844
2017-07-10,69.65345764160156
2017-07-11,68.8597640991211
2017-07-12,69.9709243774414
2017-07-13,69.5364761352539
2017-07-14,70.00435638427734
2017-07-17,70.1798324584961
2017-07-18,70.24666595458984
2017-07-19,70.67274475097656
2017-07-20,71.4581069946289
2017-07-21,72.03457641601562
2017-07-24,71.8089828491211
2017-07-25,72.60267639160156
2017-07-26,72.49407196044922
2017-07-27,72.70293426513672
2017-07-28,72.32695770263672
2017-07-31,72.48572540283203
2017-08-01,73.00371551513672
2017-08-02,74.09819030761719
2017-08-03,73.0287857055664
2017-08-04,72.84498596191406
2017-08-07,72.58596801757812
2017-08-08,73.17916107177734
2017-08-09,73.04547882080078
2017-08-10,73.2459945678711
2017-08-11,72.81991577148438
2017-08-14,73.3044662475586
2017-08-15,73.3379135131836
2017-08-16,73.85589599609375
2017-08-17,73.44441986083984
2017-08-18,73.15888977050781
2017-08-21,73.55357360839844
2017-08-22,74.04901885986328
2017-08-23,74.13301849365234
2017-08-24,74.2421646118164
2017-08-25,74.29254913330078
2017-08-28,74.47731018066406
2017-08-29,74.05744934082031
2017-08-30,73.88108825683594
2017-08-31,73.93148803710938
2017-09-01,74.0322494506836
2017-09-05,73.91465759277344
2017-09-06,72.8313980102539
2017-09-07,73.39404296875
2017-09-08,73.24287414550781
2017-09-11,73.90628051757812
2017-09-12,72.83979797363281
2017-09-13,72.13440704345703
2017-09-14,73.01614379882812
2017-09-15,73.16729736328125
2017-09-18,72.63825225830078
2017-09-19,72.15961456298828
2017-09-20,71.4458236694336
2017-09-21,71.00076293945312
2017-09-22,70.44652557373047
2017-09-25,71.37864685058594
2017-09-26,71.71451568603516
2017-09-27,70.62285614013672
2017-09-28,70.79080200195312
2017-09-29,70.4045181274414
2017-10-02,71.10153198242188
2017-10-03,70.88319396972656
2017-10-04,71.10153198242188
2017-10-05,71.21068572998047
2017-10-06,71.57177734375
2017-10-09,71.68096923828125
2017-10-10,72.12601470947266
2017-10-11,72.3863525390625
2017-10-12,72.88178253173828
2017-10-13,72.4619140625
2017-10-16,72.42832946777344
2017-10-17,72.40313720703125
2017-10-18,72.5794677734375
2017-10-19,73.12530517578125
2017-10-20,72.948974609375
2017-10-23,72.7054443359375
2017-10-24,72.47869873046875
2017-10-25,72.25199127197266
2017-10-26,72.52069854736328
2017-10-27,73.3016586303711
2017-10-30,73.00774383544922
2017-10-31,73.25968170166016
2017-11-01,73.0329360961914
2017-11-02,72.65503692626953
2017-11-03,73.55357360839844
2017-11-06,73.76350402832031
2017-11-07,74.37651824951172
2017-11-08,74.93917846679688
2017-11-09,75.40103912353516
2017-11-10,74.87198638916016
2017-11-13,75.19107818603516
2017-11-14,76.03084564208984
2017-11-15,75.21627807617188
2017-11-16,75.535400390625
2017-11-17,75.0147476196289
2017-11-20,74.83000946044922
2017-11-21,75.09033203125
2017-11-22,74.82158660888672
2017-11-24,74.9102554321289
2017-11-27,75.56885528564453
2017-11-28,76.218994140625
2017-11-29,76.42164611816406
2017-11-30,77.92457580566406
2017-12-01,77.88236999511719
2017-12-04,77.42640686035156
2017-12-05,77.21533966064453
2017-12-06,77.19844055175781
2017-12-07,77.30818939208984
2017-12-08,77.5108413696289
2017-12-11,77.60372161865234
2017-12-12,75.38312530517578
2017-12-13,75.9572525024414
2017-12-14,75.50128936767578
2017-12-15,75.45907592773438
2017-12-18,74.90179443359375
2017-12-19,73.61842346191406
2017-12-20,73.07804107666016
2017-12-21,71.65109252929688
2017-12-22,71.84529876708984
2017-12-26,71.43156433105469
2017-12-27,71.7608413696289
2017-12-28,72.2674560546875
2017-12-29,72.52075958251953
2018-01-02,71.80306243896484
2018-01-03,71.2120132446289
2018-01-04,70.90807342529297
2018-01-05,70.24104309082031
2018-01-08,70.46057891845703
2018-01-09,69.73440551757812
2018-01-10,68.22306060791016
2018-01-11,67.5475845336914
2018-01-12,67.4124755859375
2018-01-16,67.63199615478516
2018-01-17,68.23995208740234
2018-01-18,68.13018035888672
2018-01-19,68.2483901977539
2018-01-22,68.72966003417969
2018-01-23,69.45579528808594
2018-01-24,69.44733428955078
2018-01-25,70.00462341308594
2018-01-26,70.09748077392578
2018-01-29,69.54866790771484
2018-01-30,69.64154815673828
2018-01-31,69.9961929321289
2018-02-01,69.48114013671875
2018-02-02,68.81407928466797
2018-02-05,66.96498107910156
2018-02-06,65.88422393798828
2018-02-07,66.26417541503906
2018-02-08,66.66100311279297
2018-02-09,68.48477935791016
2018-02-12,67.87686157226562
2018-02-13,67.90221405029297
2018-02-14,67.75023651123047
2018-02-15,69.16870880126953
2018-02-16,70.04683685302734
2018-02-20,69.29537200927734
2018-02-21,68.42568969726562
2018-02-22,68.2737045288086
2018-02-23,70.15522766113281
2018-02-26,69.81546020507812
2018-02-27,68.84709930419922
2018-02-28,68.37139129638672
2018-03-01,68.08261108398438
2018-03-02,67.2671127319336
2018-03-05,68.47335052490234
2018-03-06,67.98915100097656
2018-03-07,67.49647521972656
2018-03-08,67.8022689819336
2018-03-09,68.15055084228516
2018-03-12,68.91504669189453
2018-03-13,68.82157897949219
2018-03-14,69.09341430664062
2018-03-15,69.20386505126953
2018-03-16,70.38455963134766
2018-03-19,69.39921569824219
2018-03-20,69.0339584350586
2018-03-21,69.12740325927734
2018-03-22,68.94900512695312
2018-03-23,67.98065185546875
2018-03-26,69.3907241821289
2018-03-27,70.61389923095703
2018-03-28,71.09808349609375
2018-03-29,71.5567855834961
2018-04-02,70.37606811523438
2018-04-03,71.34443664550781
2018-04-04,71.09808349609375
2018-04-05,71.8031234741211
2018-04-06,71.48033905029297
2018-04-09,71.50582885742188
2018-04-10,71.40388488769531
2018-04-11,71.21700286865234
2018-04-12,70.23167419433594
2018-04-13,70.82626342773438
2018-04-16,71.93054962158203
2018-04-17,72.34675598144531
2018-04-18,71.75215148925781
2018-04-19,71.54830169677734
2018-04-20,71.26799774169922
2018-04-23,71.70120239257812
2018-04-24,72.44873046875
2018-04-25,72.46570587158203
2018-04-26,73.7228775024414
2018-04-27,74.24951171875
2018-04-30,73.80782318115234
2018-05-01,73.7568359375
2018-05-02,73.87576293945312
2018-05-03,74.80164337158203
2018-05-04,76.22022247314453
2018-05-07,75.481201171875
2018-05-08,74.538330078125
2018-05-09,74.47886657714844
2018-05-10,75.26034545898438
2018-05-11,74.96306610107422
2018-05-14,74.29200744628906
2018-05-15,73.52748107910156
2018-05-16,72.94986724853516
2018-05-17,72.53363800048828
2018-05-18,72.53792572021484
2018-05-21,72.83695983886719
2018-05-22,73.64852142333984
2018-05-23,74.29776763916016
2018-05-24,74.74198150634766
2018-05-25,74.964111328125
2018-05-29,75.51085662841797
2018-05-30,76.86918640136719
2018-05-31,76.21138000488281
2018-06-01,75.16060638427734
2018-06-04,75.0153579711914
2018-06-05,74.65657043457031
2018-06-06,73.2982406616211
2018-06-07,73.23844909667969
2018-06-08,72.87965393066406
2018-06-11,72.28162384033203
2018-06-12,72.87965393066406
2018-06-13,72.25601196289062
2018-06-14,73.19572448730469
2018-06-15,74.14399719238281
2018-06-18,74.41735076904297
2018-06-19,75.45106506347656
2018-06-20,75.4596176147461
2018-06-21,75.9038314819336
2018-06-22,76.12596130371094
2018-06-25,77.33903503417969
2018-06-26,76.74958038330078
2018-06-27,76.99732208251953
2018-06-28,77.21944427490234
2018-06-29,77.00586700439453
2018-07-02,77.17671966552734
2018-07-03,77.9712142944336
2018-07-05,78.63756561279297
2018-07-06,79.08179473876953
2018-07-09,76.72393035888672
2018-07-10,77.45862579345703
2018-07-11,77.79180908203125
2018-07-12,77.85163116455078
2018-07-13,77.85163116455078
2018-07-16,77.83454132080078
2018-07-17,77.5697021484375
2018-07-18,77.34759521484375
2018-07-19,78.36419677734375
2018-07-20,78.11644744873047
2018-07-23,77.58677673339844
2018-07-24,77.4159164428711
2018-07-25,77.22798156738281
2018-07-26,78.0053939819336
2018-07-27,77.6380615234375
2018-07-30,77.32194519042969
2018-07-31,78.48379516601562
2018-08-01,77.73200988769531
2018-08-02,78.24459075927734
2018-08-03,78.44963073730469
2018-08-06,78.56071472167969
