,BALL
2022-03-29,87.57977294921875
2022-03-30,88.15790557861328
2022-03-31,86.72217559814453
2022-04-01,85.97058868408203
2022-04-04,86.56798553466797
2022-04-05,86.47164154052734
2022-04-06,85.15155029296875
2022-04-07,84.53484344482422
2022-04-08,84.23613739013672
2022-04-11,84.84320831298828
2022-04-12,83.16656494140625
2022-04-13,84.74684143066406
2022-04-14,83.97598266601562
2022-04-18,82.97384643554688
2022-04-19,84.43849182128906
2022-04-20,85.75859069824219
2022-04-21,85.4020767211914
2022-04-22,83.30147552490234
2022-04-25,82.82931518554688
2022-04-26,77.9439697265625
2022-04-27,78.05960845947266
2022-04-28,79.90966796875
2022-04-29,78.20413208007812
2022-05-02,77.70307159423828
2022-05-03,78.73410034179688
2022-05-04,80.18911743164062
2022-05-05,74.00292205810547
2022-05-06,69.291015625
2022-05-09,66.95916748046875
2022-05-10,66.57372283935547
2022-05-11,64.82963562011719
2022-05-12,66.73753356933594
2022-05-13,67.20967864990234
2022-05-16,69.09830474853516
2022-05-17,70.63040161132812
2022-05-18,68.61651611328125
2022-05-19,67.16150665283203
2022-05-20,66.46774291992188
2022-05-23,68.23108673095703
2022-05-24,67.55657958984375
2022-05-25,67.73001861572266
2022-05-26,69.14647674560547
2022-05-27,71.04475402832031
2022-05-31,68.49395751953125
2022-06-01,68.86112213134766
2022-06-02,70.05921173095703
2022-06-03,71.11236572265625
2022-06-06,71.27661895751953
2022-06-07,71.6631088256836
2022-06-08,70.22346496582031
2022-06-09,68.03984832763672
2022-06-10,66.16542053222656
2022-06-13,65.14125061035156
2022-06-14,64.2523422241211
2022-06-15,64.03010559082031
2022-06-16,61.170169830322266
2022-06-17,62.71608352661133
2022-06-21,63.276485443115234
2022-06-22,63.24749755859375
2022-06-23,63.49870681762695
2022-06-24,69.17030334472656
2022-06-27,68.61956787109375
2022-06-28,67.58573913574219
2022-06-29,66.0398178100586
2022-06-30,66.44561767578125
2022-07-01,68.5326156616211
2022-07-05,67.66302490234375
2022-07-06,69.0350341796875
2022-07-07,68.03984832763672
2022-07-08,66.30069732666016
2022-07-11,66.10745239257812
2022-07-12,65.37315368652344
2022-07-13,65.30549621582031
2022-07-14,64.39727020263672
2022-07-15,64.23301696777344
2022-07-18,64.77410888671875
2022-07-19,67.61473083496094
2022-07-20,68.35871124267578
2022-07-21,69.39252471923828
2022-07-22,68.32006072998047
2022-07-25,67.49878692626953
2022-07-26,67.78864288330078
2022-07-27,69.91429138183594
2022-07-28,71.07371520996094
2022-07-29,70.93846130371094
2022-08-01,70.68724060058594
2022-08-02,69.3635482788086
2022-08-03,70.34906768798828
2022-08-04,57.2763786315918
2022-08-05,54.45507049560547
2022-08-08,55.054115295410156
2022-08-09,53.02509307861328
2022-08-10,55.53721237182617
2022-08-11,55.82706832885742
2022-08-12,57.4599609375
2022-08-15,58.21358871459961
2022-08-16,59.604915618896484
2022-08-17,59.179786682128906
2022-08-18,59.62424087524414
2022-08-19,59.81748580932617
2022-08-22,58.44547653198242
2022-08-23,58.996219635009766
2022-08-24,59.22810363769531
2022-08-25,58.44547653198242
2022-08-26,55.75944519042969
2022-08-29,54.88019561767578
2022-08-30,54.89952087402344
2022-08-31,54.1141357421875
2022-09-01,53.92991256713867
2022-09-02,54.1141357421875
2022-09-06,53.85234069824219
2022-09-07,56.8581428527832
2022-09-08,57.08115005493164
2022-09-09,57.52717971801758
2022-09-12,58.84585189819336
2022-09-13,56.799964904785156
2022-09-14,55.66551971435547
2022-09-15,55.90792465209961
2022-09-16,54.93830871582031
2022-09-19,55.25827407836914
2022-09-20,53.590553283691406
2022-09-21,52.262176513671875
