,META
2022-09-29,135.8909149169922
2022-09-30,135.16368103027344
2022-10-03,138.08253479003906
2022-10-04,139.74618530273438
2022-10-05,138.45111083984375
2022-10-06,138.54078674316406
2022-10-07,132.94215393066406
2022-10-10,133.28086853027344
2022-10-11,128.05084228515625
2022-10-12,127.01480102539062
2022-10-13,129.79420471191406
2022-10-14,126.27762603759766
2022-10-17,133.5299072265625
2022-10-18,132.29466247558594
2022-10-19,132.72300720214844
2022-10-20,131.0294647216797
2022-10-21,129.51524353027344
2022-10-24,129.22637939453125
2022-10-25,136.9866943359375
2022-10-26,129.32598876953125
2022-10-27,97.56730651855469
2022-10-28,98.82250213623047
2022-10-31,92.80549621582031
2022-11-01,94.83772277832031
2022-11-02,90.19546508789062
2022-11-03,88.57166290283203
2022-11-04,90.44450378417969
2022-11-07,96.35193634033203
2022-11-08,96.10289001464844
2022-11-09,101.08387756347656
2022-11-10,111.44429016113281
2022-11-11,112.58990478515625
2022-11-14,113.78534698486328
2022-11-15,116.63446807861328
2022-11-16,112.79911804199219
2022-11-17,111.02588653564453
2022-11-18,111.62361145019531
2022-11-21,109.44194030761719
2022-11-22,111.01593017578125
2022-11-23,111.81287384033203
2022-11-25,110.98604583740234
2022-11-28,108.36604309082031
2022-11-29,109.04346466064453
2022-11-30,117.65057373046875
2022-12-01,119.98167419433594
2022-12-02,123.02008056640625
2022-12-05,121.96410369873047
2022-12-06,113.68572235107422
2022-12-07,113.49645233154297
2022-12-08,114.89112091064453
2022-12-09,115.45895385742188
2022-12-12,114.27347564697266
2022-12-13,119.69278717041016
2022-12-14,121.1272964477539
2022-12-15,115.7080078125
2022-12-16,118.97551727294922
2022-12-19,114.04436492919922
2022-12-20,116.64442443847656
2022-12-21,119.30426788330078
2022-12-22,116.67431640625
2022-12-23,117.5908203125
2022-12-27,116.43522644042969
2022-12-28,115.18002319335938
2022-12-29,119.8023681640625
2022-12-30,119.88204956054688
2023-01-03,124.26531219482422
2023-01-04,126.88531494140625
2023-01-05,126.45693969726562
2023-01-06,129.5252227783203
2023-01-09,128.97732543945312
2023-01-10,132.4839324951172
2023-01-11,132.38429260253906
2023-01-12,136.1897735595703
2023-01-13,136.45872497558594
2023-01-17,134.84490966796875
2023-01-18,132.51380920410156
2023-01-19,135.63189697265625
2023-01-20,138.8396453857422
2023-01-23,142.7248077392578
2023-01-24,142.5952911376953
