,GS
2017-05-23,185.9755401611328
2017-05-24,189.52334594726562
2017-05-25,188.37179565429688
2017-05-26,189.269287109375
2017-05-30,185.5651397705078
2017-05-31,179.48216247558594
2017-06-01,182.6680908203125
2017-06-02,181.2238311767578
2017-06-05,181.80148315429688
2017-06-06,182.26028442382812
2017-06-07,183.32228088378906
2017-06-08,185.85400390625
2017-06-09,188.98046875
2017-06-12,188.53016662597656
2017-06-13,190.47573852539062
2017-06-14,192.438232421875
2017-06-15,189.651611328125
2017-06-16,188.44525146484375
2017-06-19,192.11538696289062
2017-06-20,191.24034118652344
2017-06-21,189.02294921875
2017-06-22,186.7120819091797
2017-06-23,184.5201416015625
2017-06-26,187.2812957763672
2017-06-27,187.14537048339844
2017-06-28,189.64312744140625
2017-06-29,190.65414428710938
2017-06-30,188.5216827392578
2017-07-03,193.09242248535156
2017-07-05,193.7380828857422
2017-07-06,192.59120178222656
2017-07-07,191.39329528808594
2017-07-10,191.86900329589844
2017-07-11,192.81207275390625
2017-07-12,193.18588256835938
2017-07-13,195.74310302734375
2017-07-14,194.21385192871094
2017-07-17,194.7745819091797
2017-07-18,189.7196044921875
2017-07-19,189.34579467773438
2017-07-20,188.86154174804688
2017-07-21,187.0603790283203
2017-07-24,185.3612518310547
2017-07-25,188.24981689453125
2017-07-26,188.81900024414062
2017-07-27,188.1648712158203
2017-07-28,189.97447204589844
2017-07-31,191.43576049804688
2017-08-01,192.85455322265625
2017-08-02,192.23435974121094
2017-08-03,190.2973175048828
2017-08-04,195.224853515625
2017-08-07,197.88409423828125
2017-08-08,197.1449737548828
2017-08-09,196.26136779785156
2017-08-10,191.5801544189453
2017-08-11,190.4332275390625
2017-08-14,193.16036987304688
2017-08-15,193.35581970214844
2017-08-16,191.6736602783203
2017-08-17,188.11392211914062
2017-08-18,188.73402404785156
2017-08-21,187.5786590576172
2017-08-22,189.94898986816406
2017-08-23,189.23533630371094
2017-08-24,189.4477081298828
2017-08-25,189.00595092773438
2017-08-28,187.20481872558594
2017-08-29,187.51171875
2017-08-30,189.60882568359375
2017-08-31,190.73411560058594
2017-09-01,192.55841064453125
2017-09-05,185.65333557128906
2017-09-06,186.54843139648438
2017-09-07,183.99951171875
2017-09-08,185.1674041748047
2017-09-11,188.449462890625
2017-09-12,192.61805725097656
2017-09-13,193.13807678222656
2017-09-14,193.38534545898438
2017-09-15,191.9957733154297
2017-09-18,193.96502685546875
2017-09-19,195.14141845703125
2017-09-20,195.8916473388672
2017-09-21,197.1702880859375
2017-09-22,196.94866943359375
2017-09-25,196.2922821044922
2017-09-26,196.0194549560547
2017-09-27,200.12847900390625
2017-09-28,200.7337188720703
2017-09-29,202.19996643066406
2017-10-02,205.14956665039062
2017-10-03,205.97647094726562
2017-10-04,204.85971069335938
2017-10-05,209.76148986816406
2017-10-06,209.7273712158203
2017-10-09,206.98239135742188
2017-10-10,206.81192016601562
2017-10-11,206.64141845703125
2017-10-12,204.42494201660156
2017-10-13,203.34231567382812
2017-10-16,206.6499481201172
2017-10-17,201.2622528076172
2017-10-18,206.32598876953125
2017-10-19,204.5869140625
2017-10-20,208.62767028808594
2017-10-23,206.4112548828125
2017-10-24,208.72146606445312
2017-10-25,206.05319213867188
2017-10-26,206.06170654296875
2017-10-27,206.05319213867188
2017-10-30,205.35414123535156
2017-10-31,206.70957946777344
2017-11-01,208.2269744873047
2017-11-02,210.46055603027344
2017-11-03,208.34637451171875
2017-11-06,207.570556640625
2017-11-07,204.43348693847656
2017-11-08,205.66102600097656
2017-11-09,205.2689208984375
2017-11-10,204.7233123779297
2017-11-13,204.82565307617188
2017-11-14,202.2425994873047
2017-11-15,202.5579833984375
2017-11-16,204.05833435058594
2017-11-17,202.9075469970703
2017-11-20,203.00132751464844
2017-11-21,202.9075469970703
2017-11-22,201.55203247070312
2017-11-24,201.14291381835938
2017-11-27,200.42681884765625
2017-11-28,204.0924835205078
2017-11-29,206.4014129638672
2017-11-30,211.77183532714844
2017-12-01,212.8920440673828
2017-12-04,214.34579467773438
2017-12-05,212.36190795898438
2017-12-06,210.32664489746094
2017-12-07,212.5585479736328
2017-12-08,214.0893096923828
2017-12-11,213.90113830566406
2017-12-12,220.3575897216797
2017-12-13,218.54464721679688
2017-12-14,218.47622680664062
2017-12-15,219.9215087890625
2017-12-18,222.35870361328125
2017-12-19,219.3314208984375
2017-12-20,218.2197265625
2017-12-21,223.20530700683594
2017-12-22,221.4608154296875
2017-12-26,220.3917999267578
2017-12-27,218.87818908691406
2017-12-28,219.34852600097656
2017-12-29,217.8605499267578
2018-01-02,218.63876342773438
2018-01-03,216.60345458984375
2018-01-04,219.63075256347656
2018-01-05,218.51048278808594
2018-01-08,215.3378143310547
2018-01-09,217.15933227539062
2018-01-10,217.49282836914062
2018-01-11,218.1769561767578
2018-01-12,219.8017578125
2018-01-16,221.02464294433594
2018-01-17,216.91134643554688
2018-01-18,214.61947631835938
2018-01-19,219.02359008789062
2018-01-22,223.64144897460938
2018-01-23,222.41854858398438
2018-01-24,227.19895935058594
2018-01-25,230.06369018554688
2018-01-26,229.30262756347656
2018-01-29,233.0140380859375
2018-01-30,229.98672485351562
2018-01-31,229.0888214111328
2018-02-01,232.8002166748047
2018-02-02,222.3757781982422
2018-02-05,213.0288848876953
2018-02-06,221.2299346923828
2018-02-07,219.86163330078125
2018-02-08,210.66867065429688
2018-02-09,213.19140625
2018-02-12,216.49229431152344
2018-02-13,218.51902770996094
2018-02-14,224.5479278564453
2018-02-15,228.90924072265625
2018-02-16,228.85789489746094
2018-02-20,226.5233154296875
2018-02-21,225.24916076660156
2018-02-22,223.56448364257812
2018-02-23,228.13107299804688
2018-02-26,231.97068786621094
2018-02-27,229.12303161621094
2018-02-28,225.47836303710938
2018-03-01,220.20440673828125
2018-03-02,221.35350036621094
2018-03-05,225.6413116455078
2018-03-06,228.9086151123047
2018-03-07,227.55369567871094
2018-03-08,228.4026336669922
2018-03-09,232.20167541503906
2018-03-12,234.43988037109375
2018-03-13,230.2807159423828
2018-03-14,226.7646942138672
2018-03-15,228.6342010498047
2018-03-16,229.48321533203125
2018-03-19,225.1353759765625
2018-03-20,225.70140075683594
2018-03-21,224.55223083496094
2018-03-22,216.61981201171875
2018-03-23,210.3252410888672
2018-03-26,218.57498168945312
2018-03-27,212.04042053222656
2018-03-28,213.8498077392578
2018-03-29,215.9851837158203
2018-04-02,212.1175994873047
2018-04-03,214.8875274658203
2018-04-04,216.63690185546875
2018-04-05,219.37254333496094
2018-04-06,214.36441040039062
2018-04-09,216.2681884765625
2018-04-10,220.0242919921875
2018-04-11,216.911376953125
2018-04-12,222.6141357421875
2018-04-13,219.46685791015625
2018-04-16,221.14767456054688
2018-04-17,217.50311279296875
2018-04-18,217.8203582763672
2018-04-19,217.96615600585938
2018-04-20,216.0709228515625
2018-04-23,211.53445434570312
2018-04-24,207.9498748779297
2018-04-25,205.1542205810547
2018-04-26,205.8916778564453
2018-04-27,205.64297485351562
2018-04-30,204.3823699951172
2018-05-01,202.9588165283203
2018-05-02,200.71205139160156
2018-05-03,200.16319274902344
2018-05-04,201.47528076171875
2018-05-07,203.413330078125
2018-05-08,203.2418975830078
2018-05-09,207.29808044433594
2018-05-10,208.76454162597656
2018-05-11,208.318603515625
2018-05-14,209.16751098632812
2018-05-15,207.15231323242188
2018-05-16,206.6377716064453
2018-05-17,205.04266357421875
2018-05-18,203.2418975830078
2018-05-21,203.8421173095703
2018-05-22,204.09939575195312
2018-05-23,203.93650817871094
2018-05-24,202.4700469970703
2018-05-25,201.53524780273438
2018-05-29,194.69195556640625
2018-05-30,197.2135009765625
2018-05-31,194.3907470703125
2018-06-01,196.51638793945312
2018-06-04,197.84176635742188
2018-06-05,196.50778198242188
2018-06-06,199.85549926757812
2018-06-07,200.90542602539062
2018-06-08,200.8538055419922
2018-06-11,201.45620727539062
2018-06-12,200.19973754882812
2018-06-13,201.23248291015625
2018-06-14,201.07754516601562
2018-06-15,199.58871459960938
2018-06-18,199.13259887695312
2018-06-19,196.49058532714844
2018-06-20,196.060302734375
2018-06-21,195.33738708496094
2018-06-22,194.51119995117188
2018-06-25,190.65579223632812
2018-06-26,190.690185546875
2018-06-27,189.48536682128906
2018-06-28,192.27366638183594
2018-06-29,189.82102966308594
2018-07-02,192.13600158691406
2018-07-03,189.65744018554688
2018-07-05,189.96731567382812
2018-07-06,190.8709259033203
2018-07-09,196.20660400390625
2018-07-10,195.2255096435547
2018-07-11,194.2013702392578
2018-07-12,195.54396057128906
2018-07-13,194.84686279296875
2018-07-16,199.17562866210938
2018-07-17,198.81422424316406
2018-07-18,199.00350952148438
2018-07-19,197.61795043945312
2018-07-20,199.3907928466797
2018-07-23,201.17222595214844
2018-07-24,202.99668884277344
2018-07-25,203.6937713623047
2018-07-26,204.05517578125
2018-07-27,204.51133728027344
2018-07-30,205.63868713378906
2018-07-31,204.33055114746094
2018-08-01,203.13436889648438
2018-08-02,201.3701629638672
2018-08-03,201.45620727539062
2018-08-06,203.0397186279297
2018-08-07,204.6748504638672
2018-08-08,203.41835021972656
2018-08-09,201.1894073486328
2018-08-10,197.6007843017578
2018-08-13,195.23414611816406
2018-08-14,197.55772399902344
2018-08-15,197.29098510742188
2018-08-16,200.51817321777344
2018-08-17,200.84521484375
2018-08-20,202.91061401367188
2018-08-21,205.38050842285156
2018-08-22,205.97425842285156
2018-08-23,203.3925323486328
2018-08-24,202.33401489257812
2018-08-27,208.7798614501953
2018-08-28,208.58193969726562
2018-08-29,208.43511962890625
2018-08-30,206.708251953125
2018-08-31,205.33535766601562
2018-09-04,205.20587158203125
2018-09-05,205.11952209472656
2018-09-06,202.49465942382812
2018-09-07,201.9679412841797
2018-09-10,200.24107360839844
2018-09-11,198.77320861816406
2018-09-12,196.9945068359375
2018-09-13,197.1499481201172
