,HST
2017-07-13,14.11709976196289
2017-07-14,14.148282051086426
2017-07-17,14.40552043914795
2017-07-18,14.514653205871582
2017-07-19,14.506858825683594
2017-07-20,14.070326805114746
2017-07-21,14.000171661376953
2017-07-24,14.007963180541992
2017-07-25,14.374341011047363
2017-07-26,14.046940803527832
2017-07-27,14.56142520904541
2017-07-28,14.584813117980957
2017-07-31,14.545835494995117
2017-08-01,14.740713119506836
2017-08-02,14.530245780944824
2017-08-03,14.335366249084473
2017-08-04,14.538039207458496
2017-08-07,14.608195304870605
2017-08-08,14.195050239562988
2017-08-09,14.007963180541992
2017-08-10,13.898834228515625
2017-08-11,13.914422988891602
2017-08-14,14.03135871887207
2017-08-15,13.992375373840332
2017-08-16,14.210641860961914
2017-08-17,13.96899127960205
2017-08-18,13.587028503417969
2017-08-21,13.548049926757812
2017-08-22,13.758522033691406
2017-08-23,13.696161270141602
2017-08-24,13.719545364379883
2017-08-25,13.797496795654297
2017-08-28,13.664978981018066
2017-08-29,13.781909942626953
2017-08-30,14.046940803527832
2017-08-31,14.124897003173828
2017-09-01,14.140486717224121
2017-09-05,13.735133171081543
2017-09-06,14.01576042175293
2017-09-07,13.98458194732666
2017-09-08,14.148282051086426
2017-09-11,14.195050239562988
2017-09-12,14.327570915222168
2017-09-13,14.374341011047363
2017-09-14,14.241822242736816
2017-09-15,14.226236343383789
2017-09-18,14.273003578186035
2017-09-19,14.296391487121582
2017-09-20,14.389932632446289
2017-09-21,14.257412910461426
2017-09-22,14.288593292236328
2017-09-25,14.31197738647461
2017-09-26,14.421113014221191
2017-09-27,14.452296257019043
2017-09-28,14.570496559143066
2017-09-29,14.570496559143066
2017-10-02,14.523215293884277
2017-10-03,14.373493194580078
2017-10-04,14.341973304748535
2017-10-05,14.436534881591797
2017-10-06,14.45229721069336
2017-10-09,14.491694450378418
2017-10-10,14.617778778076172
2017-10-11,14.712340354919434
2017-10-12,15.287592887878418
2017-10-13,15.374276161193848
2017-10-16,15.287592887878418
2017-10-17,15.240312576293945
2017-10-18,15.642205238342285
2017-10-19,15.626442909240723
2017-10-20,15.33487606048584
2017-10-23,15.232438087463379
2017-10-24,15.492481231689453
2017-10-25,15.24819278717041
2017-10-26,15.287592887878418
2017-10-27,15.31911849975586
2017-10-30,15.208792686462402
2017-10-31,15.413681030273438
2017-11-01,15.547639846801758
2017-11-02,15.33487606048584
2017-11-03,15.468835830688477
2017-11-06,15.594922065734863
2017-11-07,15.594922065734863
2017-11-08,15.910131454467773
2017-11-09,15.760406494140625
2017-11-10,15.752528190612793
2017-11-13,15.784046173095703
2017-11-14,15.73676586151123
2017-11-15,15.571281433105469
2017-11-16,15.73676586151123
2017-11-17,15.673727035522461
2017-11-20,15.52400016784668
2017-11-21,15.594922065734863
2017-11-22,15.587042808532715
2017-11-24,15.602802276611328
2017-11-27,15.445199966430664
2017-11-28,15.33487606048584
2017-11-29,15.500362396240234
2017-11-30,15.594922065734863
2017-12-01,15.374276161193848
2017-12-04,15.65008544921875
2017-12-05,15.547639846801758
2017-12-06,15.453081130981445
2017-12-07,15.484601974487305
2017-12-08,15.634324073791504
2017-12-11,15.626442909240723
2017-12-12,15.642205238342285
2017-12-13,15.642205238342285
2017-12-14,15.587042808532715
2017-12-15,15.870732307434082
2017-12-18,16.21746063232422
2017-12-19,15.981057167053223
2017-12-20,15.799811363220215
2017-12-21,15.799811363220215
2017-12-22,15.870732307434082
2017-12-26,15.902252197265625
2017-12-27,15.878609657287598
2017-12-28,16.054155349731445
2017-12-29,15.838714599609375
2018-01-02,15.91052532196045
2018-01-03,15.854669570922852
2018-01-04,15.814779281616211
2018-01-05,15.846693992614746
2018-01-08,16.269588470458984
2018-01-09,16.309486389160156
2018-01-10,16.477048873901367
2018-01-11,16.413217544555664
2018-01-12,16.245655059814453
2018-01-16,16.21373748779297
2018-01-17,16.700469970703125
2018-01-18,16.35736083984375
2018-01-19,16.532899856567383
2018-01-22,16.604713439941406
2018-01-23,16.995698928833008
2018-01-24,16.98771858215332
2018-01-25,16.8919677734375
2018-01-26,16.94782066345215
2018-01-29,16.7164249420166
2018-01-30,16.620676040649414
2018-01-31,16.5648250579834
2018-02-01,16.413217544555664
2018-02-02,16.04617691040039
2018-02-05,15.4397554397583
2018-02-06,15.49560546875
2018-02-07,15.519547462463379
2018-02-08,14.961000442504883
2018-02-09,15.575400352478027
2018-02-12,15.49560546875
2018-02-13,15.575400352478027
2018-02-14,15.671151161193848
2018-02-15,15.607316017150879
2018-02-16,15.862650871276855
2018-02-20,15.567422866821289
2018-02-21,15.336028099060059
2018-02-22,15.24825382232666
2018-02-23,15.328044891357422
2018-02-26,15.160479545593262
