,HUM
2016-02-23,162.262451171875
2016-02-24,161.75547790527344
2016-02-25,165.80189514160156
2016-02-26,167.782958984375
2016-02-29,166.14932250976562
2016-03-01,170.1488037109375
2016-03-02,171.52899169921875
2016-03-03,172.01710510253906
2016-03-04,172.04530334472656
2016-03-07,172.98419189453125
2016-03-08,171.3599853515625
2016-03-09,173.1531982421875
2016-03-10,173.46299743652344
2016-03-11,175.48153686523438
2016-03-14,174.93698120117188
2016-03-15,172.6649627685547
2016-03-16,172.1767578125
2016-03-17,171.37872314453125
2016-03-18,173.31272888183594
2016-03-21,172.49594116210938
2016-03-22,173.08746337890625
2016-03-23,172.36451721191406
2016-03-24,172.81520080566406
2016-03-28,171.74484252929688
2016-03-29,174.6787872314453
2016-03-30,173.86065673828125
2016-03-31,172.03636169433594
2016-04-01,173.71961975097656
2016-04-04,174.4060821533203
2016-04-05,170.2309112548828
2016-04-06,169.59149169921875
2016-04-07,162.2849884033203
2016-04-08,160.8274383544922
2016-04-11,157.47044372558594
2016-04-12,160.2444610595703
2016-04-13,159.82130432128906
2016-04-14,158.20388793945312
2016-04-15,159.73666381835938
2016-04-18,161.47630310058594
2016-04-19,164.34439086914062
2016-04-20,164.0904541015625
2016-04-21,163.10305786132812
2016-04-22,164.8427276611328
2016-04-25,165.60440063476562
2016-04-26,167.83303833007812
2016-04-27,166.96791076660156
2016-04-28,167.2594451904297
2016-04-29,166.50718688964844
2016-05-02,167.01492309570312
2016-05-03,166.3755340576172
2016-05-04,165.21890258789062
2016-05-05,163.72372436523438
2016-05-06,160.49832153320312
2016-05-09,161.06251525878906
2016-05-10,163.1876983642578
2016-05-11,159.91534423828125
2016-05-12,155.91885375976562
2016-05-13,155.37350463867188
2016-05-16,161.28826904296875
2016-05-17,160.61117553710938
2016-05-18,160.06578063964844
2016-05-19,158.28851318359375
2016-05-20,159.4827880859375
2016-05-23,159.47337341308594
2016-05-24,160.59239196777344
2016-05-25,164.27854919433594
2016-05-26,163.8553466796875
2016-05-27,163.3758087158203
2016-05-31,162.2191925048828
2016-06-01,166.81744384765625
2016-06-02,176.18331909179688
2016-06-03,175.09251403808594
2016-06-06,178.0828094482422
2016-06-07,177.16128540039062
2016-06-08,176.78512573242188
2016-06-09,177.1142578125
2016-06-10,175.61907958984375
2016-06-13,173.67259216308594
2016-06-14,174.6129608154297
2016-06-15,174.4813232421875
2016-06-16,175.8824005126953
2016-06-17,175.98585510253906
2016-06-20,178.57183837890625
2016-06-21,178.73162841796875
2016-06-22,176.474853515625
2016-06-23,176.13632202148438
2016-06-24,171.98939514160156
2016-06-27,166.38491821289062
2016-06-28,172.31878662109375
2016-06-29,172.97813415527344
2016-06-30,169.42718505859375
2016-07-01,163.88888549804688
2016-07-05,166.912353515625
2016-07-06,169.52137756347656
2016-07-07,153.28323364257812
2016-07-08,148.95986938476562
2016-07-11,145.05108642578125
2016-07-12,145.7197723388672
2016-07-13,151.9268798828125
2016-07-14,151.8986358642578
2016-07-15,149.656982421875
2016-07-18,150.36334228515625
2016-07-19,144.46710205078125
2016-07-20,149.20481872558594
2016-07-21,161.56248474121094
2016-07-22,165.81971740722656
2016-07-25,162.9564208984375
2016-07-26,163.8512725830078
2016-07-27,162.071044921875
2016-07-28,162.20291137695312
2016-07-29,162.52317810058594
2016-08-01,161.2327423095703
2016-08-02,159.71632385253906
2016-08-03,163.39910888671875
2016-08-04,163.72879028320312
2016-08-05,168.5606689453125
2016-08-08,167.32679748535156
2016-08-09,166.83700561523438
2016-08-10,169.25765991210938
2016-08-11,169.6250457763672
2016-08-12,170.35023498535156
2016-08-15,169.19171142578125
2016-08-16,169.19171142578125
2016-08-17,168.4853515625
2016-08-18,169.0504608154297
2016-08-19,167.6564178466797
2016-08-22,169.9358367919922
2016-08-23,169.4083709716797
2016-08-24,168.89031982421875
2016-08-25,166.98770141601562
2016-08-26,167.07247924804688
2016-08-29,166.6486358642578
2016-08-30,168.09915161132812
2016-08-31,168.32516479492188
2016-09-01,166.2718505859375
2016-09-02,167.02537536621094
2016-09-06,166.50738525390625
2016-09-07,165.92340087890625
2016-09-08,166.1682586669922
2016-09-09,166.24359130859375
2016-09-12,166.50738525390625
2016-09-13,165.5748291015625
2016-09-14,164.8213348388672
2016-09-15,164.6235809326172
2016-09-16,164.47286987304688
2016-09-19,164.4351806640625
2016-09-20,164.3787078857422
2016-09-21,165.6313934326172
2016-09-22,165.76324462890625
2016-09-23,165.3488006591797
2016-09-26,165.12274169921875
2016-09-27,166.92173767089844
2016-09-28,166.31900024414062
2016-09-29,165.60313415527344
2016-09-30,166.61093139648438
2016-10-03,166.36605834960938
2016-10-04,166.92173767089844
2016-10-05,167.4680938720703
2016-10-06,166.93118286132812
2016-10-07,167.41159057617188
2016-10-10,168.13677978515625
2016-10-11,167.48585510253906
2016-10-12,158.91015625
2016-10-13,159.8913116455078
2016-10-14,161.15553283691406
2016-10-17,160.27810668945312
2016-10-18,163.46690368652344
2016-10-19,164.06124877929688
2016-10-20,164.67440795898438
2016-10-21,165.9292449951172
2016-10-24,166.29718017578125
2016-10-25,164.96690368652344
2016-10-26,164.76881408691406
2016-10-27,164.33482360839844
2016-10-28,161.3819580078125
2016-10-31,161.8253631591797
2016-11-01,159.11767578125
2016-11-02,158.67428588867188
2016-11-03,155.9572296142578
2016-11-04,157.9478302001953
2016-11-07,165.01405334472656
2016-11-08,168.90097045898438
2016-11-09,175.4766845703125
2016-11-10,181.9674072265625
2016-11-11,182.2598876953125
2016-11-14,187.5901641845703
2016-11-15,187.57131958007812
2016-11-16,189.12799072265625
2016-11-17,190.62803649902344
2016-11-18,188.83551025390625
2016-11-21,188.6751708984375
2016-11-22,194.07151794433594
2016-11-23,196.16592407226562
2016-11-25,196.11875915527344
2016-11-28,196.23199462890625
2016-11-29,198.11880493164062
2016-11-30,200.60939025878906
2016-12-01,204.496337890625
2016-12-02,201.5434112548828
2016-12-05,197.0150146484375
2016-12-06,192.74130249023438
2016-12-07,191.5148162841797
2016-12-08,195.00552368164062
2016-12-09,191.7884521484375
2016-12-12,191.4488067626953
2016-12-13,192.99600219726562
2016-12-14,193.6281280517578
2016-12-15,193.0714569091797
2016-12-16,194.00547790527344
2016-12-19,189.07138061523438
2016-12-20,188.9204559326172
2016-12-21,188.49586486816406
2016-12-22,191.4488067626953
