,FAST
2020-07-29,41.55867385864258
2020-07-30,41.88008117675781
2020-07-31,41.996131896972656
2020-08-03,42.371097564697266
2020-08-04,42.433589935302734
2020-08-05,42.906768798828125
2020-08-06,42.79962921142578
2020-08-07,43.25495147705078
2020-08-10,42.790714263916016
2020-08-11,42.30860137939453
2020-08-12,42.978179931640625
2020-08-13,42.86212158203125
2020-08-14,42.844268798828125
2020-08-17,43.06746292114258
2020-08-18,42.915687561035156
2020-08-19,42.87104797363281
2020-08-20,43.03175735473633
2020-08-21,43.335296630859375
2020-08-24,42.74607467651367
2020-08-25,42.7549934387207
2020-08-26,42.93354415893555
2020-08-27,43.165672302246094
2020-08-28,43.603126525878906
2020-08-31,43.620994567871094
2020-09-01,44.183433532714844
2020-09-02,44.34413146972656
2020-09-03,41.97828674316406
2020-09-04,41.30870056152344
2020-09-08,39.023193359375
2020-09-09,40.38020706176758
2020-09-10,39.24639129638672
2020-09-11,39.30888366699219
2020-09-14,39.57671356201172
2020-09-15,39.889183044433594
2020-09-16,39.514217376708984
2020-09-17,39.514217376708984
2020-09-18,39.31781005859375
2020-09-21,39.03211975097656
2020-09-22,39.987388610839844
2020-09-23,39.45172119140625
2020-09-24,39.532081604003906
2020-09-25,40.06774139404297
2020-09-28,40.862308502197266
2020-09-29,40.46949005126953
2020-09-30,40.255218505859375
2020-10-01,39.96060562133789
2020-10-02,39.764198303222656
2020-10-05,40.91587829589844
2020-10-06,40.29093933105469
2020-10-07,41.255126953125
2020-10-08,41.067649841308594
2020-10-09,41.63009262084961
2020-10-12,42.531795501708984
2020-10-13,40.487342834472656
2020-10-14,40.1302375793457
2020-10-15,39.83561706542969
2020-10-16,40.40699005126953
2020-10-19,39.66599655151367
2020-10-20,40.21057891845703
2020-10-21,39.22853088378906
2020-10-22,39.362449645996094
2020-10-23,40.17488098144531
2020-10-26,39.770870208740234
2020-10-27,39.12449264526367
2020-10-28,38.5499267578125
2020-10-29,38.71152114868164
2020-10-30,38.81027603149414
2020-11-02,39.9683837890625
2020-11-03,41.49457931518555
2020-11-04,41.83573532104492
2020-11-05,41.602317810058594
2020-11-06,42.17688751220703
2020-11-09,41.28810501098633
2020-11-10,41.979373931884766
2020-11-11,42.41029357910156
2020-11-12,41.59333419799805
2020-11-13,42.670650482177734
2020-11-16,43.64023208618164
2020-11-17,42.78736114501953
2020-11-18,42.74246597290039
2020-11-19,43.07464599609375
2020-11-20,42.464168548583984
2020-11-23,43.01180648803711
2020-11-24,43.936492919921875
2020-11-25,43.26316833496094
2020-11-27,43.61329650878906
2020-11-30,44.39435958862305
2020-12-01,43.914669036865234
2020-12-02,43.06389236450195
2020-12-03,42.873809814453125
2020-12-04,43.48927307128906
2020-12-07,44.05947494506836
2020-12-08,44.439613342285156
2020-12-09,44.9193115234375
2020-12-10,43.7969970703125
2020-12-11,44.53916931152344
2020-12-14,44.54822540283203
2020-12-15,45.1003303527832
2020-12-16,44.77448654174805
2020-12-17,44.86500930786133
2020-12-18,44.656829833984375
2020-12-21,44.90119934082031
2020-12-22,44.77448654174805
2020-12-23,44.430564880371094
2020-12-24,44.81974792480469
2020-12-28,45.29944610595703
2020-12-29,45.00076675415039
2020-12-30,44.41246032714844
2020-12-31,44.19524383544922
2021-01-04,43.12724685668945
2021-01-05,43.69742965698242
2021-01-06,44.439613342285156
2021-01-07,44.9917106628418
2021-01-08,45.93299865722656
2021-01-11,45.688629150390625
2021-01-12,46.720420837402344
2021-01-13,45.88774871826172
2021-01-14,45.5438117980957
2021-01-15,45.688629150390625
2021-01-19,45.63431930541992
2021-01-20,44.07757568359375
2021-01-21,43.59788513183594
2021-01-22,43.19060134887695
2021-01-25,43.56167984008789
2021-01-26,43.09103775024414
2021-01-27,43.28110122680664
2021-01-28,42.22215270996094
2021-01-29,41.26276779174805
2021-02-01,42.01397705078125
2021-02-02,42.31447982788086
2021-02-03,42.79707336425781
2021-02-04,42.90635681152344
2021-02-05,43.07026290893555
2021-02-08,43.22505187988281
2021-02-09,43.07936096191406
2021-02-10,43.39806365966797
2021-02-11,42.86082458496094
2021-02-12,43.15221405029297
2021-02-16,42.46017074584961
2021-02-17,42.75155258178711
2021-02-18,43.0611457824707
2021-02-19,43.00651931762695
2021-02-22,42.17789077758789
2021-02-23,42.614959716796875
2021-02-24,42.706031799316406
2021-02-25,42.1414680480957
2021-02-26,42.22341537475586
2021-03-01,44.13563537597656
2021-03-02,43.23415756225586
2021-03-03,42.296268463134766
2021-03-04,40.22015380859375
2021-03-05,41.13983917236328
2021-03-08,40.66633605957031
2021-03-09,41.60422897338867
2021-03-10,42.023094177246094
2021-03-11,42.22341537475586
2021-03-12,42.93367385864258
2021-03-15,43.82603073120117
2021-03-16,43.452701568603516
2021-03-17,44.08100128173828
2021-03-18,43.25236511230469
2021-03-19,43.370750427246094
2021-03-22,43.689449310302734
2021-03-23,43.43449020385742
2021-03-24,43.917091369628906
2021-03-25,44.81856918334961
2021-03-26,46.03873062133789
2021-03-29,46.14799880981445
2021-03-30,46.09336471557617
2021-03-31,45.783775329589844
2021-04-01,46.53954315185547
2021-04-05,46.84003829956055
2021-04-06,46.685245513916016
2021-04-07,45.46506881713867
2021-04-08,45.7291374206543
2021-04-09,45.58344650268555
2021-04-12,46.17531967163086
2021-04-13,45.51059341430664
2021-04-14,45.58344650268555
2021-04-15,45.88393783569336
2021-04-16,46.02052307128906
2021-04-19,46.25727462768555
2021-04-20,46.557769775390625
2021-04-21,47.40460205078125
2021-04-22,47.122318267822266
2021-04-23,47.77234649658203
2021-04-26,47.5343017578125
2021-04-27,47.52515411376953
2021-04-28,47.32373809814453
2021-04-29,48.40406799316406
2021-04-30,47.86389923095703
2021-05-03,48.5230712890625
2021-05-04,48.7885856628418
2021-05-05,49.6034049987793
2021-05-06,48.41321563720703
2021-05-07,48.751956939697266
2021-05-10,49.20973205566406
2021-05-11,48.42237091064453
2021-05-12,47.6075553894043
2021-05-13,48.74281311035156
2021-05-14,49.34706115722656
2021-05-17,49.13648986816406
2021-05-18,47.97377014160156
2021-05-19,47.54346466064453
2021-05-20,47.9188232421875
2021-05-21,47.94629669189453
2021-05-24,48.385746002197266
2021-05-25,48.2392692565918
2021-05-26,48.44068145751953
2021-05-27,48.29419708251953
2021-05-28,48.55970001220703
2021-06-01,48.10193634033203
2021-06-02,48.0012321472168
2021-06-03,48.1568717956543
2021-06-04,48.58716583251953
2021-06-07,48.3216667175293
2021-06-08,48.550540924072266
2021-06-09,48.16602325439453
2021-06-10,48.230106353759766
2021-06-11,48.0653190612793
2021-06-14,48.27589797973633
2021-06-15,47.20471954345703
2021-06-16,46.70117950439453
